Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,Condition,Service Lines,Facilities
House,Stone,1000 sq.m.,3,7,3+,Designer Renovation,1000 sq.m.,Kotayk › Proshyan,"200,000 ֏ daily",AMD,"The luxury mansion Family & Friends House is for daily rent. It is newly built and furnished in a modern style. Here you can celebrate a birthday, wedding or similar events and just enjoy a family vacation. The outdoor part of the mansion is designed for up to 170 guests, and the indoor hall for up to 70 guests (the price is written for up to 20 people)Inside the house there are specially furnished rooms that can serve as bride and groom rooms (bride and groom house)At your disposal will be:* Beautiful and well-kept garden* Unique recreation pavilions*The swimming pool* Grilling*The sauna*Restaurant tableware*Identical tables and chairs.We offer the following services to hold your event: Live music, DJ service, master of ceremonies service, menu, buffet, wedding car service, filming, smoke. The mansion has lights that create beautiful lighting effects. All conditions are available to make your vacation complete.For more information, you can call or simply find us on social networksFacebook Family & Friends House:Instagram Family_and_friends_house:Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17994073,,,
House,Stone,280 sq.m.,2,8+,2,Euro Renovation,600 sq.m.,"Erkatughayinneri street, Nor Geghi","$2,500 monthly",USD,"A two-story private house for daily rent, 5 bedrooms, 3 large halls, 2 bathrooms, furniture, appliances, internet, the view opens to a large garden, a large swimming pool, outside there is a kitchen, a bathroom, a grill, a bisetka for 20 peopleTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18375748,,,
Country House,Stone,55 sq.m.,2,1,1,Designer Renovation,360 sq.m.,"1-я улица 154/1, Зовуни","20,000 ֏ daily",AMD,Здается помесячно сад Беседка на 20человек Бассейн Мангал бухари вай фай идеальное место для отдыха комната сдается семье приличной максимум 3 человека техника холодильник фактически рядом с Давиташеном фотки вышлю цена указана при аренде на 6 месяцев и большеԿոդ Ayg01,Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17865663,,,
Country House,Stone,80 sq.m.,2,4,2,Euro Renovation,600 sq.m.,"Հարոյան փողոց 50/5, Բյուրեղավան","50,000 ֏ daily",AMD,"Near Yerevan, c. A two stored house is for rent in the beginning of Byureghavan summer houses (25 km away from the center։) 1st floor living room with kitchen, bathroom ․․․ Bedrooms on the 2nd floor and bathroom.Adjacent 80 sq. M. Indoor heating area, kitchen, Baxi system, high speed internet (wi-fi)Price per day 11․00-23․00 - 50.000 AMD70,000 AMD for a night rentTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17495035,,,
House,Stone,1000 sq.m.,3,6,3+,Designer Renovation,1200 sq.m.,Kotayk › Tsakhkadzor,"160,000 ֏ daily",AMD,"Private house, heated pool, sauna in Tsaghkadzor(Without intermediary)Call Viber /if unavailable/--5 bedroomsAtticIntended for 14 people3 bathrooms, 2 with tubOutdoor pavilion for 25 peopleMangalToneNatural fireplaceIndoor/outdoor swimming pool 10mx4mSaunaWiFi:Monday-Thursday 160,000 dramsFriday, Saturday, Sunday 190,000 dramsEntrance - 14.30Departure - 12.30Tsaghkadzor,swimming pool, daily rent house,mansion,TsakhkadzorTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/16570747,,,
Country House,Stone,500 sq.m.,1,3,2,Major Renovation,500 sq.m.,Kotayk › Nurnus,"25,000 ֏ daily",AMD,"A country house with all its facilities is provided for daily rent. The building has 3 rooms. One as a living room. It has 2 fully renovated bathrooms. There is hot and cold water... Gas. Light: The outside pavilion is closed on 3 sides. It has 2 swimming pools for adults and children. The large pool is filtered. From 10 am to 10 pm. 35,000 drams on weekends: Saturday and Sunday. Intended for 15 people. Call for details and to book in advanceTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17734254,,,
Country House,Stone,700 sq.m.,2,3,2,Euro Renovation,700 sq.m.,Kotayk › Abovian,"30,000 ֏ daily",AMD,"A summer house is for daily rent. The summer house has two pavilions (bisetka), barbecue, swimming pool, (1.60,5,2.45) garden, two bathrooms, gas, water, electricity, dynamic, two refrigerators. Hot water is provided for up to 15 people. (Zero-seven-seven-twelve-seven-eight-twenty)Translated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,8+,Yes,Yes,Not included,Without prepayment,https://list.am/en/item/17952394,,,
House,Stone,150 sq.m.,2,2,2,Major Renovation,300 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,"Roberto 2 - Mansion in Tsakhkadzor——* 2 bedrooms* 2 bathrooms* living room* kitchen* open balcony——* 6 people——Admission: 14:00Departure: 12:00——For details, call, when calling, mention Roberto 2...-Tsakhkadzordaily rentprivate houserent housesreal estaterenthousesfor daily rentNew YearNew YearCode Roberto2Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,6,Yes,No,Included,By Agreement,https://list.am/en/item/16836450,,,
House,Stone,250 sq.m.,3,4,3+,Designer Renovation,450 sq.m.,"Մայիսյան փողոց 27, Ծաղկաձոր","80,000 ֏ daily",AMD,"Diamond Villa - House in Tsakhkadzor——* 4 bedrooms* 2 living rooms* 3 bathrooms* kitchen* library* green yard* barbecue——* 14 people——Admission: 14:00Departure: 12:00——For details, call, mention Diamond Villa...——Tsakhkadzordaily rentprivate househouses for rentreal estaterenthousesfor daily rentTranslated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/16815733,,,
Country House,Stone,250 sq.m.,2,3,2,Major Renovation,,Kotayk › Tsakhkadzor,"45,000 ֏ daily",AMD,"Օրավարձով քոթեջ Ծաղկաձորում, 4-6 անձի համար՝ նորակառույց։Ունեն 2 ննջարան, կահավորված հյուրասենյակ, խոհանոց բոլոր անհրաժեշտ պարագաներով, 2 սանհանգույց:Հարմարություններ`* 2 ննջարան,* 2 սանհանգույց (1-ին հարկում լոգարան և սանհագույց, 2-րդ հարկում՝ սանհանգույց),* սպասք* միկրոալիքային վառարան* սառնարան* սալօջախ (плита)* օրթոպեդիկ ներքնակներ* սպիտակեղեն, սրբիչներ* ֆեն* մանղալ, խորոված պատրաստելու համար անհրաժեշտ պարագաներ* բացօթյա տաղավարներ* մանկական մինի անկյուն* սմարթ հեռուստացույց* wi-fiՏանը գիշերակացով կարող է մնալ 4-6 անձ։Check-in: From մուտք 14։00Check-out: Until ելք 12:00Dacha, oravarc, orakanov.",Nov-24-2022_22-33,Available,Not available,,,7,Yes,No,Included,By Agreement,https://list.am/en/item/14178717,,,
Country House,Stone,800 sq.m.,3,6,3+,Major Renovation,1000 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,"Օրավարձով է տրվում շքեղ վիլլա առանձնատուն Ծաղկաձորում, Մարիոթի հարևանությամբ։5 ննջարան, որից 2-ը սանհանգույցով,4 սանհանգույց,մանղալ, խորովածի պարագաներ,տաղավար (մինչև 7 անձի համար),սպասք,անկողնային պարագաներ,գեղեցիկ կանաչապատ բակ,Ինտերնետ wi-fi,6 սենյակԳինը պայմանագրային կախված օրերի և անձերի քանակից։Անկացրեք ձեր հանգիստը, խնջուքը այս շքեղ առանձնատանը։Ամրագրելու համար զանգահարել նախապես:",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/14181198,,,
Country House,Stone,1000 sq.m.,2,5,2,Major Renovation,,Kotayk › Tsakhkadzor,"70,000 ֏ daily",AMD,"Օրավարձով է տրվում շքեղ վիլլա, առանձնատուն Ծաղկաձորում։Check-in: From մուտք 14:00Check-out: Until ելք 12:004 ննջարան,1 սանհանգույց,Ջակուզի,Տաղավար,Մանղալ,WI-FI + TV Ucomբիլիարդ1/1 150 m2Տանը կարող է տեղավորել մինչև 10 անձ` Գիշերակացով, առանց գիշերակացի՝ 15 անձ։Գինը պայմանագրային կախված օրերի և անձերի քանակից։Անկացրեք ձեր հանգիստը գեղատեսիլ Ծաղկաձորում։Ամրագրելու համար զանգահարել նախապես:",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/14181214,,,
Country House,Stone,1000 sq.m.,2,3,2,Designer Renovation,2000 sq.m.,Kotayk › Aghveran,"120,000 ֏ daily",AMD,"A private house is for daily rent in Aghveran.* 3 bedrooms* 1 bathroom* Indoor event hall (Designed for up to 30 people)* Swimming pool (filtered)* Outdoor pavilion (designed for 80-100 people)* Tableware* Fireplace, barbecue (barbecue bottle)* Parking* Internet: Wi-fi* Air conditioner* Smart TV,* The house can accommodate 6-8 people per night.(entrance) - 14:00(exit) - 12:00* Friday, Saturday, Sunday and On non-working days the price is different.Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/14179296,,,
Country House,Stone,1000 sq.m.,2,4,2,Major Renovation,2000 sq.m.,Kotayk › Jrvezh,"120,000 ֏ daily",AMD,"Օրավարձով է տրվում շքեղ վիլլա, առանձնատուն Ջրվեժում։* 3 ննջարան* 2 սանհանգույց* 1 հյուրասենյակ* լողավազան* բիլիարդ* սեղան թենիս* Շոգեբաղնիք* տաղավար մինչև 25 անձի* Մանղալ* Ինտենետ wi-fi* սպասք, անկողնային պարագաներ* խորովածի շիշՏանը կարող է տեղավորել մինչև 8 անձ` Գիշերակացով։25 անձ առանց գիշերակացի, կա համապատսխան սեղան, աթոռ։Գինը պայմանագրային կախված օրերի և անձերի քանակից։Անկացրեք ձեր հանգիստը, խնջուքը այս շքեղ առանձնատանը։Ամրագրելու համար զանգահարել նախապես:",Nov-24-2022_22-33,Available,3 or more spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/14178576,,,
Country House,Monolith,350 sq.m.,1,2,1,Designer Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,"A luxurious house, cottage surrounded by pine trees is for daily rent in Tsaghkadzor.It is located next to Arka restaurant.* 1 bedroom on the 2nd floor* 1 bathroom* 1 living room with kitchen* Mangal (barbecue bottle)* Fireplace (1 bundle of wood is also provided)* Folding sofa* WI-FI-internet* parking lotThe house can accommodate 5 people overnight.Check in (entrance) – 14:00Check out - 12:00* The price is different on Friday, Saturday, Sunday and non-working days.Code WoodTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,5,Yes,No,Included,By Agreement,https://list.am/en/item/17675093,,,
House,Stone,300 sq.m.,2,5,2,Major Renovation,700 sq.m.,"5-րդ փողոց 79, Արզնի","$1,500 monthly",USD,"Արզնի 5 փ ․ 75 housesA two-storey 5-room private house is for rent in Arzni, far from the noise of the city, with a wonderful view.Designed for family հանգիստ collective and և parties. The house is provided with constant hot and cold water and heating.The private house can accommodate 13 people, the number of children is included in the mentioned number.On the 1st floor there is a living room with a fireplace / fireplace /, a bathroom, a bathtub, a washing machine.On the second floor there are 3 bedrooms, an entrance hall and a bathroom.Adjacent to the private house is a beautiful summer kitchen with a barbeque with all its accessories. There are seats for 30 people and kitchen utensils, sink and dishwasher.The house has a beautiful summer game hall, where there is billiards, tennis table, specialized poker table with all its accessories, lotto, dominoes, backgammon and chess. High quality audio system, permanent internet and WiFi are installed. There is a parking space for two cars in the yardWe will cooperate with tourism organizations on mutually beneficial terms.Translated from Armenian",Nov-24-2022_22-33,,,,,2,Yes,No,Not included,1 month,https://list.am/en/item/17959866,,,
Townhouse,Monolith,140 sq.m.,3,3,1,Designer Renovation,180 sq.m.,"Պահլավունյաց փողոց 11, Ծաղկաձոր","$1,500 monthly",USD,"4 separate apartments are for rent in one of the most beautiful and quiet parts of Tsakhkadzor city, on Pahlavunyats street.• Each apartment has 2 residential floors, individual parking, barbecue.2nd floor: Kitchen, living room with fireplace.On the 3rd floor, 2 bedrooms, each of which has a bathroom.• The apartments are fully renovated, equipped with equipment and appliances (wi-fi, smart TV)• Individual heating system is installed.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service fee - 50% of the monthly fee.Code SKP127Translated from Armenian",Nov-24-2022_22-33,By agreement,2 spots,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17508760,,,
Country House,Stone,150 sq.m.,1,4,1,Designer Renovation,1500 sq.m.,Kotayk › Abovian,"50,000 ֏ daily",AMD,"One-story stone country house in Abovyan, 150 square meters. M. , renovated in designer styleVerin Dubai offers a luxurious resort area where you can spend your vacation and all kinds of activities.Swimming poolDeckchairsFountain with color effectsPendulumSummer kitchen-pavilionMusic Center2 refrigeratorsDishRest room - wordTelevisionWi-Fi:Home-cinemaHookahBathroomOn working days - 50,000On non-working days - 60,000Up to 20 peopleThe holiday zone is provided without overnight stay-dacha, house, pool, pool, recreation zone, besedka, besedka, Abovyan, Zovuni, Dzoraghbyur.Translated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18129502,,,
House,Stone,80 sq.m.,1,2,1,Designer Renovation,250 sq.m.,"28-րդ փողոց 1, Զովունի","40,000 ֏ daily",AMD,"Gray House - Mansion in Zovuni——* 2 bedrooms* living room* kitchen* bathroom* yard* grate* booth——* 4 - 6 people——Entry: 14:00Departure: 12:00——Call for details, mention Gray House when calling...-A soldierdaily wageprivate househouses for rentreal estaterenthousesper diemCode GreyHousTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,4,Yes,No,Included,By Agreement,https://list.am/en/item/17287453,,,
House,Stone,245 sq.m.,3,4,2,Designer Renovation,290 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,4 bedrooms2 bathroomskitchenliving roomUnique fireplacepavilion**7-8 people**check in 14:00:Check out 12:00:Code rich-vilTranslated from Armenian,Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17150348,,,
House,Stone,120 sq.m.,1,4,1,Euro Renovation,400 sq.m.,"Մհեր Մկրտչյան փողոց 13/3, Ծաղկաձոր","400,000 ֏ monthly",AMD,"Сдается дом в Цахкадзоре на длительный срок! Все условия для проживания! 3 спальни зал совмещенный с кухней, во дворе беседка!",Nov-24-2022_22-33,Available,1 spot,,,6,Yes,No,Not included,1 month,https://list.am/en/item/17690753,,,
House,Stone,627 sq.m.,2,7,2,Cosmetic Renovation,761 sq.m.,"Jrvezh 8-th street 29, Jrvej","330,000 ֏ monthly",AMD,"A private house for sale or rent (1st floor basement, 2nd, 3rd residential), in the village of Jrvezh, near the 5th block of Nor Nork. There are fruit trees, water, gas, three-phase electricity, telephone, garage. The rent of the 1st floor is 150,000 AMD, the rent of the 2nd floor is 140,000 AMD, the 2nd floor is 330,000 AMD. Selling price $250,000Translated from Armenian",Nov-24-2022_22-33,Not available,2 spots,,,4,Yes,No,Not included,2 months,https://list.am/en/item/18037388,,,
House,Stone,1200 sq.m.,3,8+,3+,Cosmetic Renovation,800 sq.m.,Kotayk › Byureghavan,"$1,200 monthly",USD,A spacious private house is for rent in Nurnus with all utilities.Translated from Armenian,Nov-24-2022_22-33,,,,,8+,Yes,No,Not included,By Agreement,https://list.am/en/item/18375334,,,
Country House,Stone,1200 sq.m.,2,5,3+,Major Renovation,950 sq.m.,Kotayk › Verin Ptghni,"150,000 ֏ daily",AMD,"150,000 dinars per day.Long term $3300FurnishedCustomizedClean pool (all sanitary standards are observed)Warm and individual approach to each client.#rental #rental #pool #rental #summer #Yerevan #holiday #buy #sale #rental #pool #poolparty #vacation #Armenia #yerevan #summervacationCode A004Translated from Armenian",Nov-24-2022_22-33,,,,,2,Yes,No,Not included,1 month,https://list.am/en/item/18030760,,,
Country House,Stone,115 sq.m.,1,5,3+,Designer Renovation,1400 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,Unprecedented Action.Spend your vacation in a comfortable private house with discounted prices.For more information call:Translated from Armenian,Nov-24-2022_22-33,Available,3 or more spots,,,6,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/16152972,,,
House,Stone,220 sq.m.,2,3,2,Euro Renovation,450 sq.m.,Kotayk › Tsakhkadzor,"100,000 ֏ daily",AMD,"House with all amenities. For up to 6-8 people. It is also given with a monthly payment of 1,000,000 dramsTranslated from Armenian",Nov-24-2022_22-33,Available,1 spot,"TElevision, internet, barbecue oven","FRidge, stove, microwave, washing machine, water heater, iron, hair dryer",6,Yes,No,Included,By Agreement,https://list.am/en/item/12718698,,,
House,Stone,170 sq.m.,2,4,1,Cosmetic Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"55,000 ֏ daily",AMD,House with all amenities.Translated from Armenian,Nov-24-2022_22-33,Available,Not available,,,7,Yes,No,Included,By Agreement,https://list.am/en/item/12029087,,,
House,Stone,250 sq.m.,2,5,2,Designer Renovation,800 sq.m.,Kotayk › Tsakhkadzor,"60,000 ֏ daily",AMD,"5 bedrooms2 bathroomsLarge living roomkitchengreen yardbarbecue**10-12 people**check in 14:00:Check out 12:00:**Friday, Saturday, Sunday have a different valueTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17204009,,,
House,Stone,150 sq.m.,1,3,1,Designer Renovation,500 sq.m.,Kotayk › Garni,"60,000 ֏ daily",AMD,"A private house is for daily rent in GarniOvernight and without overnightEquipped with all utilities2 bedrooms 1 living roomThere are dishes and linenSummer pavilionBarbecue skewersPads:Green areaParking:Player:SMART TV:Swimming pool 5/3, depth 1․50For more information callTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17961308,,,
House,Stone,170 sq.m.,2,3,3+,Designer Renovation,340 sq.m.,Kotayk › Tsakhkadzor,"65,000 ֏ daily",AMD,Swimming poolsaunapavilion3 bedrooms4 bathroomskitchenliving roomgreen yard**6-8 people**check in 14:00:Check out 12:00:Code white-diTranslated from Armenian,Nov-24-2022_22-33,Available,Not available,,,6,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17561708,,,
