Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Parking,Amenities,Appliances,Window Views,The House Has,Links
Panels,No,Not available,5,60 sq.m.,2,1,from 2.75 m,4,Open balcony,Available,Major Renovation,3,No,No,Included,1 month,Ararat › Artashat,"150,000 ֏ monthly",AMD,"Right in the center of ArtashatNewly renovated unoccupiedCall for all other questionsFor normal people, the price is not finalTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18364346
Stone,No,Not available,5,41 sq.m.,2,1,from 2.7 m,5,Open balcony,,Major Renovation,8+,Yes,Yes,Not included,1 month,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.700USD per monthTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/13282916
Stone,No,Not available,5,82 sq.m.,3,1,from 2.8 m,5,Open balcony,,Old Renovation,,,,,,Ararat › Artashat,"90,000 ֏ monthly",AMD,The house has utilities: Hot and cold water is gasified.Translated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/18232803
Stone,No,Not available,5,86 sq.m.,3,2,from 3 m,1,Not available,Available,Euro Renovation,6,Yes,Yes,Not included,By Agreement,"August 23 street 23, Artaxata (Artashat)","$1,000 monthly",USD,"Сдается 3-комнатная квартира с евро ремонтом в Арташате. Есть все коммуникации, Мебель, бытовая техника, Baxi, Кондиционер3-room Euro-renovated apartment is for rent in Artashat. Has all the utilities, Furniture, appliances, Baxi, Air conditionerԿոդ N111",Nov-24-2022_17-52,"OUtdoor parking, garage","TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater","YArd view, street view, city view, view of ararat",PLayground,https://list.am/en/item/17459378
Stone,No,Not available,5,44 sq.m.,2,1,from 3 m,5,Open balcony,Available,Euro Renovation,4,Yes,Yes,Not included,By Agreement,"Շահումյանի փողոց 14, Արտաշատ","220,000 ֏ monthly",AMD,"Ежемесячная плата, ежедневная плата,2-комнатная квартира с евро ремонтом в Арташате. Все коммуникации в наличии, мебель, техника, посуда, постель, кондиционер, есть открытый балкон, рассчитан на 4 человека.Օրավարձով և ամսավճարով է տրվում 2 սենյականոց եվրովերանորոգված բնակարան Արտաշատ քաղաքում։ Առկա է կոմունալ բոլոր հարմարությունները, կահույք, տեխնիկա, սպասք, անկողին, օդորակիչ, ունի բաց պատշգամբ, նախատեսված է 4 հոգու համարԿոդ Nkg83",Nov-24-2022_17-52,,"TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater, iron","STreet view, view of ararat",,https://list.am/en/item/17494634
Stone,No,Not available,2,55 sq.m.,2,1,from 2.8 m,1,Closed balcony,Available,Euro Renovation,4,No,No,Not included,2 weeks,Ararat › Artashat,"100,000 ֏ monthly",AMD,"3 2-room apartments are for rent, fully furnished with all communal facilities. He is also on a daily rent of 9000 AMDTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16746210
Stone,Yes,Not available,4,64 sq.m.,3,1,from 3 m,2,Not available,Available,Major Renovation,2,Yes,No,Not included,By Agreement,Ararat › Masis,"350,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the city of Masis on the 2nd floor of a 4-story building (residential ground floor)The apartment is lined with two floors of stone, due to which it is warm in winter and cool in summer.Has all utilitiesThe pipes and wiring have been replaced, the floor has been completely replaced, the apartment is sunny and bright.The windows are of European production, the heating system is fondital, the bedroom and kitchen furniture are new. Used since August 2020.There are many shops nearby.A school, a bus stop and a kindergarten, as well as a newly reopened development center for children, a beauty salon and an entertainment center on the first floor of the building.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18229351
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,5,Closed balcony,Available,Old Renovation,4,Yes,No,Not included,1 month,"Ծովակալ Իսակովի փողոց 83, Արտաշատ","100,000 ֏ monthly",AMD,"2-room apartment for rent, old renovation, partial property. Call for more information. The apartment will be available on December 1.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18338062
Stone,Yes,Not available,2,54 sq.m.,2,1,from 2.75 m,2,Open balcony,Available,Major Renovation,1,Yes,Yes,Included,Without prepayment,Ararat › Geghanist,"8,000 ֏ daily",AMD,Newly renovated new furniture on the second floor of the house with different entrancesTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/17892910
Stone,No,Not available,3,41 sq.m.,1,1,from 2.75 m,3,Open balcony,Not available,Partial Renovation,2,Yes,No,By Agreement,By Agreement,"Улица Араратян 36, Веди","60,000 ֏ monthly",AMD,"Վարձով է տրվում բնակարան Վեդի քաղաքում /Արարատի մարզ/. Բնակարանը գտնվում է եռահարկ քարե շենքի երրորդ հարկում, ունի ընդարձակ բաց պատշգամբ՝ արևկող, ունի ներքին մասնակի հարդարում, սանհանգույց, ջուր, հոսանք։ Վարձով է տրվում առանց կահույքի։Сдается в аренду квартира в городе Веди /АР, Араратская область/. Квартира расположена на третьем этаже трехэтажного каменного дома, имеет открытый просторный балкон: Солнечная, имеется внутренняя частичняя отделка, санузел, вода, электричество. Сдается без мебели.",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18575614
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,5,Closed balcony,By agreement,Cosmetic Renovation,6,Yes,No,Not included,1 month,Ararat › Masis,"140,000 ֏ monthly",AMD,The apartment can be provided emptyand furnishedWe will agreeIt is gasifiedAvailable with a depositTranslated from Armenian,Nov-27-2022_18-51,,,,,,https://list.am/en/item/18559499
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Available,Euro Renovation,4,Yes,No,Not included,1 month,Ararat › Artashat,"200,000 ֏ monthly",AMD,"A 3-room apartment is for rent at August 23, Artashati, which is in perfect condition, equipped with property, appliances and dishes.For long-term rent.In case of questions, call:No bargaining. Please do not call to bargain...Translated from Armenian",Nov-27-2022_18-51,,"TElevision, air conditioner","FRidge, stove, coffee maker, washing machine, water heater","YArd view, street view",,https://list.am/en/item/18623257
Stone,Yes,Not available,3,570 sq.m.,8+,3+,from 3 m,3,Open balcony,Available,Designer Renovation,8+,Yes,Yes,Not included,1 month,"Kentronakan 4th Street 8, Argavand","$3,500 monthly",USD,"Внимание:! Красивый частный дом в Аргаванде сдается на длительный срок с 14 ноября. В особняке все сделано со вкусом, главное с любовью, хорошая аура, главное хозяева замечательные люди, которые всегда придут на помощь в любом вопросе.В доме могут жить даже две семьи. Домашние животные разрешены только (маленькие собаки) Небольшой сад с бассейном, где расположены красивые искусственные (пальмы) деревья, Двор имеет 40 квадратных метров (бисетка), 100 квадратных метров парковочного места, 20 квадратных метров (catelni), барбекю.В квартире на 1 этаже 1 гостиная, кухня, 1 комната, 1 санузел, отдельное подсобное помещение, холл, большой балкон. Квартира полностью отремонтирована, отапливается системой отопления (Католов) зимой, теплым паркетом и летом (калонка) В доме есть кондиционер, посудомойка, микроволновая печь. Вся кухонная утварь (посуда и белье) останется. Предоставляется для использования. Есть пылесос, сушилка и гладильная доска. В доме очень жарко, стены толстые. 2-й этаж особняка состоит из 5 комнат, отдельной (джакузи) игровой комнаты, ванной комнаты, интернета и кабельного телевидения. Дом расположен недалеко от автобусной остановки, до центра можно добраться за 20 минут на машине. Красивый зеленый сад, поверьте, гораздо лучше, чем на фото. Спальни видны на видео: Сдается 3-х этажный частный дом в Аргаванде посуточно (только двор)Бассейн (с фильтром)Буфет на 30-35 человекГриль, тостер. Комната 1 настольный теннис-WI-FI. 9:00-23:00Я могу отправить видео о доме и саду реальным клиентам. Свяжитесь со мной для получения подробной информации по указанным контактам: Мы с удовольствием ответим On Time Realty-Real Estate Agency։",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18498481
Stone,Yes,Not available,5,64 sq.m.,3,1,from 2.75 m,4,Open balcony,By agreement,Major Renovation,3,Negotiable,No,Not included,By Agreement,"3-րդ թաղամաս 20, Մասիս","160,000 ֏ monthly",AMD,"The apartment is located in a newly built building, in front of the Masis Medical Center, fully renovated and uninhabited.Translated from Armenian",Nov-27-2022_18-51,OUtdoor parking,TElevision,"STove, washing machine, water heater",VIew of ararat,,https://list.am/en/item/18593063
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,2,Closed balcony,Available,Euro Renovation,3,Yes,No,Not included,2 months,"Dprocakanner alley 10, Masis","120,000 ֏ monthly",AMD,"A two-room apartment is for rent, all communal facilities are available with partial use, for details, call and visit our agency.Translated from Armenian",Nov-27-2022_18-51,,TElevision,"STove, washing machine, water heater","YArd view, street view, city view, park view, view of ararat",,https://list.am/en/item/18573553
Panels,No,Not available,5,80 sq.m.,3,1,from 3.5 m,1,Not available,,Euro Renovation,6,Yes,No,Included,Without prepayment,"Dprocakanner street, Masis","200,000 ֏ monthly",AMD,"We offer a 3-room apartment for rent in K. In Masis, the apartment is located in the center, it has all the possibilities for living, the apartment is furnishedTranslated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18539223
Panels,No,Not available,5,67 sq.m.,2,1,from 2.5 m,3,Closed balcony,Available,Designer Renovation,3,Yes,No,Not included,2 months,"Abovyan street, Ararat","60,000 ֏ monthly",AMD,"The apartment is located in Zod Banavan, OCF. Next to the troop. The apartment is renovated, 2 rooms have been converted into 3. It is handed over together with the property.Translated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18578990
Monolith,Yes,Available,3,70 sq.m.,2,1,from 2.8 m,3,Open balcony,Available,Euro Renovation,4,Yes,No,Not included,By Agreement,"August 23 street 23, Artaxata (Artashat)","180,000 ֏ monthly",AMD,"В городе Арташат сдаются новые, отремонтированные и нежилые квартиры 2-х и 3-х комнатные. Имеются все коммуникации, имущество, бытовая техника, индивидуальная система отопления BAXI.Արտաշատ քաղաքում վարձով են տրվում 2 և 3 սենյականոց նոր, կապիտալ վերանորոգված և չբնակեցված բնակարաններ նորակառույց շենքում։ Առկա են բոլոր կոմունալ հարմարությունները, գույք, տեխնիկա, BAXI համակարգ։",Nov-27-2022_18-51,"OUtdoor parking, covered parking","TElevision, internet, parking space","FRidge, stove, washing machine, water heater","YArd view, street view, city view, view of ararat",INtercom entry,https://list.am/en/item/18510703
Stone,No,Not available,5,40 sq.m.,1,1,from 2.7 m,4,Open balcony,By agreement,Partial Renovation,3,Yes,Negotiable,Not included,1 month,"Dprocakanner street, Masis","110,000 ֏ monthly",AMD,2 apartments converted into 1Translated from Armenian,Nov-27-2022_18-51,,,,,,https://list.am/en/item/18614406
Panels,No,Not available,5,80 sq.m.,2,1,from 2.8 m,1,Closed balcony,By agreement,Euro Renovation,8+,Yes,No,Not included,By Agreement,"Isakov street, Artaxata (Artashat)","250,000 ֏ monthly",AMD,"A 2-room, bright, sunny apartment is for rent in Artashat city, on Isakov street, newly renovated, provided with natural gas, hot and cold spring water, and light.Translated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18428581
Stone,No,Available,4,47 sq.m.,2,1,from 2.7 m,1,Closed balcony,Available,Major Renovation,4,No,No,Included,By Agreement,Ararat › Artashat,"15,000 ֏ daily",AMD,"Մարրքսի 7 հասցեում վարձով է տրվում 2 սենկանոց բնակարան, կոմունալ բոլոր հարմարություններով տրամադրվումե լոգասենյակի պարագաներ ե սպիտակեղեն, գույքի, սպասքի, տեխնիկայի հետ միասին, ջեռուցման համակարգ, ամբողջ հատակը տաքացվող մեծ սանհանգույց, Լվացքի մեքենա, smart հեռուստացույց, օթօրակիչ, միկռո ալիքային վառարան, սառնարան, կաթսա, տաք սառը ջուր, բաք տրվում է 5 օր եվ ավելի ժամկետով 1 օրվա համար չզանգել the address marrks 7, a one-bedroom apartment with all communal amenities is for rent, along with real estate, dishes, appliances, heating system, a large bathroom with underfloor heating, washing machine, smart TV, house, microwave oven, refrigerator, stove, hot cold water, По адресу марркс 7 сдается в аренду двухкомнатная квартира со всеми коммунальными удобствами, вместе с недвижимостью, посудой, техникой, системой отопления, большой санузел с подогревом всего пола, стиральная машина, smart TV, домик, микроволновая печь, холодильник, плита, горячая холодная вода, бакTranslated from Armenian",Nov-27-2022_18-51,,,"FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,,https://list.am/en/item/18408785
Stone,No,Not available,4,40 sq.m.,2,1,from 2.8 m,4,Not available,Available,Major Renovation,1,Yes,No,Not included,2 weeks,Ararat › Masis,"130,000 ֏ monthly",AMD,"В городе Масис 'недалеко от площади 'сдается 2 - х комнатная квартира. Квартира полностью отремонтирована и сдается со всей мебелью. В гостиной 'спальне и кухне имеются встроенные удобные шкафы. Есть большой стол 'мягкая мебель (диван и 2 кресла) '2 -х спальная кровать 'стиральная машина 'большой холодильник'газовая плита. Есть кондиционер 'В квартире есть холодная и горячая вода. Квартира находится в бывшем здании общежития. 'недалеко от супермаркета "" Инесса "". СДАЕТ СОБСТВЕННИК. ТОЛЬКО НА ДЛИТЕЛЬНЫЙ СРОК (1 ГОДА -до 1'5) Оплата за первый и последний месяц. Депозит обязателен. / ЗВОНИТЬ НА НОМЕР ВАЙБЕР А /",Nov-27-2022_18-51,,AIr conditioner,"FRidge, washing machine","YArd view, street view",,https://list.am/en/item/17751494
Stone,No,Not available,5,80 sq.m.,3,1,from 2.8 m,3,Closed balcony,Available,Euro Renovation,8+,Yes,No,By Agreement,By Agreement,"Isakov street, Artaxata (Artashat)","$1,000 monthly",USD,"For rent, call for questionsTranslated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18414185
Panels,No,Not available,5,78 sq.m.,3,1,from 2.8 m,4,Multiple balconies,Available,Major Renovation,4,Negotiable,No,Included,1 month,Ararat › Artashat,"160,000 ֏ monthly",AMD,"Capital renovated, uninhabited, it has all the amenities with goods and appliances. It has 2 bedrooms, a furnished living room, a furnished kitchen, furnished euro windows. The front door is double-glazed. For details, call the number indicated, long-term negotiable. Patkanyan 62.Translated from Armenian",Nov-27-2022_18-51,,"TElevision, internet","FRidge, stove, washing machine, water heater","YArd view, street view, city view, view of ararat",,https://list.am/en/item/17575418
Panels,No,Not available,5,47 sq.m.,2,1,from 2.75 m,4,Not available,Available,Major Renovation,1,Negotiable,Negotiable,Not included,By Agreement,Ararat › Ararat,"90,000 ֏ monthly",AMD,"Сдается 2-комнатная квартира.В квартире есть все коммуникации.Есть имущество, техника.БаксидепозитՎարձով է տրվում 1 դարձրած 2 սենյականոց բնակարան Արարատ քաղաքում: Բնակարանը ամբողջությամբ վերանորոգված է:",Nov-27-2022_18-51,OUtdoor parking,"TElevision, internet, parking space","FRidge, drying machine","YArd view, street view, city view",PLayground,https://list.am/en/item/18621263
Panels,No,Not available,5,70 sq.m.,2,1,from 2.7 m,4,Multiple balconies,Available,Euro Renovation,6,Yes,No,Not included,By Agreement,"Armavir Province Roadway, Hovtashat","100,000 ֏ monthly",AMD,Please read carefully.The apartment is located 7 km from the city of Etchmiadzin in the Chobankara military settlement. A military bus runs from Avan to Etchmiadzin. We give the apartment to a family.Translated from Armenian,Nov-27-2022_18-51,OUtdoor parking,"TElevision, internet","FRidge, stove, microwave, coffee maker, water heater, iron","YArd view, street view, city view, park view, view of ararat",PLayground,https://list.am/en/item/18609964
Panels,No,Not available,5,96 sq.m.,4,1,from 2.8 m,3,Multiple balconies,Available,Cosmetic Renovation,4,Yes,No,Not included,2 months,Ararat › Artashat,"100,000 ֏ monthly",AMD,Сдам в аренду 4х комнатную квартиру на ул Араз,Nov-27-2022_18-51,,,,,,https://list.am/en/item/17748506
Panels,No,Not available,5,64 sq.m.,3,1,from 2.75 m,5,Open balcony,,Euro Renovation,5,Yes,No,Not included,1 month,"3-րդ թաղամաս 8, Մասիս","200,000 ֏ monthly",AMD,"Վարձով է տրվում 2ը 3սենյականոց դարձրած բնակարան, Մասիս քաղաքում, 3րդ թաղում։ Կոմունալ բոլոր հարմարություններով, գույքի հետ միասին։ Ռեալ ցանկացողների հետ կսակարկվի։ Մանրամասների համար զանգահարել։В городе Масис, в 3ом квартале сдается двухкомнатная, переделанная в трёхкомнатную квартира. Со всеми коммунальными удобствами и мебелью. Реальным клиентам возможен торг. Для подробностей звонить.",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18547558
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Available,Partial Renovation,5,Yes,No,Not included,1 month,"Isakov street 101, Artaxata (Artashat)","90,000 ֏ monthly",AMD,The apartment is in a clean condition with partial furniture and is for long-term rent onlyTranslated from Armenian,Nov-27-2022_18-51,OUtdoor parking,,"STove, washing machine, water heater",STreet view,INtercom entry,https://list.am/en/item/18602849
Stone,Yes,Available,4,72 sq.m.,3,1,from 3 m,4,Open balcony,Available,Euro Renovation,4,Yes,Negotiable,Not included,By Agreement,"Kentronakan street, Yerevan","320,000 ֏ monthly",AMD,"House for rent, 3-room apartmentAlso available on a daily basisTranslated from Armenian",Nov-27-2022_18-51,OUtdoor parking,"TElevision, air conditioner, internet","FRidge, washing machine, iron","CIty view, view of ararat",,https://list.am/en/item/18602658
Stone,No,Not available,1,100 sq.m.,4,1,from 3 m,1,Not available,Available,Partial Renovation,5,Yes,Yes,By Agreement,1 month,"Գայի փողոց 11, Նշավան","70,000 ֏ monthly",AMD,"A private house is for rent in the village of Nshavan, which has hot water, gas, and electricity. It is in normal condition. Call for details.Translated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18562213
Stone,No,Not available,5,80 sq.m.,3,2,from 2.8 m,5,Multiple balconies,Available,Euro Renovation,4,Yes,No,Not included,By Agreement,"August 23 street 23, Artaxata (Artashat)","200,000 ֏ monthly",AMD,"3-room capital, renovated euro-renovated apartment for rent in the city of Artashat, 5th floor of a stone building, central, 23 Ogostos street. All utilities, property, appliances, dishes, air conditioner, wi-fi are available. It has 2 open balconies.Translated from Armenian",Nov-27-2022_18-51,OUtdoor parking,"TElevision, air conditioner, internet","FRidge, stove, washing machine, water heater, iron","YArd view, street view, city view, view of ararat",PLayground,https://list.am/en/item/18591151
Stone,No,Not available,5,70 sq.m.,3,1,from 2.5 m,3,Not available,Available,Partial Renovation,8+,Yes,No,Not included,1 month,"Улица Араза 1, Арташат","130,000 ֏ monthly",AMD,"Сдаётся нормальная трёхкомнатная квартира. В наличии вся мебель и техника.При вселении оплата первого месяца.Վարձով է տրվում 3֊սենյականոց բնակարան 3֊րդ հարկում։ Բնակարանը գտնվում է լավ վիճակում, ապահովված է գույքով և տեխնիկայով, ջեռուցման համակարգով։ Դեպոզիտով։",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18172245
Stone,No,Not available,2,62 sq.m.,2,1,from 2.6 m,2,Open balcony,,Major Renovation,4,No,No,Not included,By Agreement,"Квартал Нор 24, Масис","200,000 ֏ monthly",AMD,"It is in an ideal condition. The house has all comforts, it also has the ability to heat and cool air conditioners. It is located only 30 minutes / 15 km from Yerevan. It has the possibility of parking 3 cars.Translated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18141849
Stone,No,Not available,2,85 sq.m.,3,1,from 3.2 m,2,Closed balcony,,Major Renovation,5,Yes,No,Not included,By Agreement,"8-րդ փողոց 1, Նոր Խարբերդ","200,000 ֏ monthly",AMD,"The apartment is completely renovated, it is rented together with the property, it is heated with a heating system, it is rented for a long term, there are shops and a supermarket nearby, and the transport is 30 meters away, for details, call 12; 00 21; 00:00Translated from Armenian",Nov-27-2022_18-51,,,,,,https://list.am/en/item/18519728
