Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,765 sq.m.,2,7,2,Old Renovation,555 sq.m.,Aragatsotn › Ashtarak,"$69,000",USD,"A private house is for sale in Ashtarak, the private house is located in a cool, elevated part of Ashtarak (Mikoyan str.), from where there is a wonderful view.On the second floor of the mansion there are: 1 roof covering, naves, 7 rooms, bathroom and toilet.Utilities: Gas, electricity, water is constant, irrigation water is also available.There is also an orchard in front of the house.The total area is 765 square meters, of whichThe floor area of the house is 210 square meters.And the area of the fenced land is 555 square meters.The price is $69,000Translated from Armenian",Nov-25-2022_00-24,,2 spots,,,,https://list.am/en/item/17738697,,,,,,
Country House,Stone,210 sq.m.,3,4,2,Old Renovation,2400 sq.m.,Aragatsotn › Kosh,"$75,000",USD,"3-storey stone house for sale. The house has a mansard area, basement (70 sq. M.) and balconies. The house consists of a kitchen, a living room, 2 bathrooms and 3 bedrooms. There is a tonratun and irrigation pool;The garden of the land is cultivated, there are 200 + fruit trees. The house is electrified, there is irrigation water, there is a sewer. The environment is suitable for further expansion.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17750026,,,,,,
House,Stone,820 sq.m.,2,5,3+,Euro Renovation,700 sq.m.,"Թամազյան փողոց 60, Աշտարակ","$130,000",USD,"A 2-storey detached house for sale in the city of Tardar, completely renovated, 700 square meters of land with the building, an orchard (figs, cherries, apricots, hazelnuts, almonds, cherries, pomegranates), it is completely fenced, the area of each floor is 120 square meters, 5 rooms, garage, all windows have been replaced, water tanks 200, 500 liters capacity, gas, water, electricity, another stone bathroom in the yard, half-built swimming pool, large yard, fireplace in the yard, wooden pavilion for 40 people.On the first floor, a large foyer, 2 rooms, corridor, bathroom, kitchen, entrance to the garage from the corridoron the 2nd floor, a large foyer, a kitchen, a bathroom with a toilet, a large dining room, 2 rooms. It is also possible to sell with the property.I am not an intermediary, not an agency, I am an individual. Very urgently:Translated from Armenian",Nov-25-2022_00-24,By agreement,1 spot,,,,https://list.am/en/item/17975764,,,,,,
House,Stone,1300 sq.m.,2,3,1,Cosmetic Renovation,239 sq.m.,Aragatsotn › Kosh,"$52,000",USD,"Urgently for sale a private house in Kosh village.The house has an orchard, a barn, a garage.The house has all the utilities.Price is negotiable.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17738872,,,,,,
Country House,Panels,1280 sq.m.,2,4,1,Cosmetic Renovation,,Aragatsotn › Aparan,"$45,000",USD,"It is located in the village of Arai, the swimming pool is in normal condition, but it has not been repaired. CALL FOR DETAILSTranslated from Armenian",Nov-25-2022_00-24,Not available,2 spots,,,,https://list.am/en/item/18356203,,,,,,
House,Stone,105 sq.m.,1,5,1,Euro Renovation,1500 sq.m.,Aragatsotn › Ashtarak,"$100,000",USD,"The house is located in a good condition with all utilities, gas, electricity, water, sewage, in case of any questions, please call Parpi for real sale, negotiable.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18109321,,,,,,
House,Stone,600 sq.m.,1,4,1,Major Renovation,410 sq.m.,Aragatsotn › Ashtarak,"$76,000",USD,"A newly built stone house is for sale in Mughni district of Ashtarak city. It is suitable for residence, as well as for the implementation of guest houses, production areas, pubs and other interesting business projects. From the windowsBeautiful view to Ashtarak city and Mount Ararat. The interior of the house is in good condition, the house has 3 bedrooms, 1 living room, 1 kitchen, heating system, 24 hours water, constant hot-cold water-gas. Iron entrance door, euro windows, laminate flooring, press granite corridor, bathroom 1 / combined /, modern tiled. Has a basement of 75 sq. M. / basement + semi-basement / yard, the improvement works are unfinished, with a garden and fruit trees; cherries, apricots, walnuts, peaches, plums, cherries, figs ող grapes. There are many shops, a school, a swimming pool and entertainment places nearby. Land area of 600 square meters, Residential building 180 square meters, 1st floor + basement. , sewer, adjacent building / poultry house /.Code H-616Translated from Armenian",Nov-25-2022_00-24,By agreement,Not available,,,,https://list.am/en/item/17758621,,,,,,
House,Stone,2600 sq.m.,2,5,2,No Renovation,2419 sq.m.,"Ամատունի փողոց 9, Օշական","$63,000",USD,"2-storey private house is for sale in Oshakan, on Amatuni street, 300m away from the main road. The 1st floor serves as a basement, there is a bathroom inside, the 2nd floor is a residential area (177 square meters)The house has an old renovation, European-made windows, wooden interior doors, an iron entrance door, a galvanized roof.There is also a summer kitchen, tonratun-19 sq. M., barn-25 sq. M., garden, various fruit trees(apricot, apple, fig, walnut ․․․․), gate, fenced.The house is provided with constant water and gas.You can call the mentioned phone numbers for details.Code K-341Translated from Armenian",Nov-25-2022_00-24,By agreement,1 spot,,,,https://list.am/en/item/16745443,,,,,,
House,Stone,240 sq.m.,3,6,2,No Renovation,3000 sq.m.,Aragatsotn › Lernarot,"$30,000",USD,"3-storey private house for sale, has a large fruit garden of 3000 meters. It is located about 30 km away from Ashtarak town.Translated from Armenian",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/16466492,,,,,,
House,Stone,886 sq.m.,3,5,1,No Renovation,600 sq.m.,Aragatsotn › Ashtarak,"$40,000",USD,"A half-built private house is for sale in Parpi village. Total 886 square meters, residential - 263.3 square meters. The construction of the walls and the roof has been completed. The house is located on the river bank, there are fruit trees, the communications are close.The house is located on the road to Parpi gorge.Call for more information.The agency commission is 2%. An exhibition contract is signed for the screenings. Please have your ID.To view other similar announcements, go to:According to Sergey Papikyan, there are apartments for rent and sale.E-mail Address: arminrealty@mail.ruInstagram: Armin_Realty:Facebook: Armin Realty:Translated from Armenian",Nov-25-2022_00-24,Not available,Not available,,,,https://list.am/en/item/14854603,,,,,,
Country House,Monolith,200 sq.m.,3,4,3+,Designer Renovation,1200 sq.m.,Aragatsotn › Ohanavan,"$360,000",USD,"A beautiful summer house is for sale in Ohanavan. The summer house has a cultivated garden, an outdoor swimming pool, a wonderful view to the gorge and Hovhanavank church. Residential առանձին The separate building in the yard is capitally renovated. For details, call the mentioned phone numbers.Translated from Armenian",Nov-25-2022_00-24,By agreement,2 spots,,,,https://list.am/en/item/16881342,,,,,,
Country House,Stone,1520 sq.m.,3,3,3+,Cosmetic Renovation,1520 sq.m.,Aragatsotn › Ashtarak,"$110,000",USD,"A private house is for sale in Mughni, in a new district. For details, please callTranslated from Armenian",Nov-25-2022_00-24,,1 spot,,,,https://list.am/en/item/12998775,,,,,,
House,Stone,750 sq.m.,2,8+,3+,No Renovation,3000 sq.m.,Aragatsotn › Mughni,"$125,000",USD,2 floors + basementFence:0 condition eachCode A518Translated from Armenian,Nov-25-2022_00-24,Not available,Not available,,,,https://list.am/en/item/17909804,,,,,,
Country House,Stone,100 sq.m.,2,3,1,Old Renovation,1200 sq.m.,Aragatsotn › Byurakan,"$60,000",USD,Summer house for sale. Near the observatory in ByurakanTranslated from Armenian,Nov-25-2022_00-24,By agreement,Not available,,,,https://list.am/en/item/18299744,,,,,,
House,Stone,1500 sq.m.,2,4,1,No Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$45,000",USD,"The house is in good condition, 2 floors are not renovated, the price is not final, it has a total area of 1000 square meters, call the house for 180 square meters for details.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17502547,,,,,,
Country House,Stone,1200 sq.m.,2,4,2,Major Renovation,1200 sq.m.,Aragatsotn › Ashtarak,"$270,000",USD,"House/summer house HOLIDAY VILLA for sale in Aghdzk village of Ashtarak (Dzorap) All facilities are created to organize a family vacation.He works for a daily wage (110,000-170,000 AMD per day)2-storey stone house.*gas, water, three-phase electricity. 35KW, + gasoline generator (6KW), solar water heater (360L)*kitchen*living room*3 bedrooms*2 open balconies*bathrooms* sauna with its relaxation room and separate bathroom*heating system️, cooling system️The yard is equipped.*toaster, grill, summer kitchen*swimming pool ️ 4X8 m. Size (with filtration system)*2 booths*Parking for 6 + carsAvailable for entertainment:*table tennis, table football, table hockey*children's playground* swings, pegsTranslated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18090554,,,,,,
House,Monolith,130 sq.m.,1,3,2,Euro Renovation,840 sq.m.,Aragatsotn › Ashtarak,"$63,000",USD,"Own house for sale in the center of Ashtarak, at the back of Tsiran supermarket.Fully fenced street with all utilities fully renovated, illuminated, has state sewer, close to kindergarten, school, shops, banks.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18302433,,,,,,
House,Monolith,235 sq.m.,2,6,1,Old Renovation,6 sq.m.,"Улица Смбата Шаазиза 17, Аштарак","$75,000",USD,"СРОЧНАЯ ПРОДАЖА ДОМА! Живу в России, в Армению не планирую возвращаться, поэтому такая низкая цена, в любой день можно прийти и посмотреть дом. В доме имеется гараж, так же во дворе есть фруктовые сады. До Еревана 10 км. НЕБОЛЬШОЙ ТОРГ УМЕСТЕН!",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17418675,,,,,,
House,Stone,360 sq.m.,3,6,3+,Cosmetic Renovation,3350 sq.m.,"Արագածի փողոց 38, Ոսկեվազ","$220,000",USD,"In the village of Voskevaz, Aragatsotn marz, a spacious 3-storey detached house is for sale.• The mansion consists of 3 floors.On the first floor there is a parking space, a basement, a kitchen.On the 2nd floor: 2 living rooms, 2 bedrooms, 1 bathroom.On the 3rd floor: Outdoor balcony, living room, bedroom.• The house is renovated.• Heating is carried out through an individual system.• Bathrooms are tiled, equipped with necessary plumbing equipment.• The floors are covered with laminate.• The house has a garden with fruit trees, there is a swimming pool, a meeting room, a barbecue and a bathroom.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code SKP250Translated from Armenian",Nov-25-2022_00-24,By agreement,2 spots,,,,https://list.am/en/item/18373865,,,,,,
House,Stone,700 sq.m.,2,8+,2,Major Renovation,,"Sisakyan St, Ashtarak","$153,000",USD,"3-storey private house + dental clinic is for sale in the center of Ashtarak. First floor: Playroom, hall, kitchen, living room, bathroom, dental clinic.Second floor: 5 bedrooms, bathroom.Third floor, open balcony.Living area is 420 square meters, total land area is 700. Fruit trees, boiler house, barbecueTranslated from Armenian",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/15716787,,,,,,
Country House,Stone,96 sq.m.,1,4,1,Designer Renovation,342 sq.m.,Aragatsotn › Byurakan,"$240,000",USD,"Pump, permanent drinking water, gas, heating (warm floor in the whole house, has a remote control gate with 4 panels, intercom, summer kitchen, tonir, sieve, swimming pool, privatized, not under the bank. For sale together with all the property and equipment. For rent. It is not given in any way.Translated from Armenian",Nov-25-2022_00-24,Available,3 or more spots,,,,https://list.am/en/item/16563242,,,,,,
Country House,Stone,150 sq.m.,1,5,2,Designer Renovation,3000 sq.m.,Aragatsotn › Tegher,"$85,000",USD,"It is located in Teher village, on the road to the church, on the street, it can be used as a summer house for daily rent. The entire 3000 m is surrounded by fruit trees ""apricot, apple, cherry"". The entrance to the summer house is surrounded by fir trees. About 100 sq. M. A stone house in need of cosmetic repairs. The area is landscaped and fenced.NegotiableTranslated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18025557,,,,,,
House,Stone,150 sq.m.,1,5,1,No Renovation,860 sq.m.,Aragatsotn › Agarak,"$65,000",USD,"It is located in Agarak village of Ashtarak, there is drinking water and electricity, the gas line is 2 meters from the house, it was built in 2020, it has all utilities, there is also an underground well basement under the house, you can call the indicated number and Viber VatsapTranslated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/16399779,,,,,,
Country House,Monolith,850 sq.m.,3,4,1,Major Renovation,3000 sq.m.,"Charents street, Agarak","$125,000",USD,"Fully renovated, 4 rooms, sauna, productive garden, open balcony, call for details, 3rd floorTranslated from Armenian",Nov-25-2022_00-24,Available,3 or more spots,,,,https://list.am/en/item/18130972,,,,,,
House,Stone,1007 sq.m.,2,7,1,Old Renovation,,"Shiraz Street, Ashtarak","$70,000",USD,"Адрес: Г. Аштарак, Шираз 32, общая площадь 1007 м2Продаю 2-х этажный частный дом, с подвалом, с постоянной питьевой водой и газом. С красивым садом. Есть гараж на 4 машины.Можно обмен на квартиру в Ереване.",Nov-25-2022_00-24,,,,,,https://list.am/en/item/16246992,,,,,,
House,Stone,672 sq.m.,3,6,2,Cosmetic Renovation,4000 sq.m.,"Grigor Lusavorich street 3, Mughni","$200,000",USD,"Отличный дом, коттедж (для постоянного проживания либо для выходного дня)Добрый день, продается дом от собственника, дом расположен на очень пейзажном месте с видом на ""три горы Арарат, Арагац и Араи"" ""рядом с домам Церковь Грикор Лусаворич""На участке 4000 м2 очень красивый фруктовый сад.Удобный подъезд для любого транспорта от федеральной дороги ""Ереван-Ванадзор 100 метров""Коммуникация в доме:1. Свет.2. Вода.3. Теплый пол.4. Канализация.Удобство в доме:В доме расположено 6 комнат.Большая просторная гостиная с панорамными окнами на фруктовый сад.Два холла на первом и втором этаже.Кухня и столовая отдельные, с выходом на улицу в сад.Прихожая.2-ва больших санузла на первом и втором этаже.Большой гараж на две машины, квадроцикл и снегоход.Большой зимний сад.Большой подвал полностью под домам.Винный погреб.ОДНА БОЛЬШАЯ ТЕРРАСА И ТРИ БАЛКОНА.Колоны, балясины и периллы из ферзита - бежевого цвета.Рядом проходит ГАЗ.Удобство двора:Большая пред домовая территория.Территория полностью огорожена каменным забором высотой 2 метра.Территория полностью освещаемая установлены светильники на металлических столбах.Поливочная система на каждый ряд дерева из металлических труб.Во дворе отдельно стоящая здание под сауну, бассейн и тренажер 120 м2 + зона отдыха 24 м2.Все остальное видно на фотографиях, по интересующим вопросам обращайтесь на указанный номер телефона либо пишите сообщение, ОТ СОБСТВЕНИКА, РЕАЛЬНОМУ ПОКУПАТЕЛЮ будет торг.",Nov-25-2022_00-24,,2 spots,,,,https://list.am/en/item/18296207,,,,,,
House,Stone,288 sq.m.,3,6,2,Old Renovation,,Aragatsotn › Ashtarak,"$130,000",USD,"Address: 100 Ashtarak Raffu StreetThe land area is 600 square metersTwo-story detached house, 288 square meters, 2 floors together. For sale with the property, except for the basement property, swimming pool, semi-basement, sewer, building adjacent to the swimming pool, which is intended for building a sauna, 4 security cameras are installed, 2 bathrooms, 5 bedrooms, 1 living room, heating system Baxi, European windows, 24-hour water, the building is 25 years old, the price is not negotiable, do not offer exchange.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17979465,,,,,,
House,Stone,260 sq.m.,2,6,2,Partial Renovation,750 sq.m.,Aragatsotn › Ashtarak,"$80,000",USD,"Ashtarak, Tandzanoz districtTwo-story stone house.Windows: Replaced, European windows.Entrance door: Iron.The roof: Tin.1st floor: 2 rooms2nd floor, 4 roomsFenced, orchard, basement 2 bathrooms, open balcony, natural gas, second floor tiled, floor tiled, bathroom tiled, bedrooms with built-in wardrobe.Parking for two cars.There is a septic tank in the garden.Translated from Armenian",Nov-25-2022_00-24,,Not available,,,,https://list.am/en/item/18167410,,,,,,
House,Stone,220 sq.m.,2,7,1,Old Renovation,4500 sq.m.,Aragatsotn › Ashtarak,"$33,000",USD,"A two stored house is for sale in Verin Sasunik village of Ashtarak. Has a land of 4500 square meters. Fruit trees. There is 90 sq. M. Next to the house. There is a tonir on the surface of the building, which is suitable for serving as a barn. There is permanent drinking water, irrigation water, light. The area has a beautiful view of Mount Masis. Price $ 33,000, negotiable.For more information call:Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/16006265,,,,,,
Country House,Stone,150 sq.m.,3,4,2,Cosmetic Renovation,500 sq.m.,Aragatsotn › Tegher,"$29,500",USD,"The summer house is located in the Teher village of Aragatsotn region, it has all the conditions for living. 1 living room, 3 bedrooms, 2 bathrooms, garage, kitchen, plot, with stone walls. It has a very beautiful view. Walnut, apple, almond, cherry, black mulberry trees. Summer house 3 It is storeyed.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17949240,,,,,,
House,Stone,120 sq.m.,1,4,1,Major Renovation,430 sq.m.,Aragatsotn › Mughni,"$82,000",USD,"A fully renovated private house is for sale in Ashtarak Mughni village, the house is 120 sq. M., the land is 430 sq. M., inside the driveway there is a 110 sq. M.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17550708,,,,,,
House,Stone,80 sq.m.,2,3,1,Cosmetic Renovation,523 sq.m.,Aragatsotn › Aparan,"$20,000",USD,"Срочно! Продам дом в Апаране в районе Кучак. Участок фасадный со стороны трассы, в 5минутах езды от знаменитого туристического Гнтуника. Участок огорожена качественным металлическим забором, есть гараж. Вода и электричество подведена. Участок находится а тихом и уютном местечке. Цена окончательная!",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/18026316,,,,,,
House,Stone,280 sq.m.,2,5,1,Major Renovation,3000 sq.m.,Aragatsotn › Mughni,"$123,000",USD,"Կոդ` B-17599Վաճառվում է 2 հարկանի առանձնատուն Մուղնի գյուղում։ Առանձնատունը վերանորոգված է, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, սանհանգույցը՝ սալիկապատ։ Ունի բաց լոջա, խոհանոցի կահույք, նկուղ-սառնարան (30 տոննա պտղի համար), չրերի արտադրության սարքավորում արևային և էլեկտրական եղանակով (150 կգ պտղի տարողունակությամբ), 2 ավտոտնակ, այգի՝ պտղատու ծառերով, ջեռուցման համակարգ, մշտական ոռոգման և խմելու ջուր, գազ։ Տեսարանը՝ դեպի Քասախի ձոր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Mughni village. The rooms quantity is 5 (1 hall and 4 bedrooms) The house is renovated and is stationed on the first line. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet, the bathroom is tiled. The house has a balcony, kitchen furniture, basement-refrigerator (for 30 tons of fruit), dried fruit production equipment in solar and electric mode (with a capacity of 150 kg of fruit), 2 garages, garden with fruitful trees, heating system and is supplied with constant irrigation and drinking water, gas. The view is towards the Kasakh Gorge.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-24,Available,2 spots,,,,https://list.am/en/item/14244607,,,,,,
House,Stone,200 sq.m.,2,5,2,Designer Renovation,600 sq.m.,Aragatsotn › Ashtarak,"$115,000",USD,"It is newly built, the architectural style with European, communal amenities.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17704750,,,,,,
Country House,Stone,1000 sq.m.,1,4,1,No Renovation,1000 sq.m.,"Մարշալ Բաղրամյան փողոց 18, Ապարան","$60,000",USD,The building is not renovated. The price is negotiable. The summer house is located in Yeghipatrush village of Aparan.Translated from Armenian,Nov-25-2022_00-24,Available,3 or more spots,,,,https://list.am/en/item/18357597,,,,,,
Country House,Stone,160 sq.m.,2,4,1,Major Renovation,3500 sq.m.,Aragatsotn › Ashtarak,"28,000,000 ֏",AMD,"The house is located in Avan village of Aragatsotn region.Capitally renovated, has all kinds of amenities, basement, tonratun, cellar, barn. Permanent water.Wonderful view, well-kept garden with abundant harvest.Opportunity to increase the area.It is a very comfortable summer house.Translated from Armenian",Nov-25-2022_00-24,By agreement,Not available,,,,https://list.am/en/item/16566248,,,,,,
House,Stone,100 sq.m.,2,4,2,Major Renovation,,Aragatsotn › Oshakan,"$100,000",USD,"Продаётся дом из туфа, в селе Ошакан. Дом расположен в ущелье на реке Касах. Дом двухэтажный, на первом этаже расположен большой гараж. На втором этаже расположены гостиная, совмещённая с кухней, и две спальные комнаты, просторная ванная комната. С двух сторон расположены террасы. Имеется дровяной камин. Рядом с домом есть гостевой домик, с санузлом.",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/13949085,,,,,,
Country House,Stone,303 sq.m.,2,4,1,Partial Renovation,767 sq.m.,Aragatsotn › Ashtarak,"$36,000",USD,"Oshakan, HovhannisyanThe land is 767 mThe house - 302.6Tonratun֊ 12,4Fence֊ 15,53Fence 10:35Translated from Armenian",Nov-25-2022_00-24,By agreement,2 spots,,,,https://list.am/en/item/17029343,,,,,,
House,Stone,200 sq.m.,2,5,1,Old Renovation,1500 sq.m.,Aragatsotn › Talin,"$18,000",USD,"A two-story private house for sale in Tsamakasar village of Tallinn, each floor is 100 square meters, on the first floor there is a living room, a kitchen, a bathroom, and a storage room. The bathroom is tiled, marble, hot and cold water, on the second floor, a large 3-bedroom apartment for sale with furniture, 1500 square meters, an orchard with popok, apple, apricot, pear, cherry, dambuli trees, one hectare of arable land for sowing wheat and barley.Q:Translated from Armenian",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/18102510,,,,,,
House,Stone,120 sq.m.,2,5,1,No Renovation,4850 sq.m.,"6th Street, Kosh","$58,000",USD,Дом строился в конце 1990 года дом каменный участок ухоженный имеется коммуникация питьевая вода Техническая вода электричество и забор.Обмен на машину или квартира в Ереване рассмотрю собственный дом в Московской области. На этот номере есть Ватсап 9999696186,Nov-25-2022_00-24,,,,,,https://list.am/en/item/16750752,,,,,,
