Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Parking,Amenities,Appliances,Window Views,The House Has,Links
Stone,Yes,Not available,5,78 sq.m.,4,1,from 2.7 m,3,Open balcony,Major Renovation,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"AS092:K. A 4-room apartment on the 5th/3rd floor is for rent in the Charents district of Etchmiadzin. The apartment is completely renovated, there is property and equipment. The cost is AMD 200,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,7.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/14284218
Stone,No,Not available,5,50 sq.m.,2,1,from 2.8 m,3,Not available,Major Renovation,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"K. A 2-room apartment on the 5th/3rd floor is for rent on Mashtots Street in Etchmiadzin. The apartment is fully renovated, provided with all utilities, property, equipment and heating system are available. The apartment will be available from December 15, but you can reserve it in advance. The cost is AMD 200,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/14284438
Panels,No,Not available,5,80 sq.m.,3,1,from 2.7 m,5,Open balcony,Major Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,Code AV013Commission 30%3-room apartment for rentOn Patkanyan street of Etchmiadzin cityFloor 5The area is 80 square metersAshotAir conditionerHeating SystemComes with all property appliancesFor more information call...Translated from Armenian,Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,1 month,OUtdoor parking,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron","YArd view, street view",,https://list.am/en/item/18019219
Stone,No,Not available,5,46 sq.m.,2,1,from 2.75 m,5,Not available,Euro Renovation,Armavir › Merdzavan,$500 monthly,USD,Сдаётся двухкомнатная квартира в 12 километров от Еревана. Всё необходимое для проживания есть. Сдаётся на 1-2 месяцев.Կոդ 3361Translated from Armenian,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/17534085
Stone,No,Not available,5,42 sq.m.,2,1,from 2.6 m,3,Closed balcony,Designer Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,From November 21A 2-room sunny apartment on the 2nd floor of a stone building is for rent in the center of Etchmiadzin. It is provided with all property and household appliances. Deposit and commission required.Code 7833Translated from Armenian,Nov-24-2022_17-51,,3.0,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/16755100
Stone,Yes,Not available,5,70 sq.m.,3,2,from 3.5 m,1,Multiple balconies,Euro Renovation,"Mesrop Mashtots St, Vagharshapat","300,000 ֏ monthly",AMD,"Newly renovated apartment in the center of Echmiadzin, equipped with everything, call for details, available both daily and monthly.Translated from Armenian",Nov-24-2022_17-51,Available,4.0,No,No,Not included,1 month,,,,,,https://list.am/en/item/18133624
Monolith,Yes,Available,11,52 sq.m.,2,1,from 3 m,4,Closed balcony,Euro Renovation,"Улица Хачатура Кечареци 17, Цахкадзор",$750 monthly,USD,Город цахказоя 2 комнаты квартира с прекрасным видом,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18349169
Stone,No,Not available,4,70 sq.m.,3,1,from 2.5 m,4,Closed balcony,Major Renovation,"Mesrop Mashtots street, Vagharshapat","10,000 ֏ daily",AMD,Fully renovated baxi air conditioner with hot and cold waterTranslated from Armenian,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/16719385
Stone,No,Not available,3,80 sq.m.,2,1,from 3 m,3,Open balcony,No Renovation,Armavir › Metsamor,"40,000 ֏ monthly",AMD,"An apartment is for rent in Metsamor city. It has 2 rooms, an open balcony. It does not have gas, old renovated, completely empty.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18364744
Stone,No,Not available,5,63 sq.m.,2,2,from 2.8 m,2,Not available,Major Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"AS124:K. A 2-room apartment on the 5th/2nd floor is for rent in Etchmiadzin. The apartment is completely renovated, has property, equipment, heating system, air conditioner, security system. The cost is AMD 250,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/16302779
Stone,No,Not available,5,90 sq.m.,3,1,from 2.75 m,2,Open balcony,Major Renovation,Armavir › Echmiadzin,"270,000 ֏ monthly",AMD,"270,000 drams per month3-room apartment with all appliances is for rentIn the center of Etchmiadzin cityWith 30% commission.Constant water, gas.AshotTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/14349261
Panels,No,Not available,5,61 sq.m.,2,1,from 2.75 m,2,Open balcony,Major Renovation,"Charents street, Vagharshapat",$800 monthly,USD,"Բնակարանը կապիտալ վերանորոգված է, ունի սեփական ջեռուցում ու շուրջօրյա ջրամատակարարում։ Տրվում է կահույքով և տեխնիկայով։ Պատերը կահավորված են պահարաններով։ Ունի նկուղ։Կատեգորիկ արգելվում է բոլոր տեսակի թռչունների ու կենդանիների մուտքը բնակարան։Եթե կա երեխա ապա, ուշադիր վերաբեևմունք գույքի նկատմամբ։ Տրվում է միայն կոկիկ ու մաքրասեր մարդկանց։Հեռավորությունը Երևանից 20 կմՀեռավորությունը օդանավակայանից 14 կմՎարձը 6֊12 ամսվա միանվագ։Լուսանկարների հղումը`/item/18055697Квартира с новым кап. Ремонтом, планировали жить сами, но пока решили сдавать. Поэтому ищем опрятных и чистоплотных жильцов.Просьба те, кто с домашними животными не беспокоить.Расстояние от Еревана 20км, от аэоропорта 14 кмОплата единовременное от 6-12 месяцевФото по ссылке /item/18055697Translated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,6 months,,,,,,https://list.am/en/item/18301354
Stone,No,Not available,5,70 sq.m.,4,1,from 2.7 m,5,Not available,Partial Renovation,Armavir › Echmiadzin,"280,000 ֏ monthly",AMD,3-room apartment for rent in Echmiadzin Kirovon the street40% commission1 floorUtilitiesAlong with property and equipmentTranslated from Armenian,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/13793397
Stone,No,Not available,5,45 sq.m.,2,1,from 3 m,3,Not available,Euro Renovation,"Մովսես Խորենացի փողոց 20Ա, Վաղարշապատ","250,000 ֏ monthly",AMD,"Сдается 2-комнатная квартира в центре Эчмиадзина. Квартира обеспечена всеми удобствами, сдается с мебелью и бытовой техникой. Он расположен в 18 км от центра Еревана.",Nov-24-2022_17-51,,2.0,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/17542705
Stone,No,Not available,5,76 sq.m.,4,1,from 2.7 m,4,Open balcony,Euro Renovation,Armavir › Echmiadzin,"270,000 ֏ monthly",AMD,"270,000 AMD for rentNegotiable4 bedroom private luxuryMini houseIn Echmiadzin50% commissionUtilitiesBucks systemThe floor will be heatedWith property, equipmentTranslated from Armenian",Nov-24-2022_17-51,,6.0,Yes,Yes,Not included,Without prepayment,,,,,,https://list.am/en/item/17924957
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,2,Open balcony,Major Renovation,Armavir › Echmiadzin,"300,000 ֏ monthly",AMD,"AS133:K. A 3-room apartment on the 5th/2nd floor is for rent in Etchmiadzin. The apartment is completely renovated, all utilities, property, equipment and heating system are available. The cost is AMD 300,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,5.0,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/18263077
Stone,Yes,Not available,5,70 sq.m.,3,1,from 2.8 m,3,Open balcony,Cosmetic Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"A renovated 3-room apartment is for rent in the center of Etchmiadzin, it has equipment with all the necessary things, baxi, constant hot and cold water, it is for rent and daily and monthly;For more information callCode 1102Translated from Armenian",Nov-24-2022_17-51,,3.0,No,No,Not included,By Agreement,,,,,,https://list.am/en/item/16583103
Stone,Yes,Not available,5,70 sq.m.,3,2,from 2.75 m,1,Multiple balconies,Cosmetic Renovation,"Mashtotsi St, Vagharshapat","15,000 ֏ daily",AMD,"An apartment is for daily rent in the center of Etchmiadzin with all its amenities, it has a bathroom, constant hot and cold water, refrigerator, TV, necessary furniture for living. It is newly renovated, it is located in the canton of Etchmiadzin, next to the square, it has a beautiful yard with trees and flowers. Call for details.THE APARTMENT IS NOT RENTED FOR 1 DAY, AND NOT CALL ALL, ONLY FOR 2 DAYS OR MORETranslated from Armenian",Nov-24-2022_17-51,,3.0,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/16665402
Stone,No,Not available,5,60 sq.m.,2,1,from 2.8 m,4,Open balcony,Major Renovation,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"AS109:A 2-room apartment on the 5th/4th floor is for rent in Zvartnots. The apartment is fully renovated and equipped with property and equipment. The cost is AMD 200,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17524495
Stone,No,Not available,5,60 sq.m.,2,1,from 2.7 m,3,Open balcony,No Renovation,Armavir › Echmiadzin,"70,000 ֏ monthly",AMD,"AS101:K. A 2-room apartment is for rent on the 5th/3rd floor in the Charents district of Etchmiadzin. There is no property in the apartment, but there are utilities. The cost is AMD 70,000Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Not available,3.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/18263388
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,3,Open balcony,Major Renovation,Armavir › Echmiadzin,"350,000 ֏ monthly",AMD,Կոդ AV09 գինը 350000 ամսեկանՄիջնորդավճար 30%Տրվում է վարձով 2 սենյականոց բնակարանԷջմիածին քաղաքի կենտրոնումՀարկ 2Մակերեսը 43 քմԱշոտՏրվում է ամբողջ գույքի տեխնիկայի հետՄանրամասների համար զանգահարել...,Nov-24-2022_17-51,,3.0,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/13805407
Stone,No,Not available,4,67 sq.m.,2,1,from 3 m,2,Open balcony,Major Renovation,"Улица Паруйра Севака 1, Гюмри","200,000 ֏ monthly",AMD,"Сдается 2 комнатная комфортабельная, стильная квартира в Гюмри, в 58 квартале со всеми удобствами, мебель, техника (стиральная машина, телевизор, пылесос, утюг, гладильная доска, горячая вода, отопление, wi-fiTranslated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,2 months,,"TElevision, internet, parking space","FRidge, washing machine, iron","YArd view, street view",,https://list.am/en/item/17893012
Stone,Yes,Not available,1,150 sq.m.,2,2,from 2.8 m,1,Open balcony,Major Renovation,"Սայաթ-Նովա փողոցի 5-րդ նրբանցք 2, Արմավիր","150,000 ֏ daily",AMD,Dacha for rent is heated with air conditioningTranslated from Armenian,Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/17480398
Stone,No,Not available,5,68 sq.m.,3,1,from 2.8 m,1,Open balcony,Old Renovation,Armavir › Echmiadzin,"130,000 ֏ monthly",AMD,"An apartment is for rent on Patkanyan street, with property and equipment, there is a heating system.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18338581
Stone,No,Not available,4,48 sq.m.,1,1,from 2.8 m,1,Not available,Major Renovation,"Shahumyan street, Gyumri","160,000 ֏ monthly",AMD,"Г. Гюмри (улица Ширакаци) Сдается однакомнатная квартира класса комфорт. Супермаркеты, рынок, аптеки, рядом (200-600м) Скоростной интернет, питьевая вода 24/7, теплая вода.В квартире есть всё необходимое для комфортного проживания.Кровать двухспальная,техника (стиральная машина, газовая плита, холодильник, чайник,Кухонные принадлежности, посуда, утюг, пылесос.Վարձով է տրվում 1 սենյականոց բնակարան Գյումրի քաղաքի Շիրակացի փողոցում- գազ լույս տաք և սառը ջուր, ջեռուցում, եվրոպատուհաններ, առաջին հարկ, կահույքով, անկողնային պարականներով, խոհանոցային պարագաններ (ամբողջ կոմպլեկտ), սառնարան, լվածքի մեքենա, հեռուստացույց, արդուկ, փոշեկուլ.Կոդ V436",Nov-24-2022_17-51,Available,3.0,Yes,Yes,Not included,By Agreement,OUtdoor parking,"TElevision, air conditioner, internet","FRidge, washing machine, iron",,,https://list.am/en/item/17913172
Stone,No,Not available,5,98 sq.m.,4,1,from 2.7 m,4,Open balcony,Cosmetic Renovation,Armavir › Echmiadzin,"100,000 ֏ monthly",AMD,"AS110:A 4-room apartment on the 5th/4th floor is for rent in Zvartnots. The apartment is provided with all utilities, partial property and equipment are available. The cost is AMD 100,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17783652
Stone,No,Not available,5,78 sq.m.,3,2,from 3 m,5,Multiple balconies,Cosmetic Renovation,"Улица Карчикяна 1, Вагаршапат","300,000 ֏ monthly",AMD,Сдаётся 3 Комнетная квартира со всеми удобствамиԿոդ 0011,Nov-24-2022_17-51,,6.0,Yes,Yes,Not included,1 month,,,,,,https://list.am/en/item/17871585
Stone,No,Not available,5,80 sq.m.,3,1,from 3 m,4,Open balcony,Major Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"AS097:An apartment is for rent in the center of Etchmiadzin, which has property, appliances, dishes, linens, heating. Air conditioning system. The apartment is rented monthly and long-term. It is equipped with dishes and linens. The apartment is located on the 5/4th floor. The cost of renting for 1 month is 250,000 AMD.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17331459
Stone,No,Not available,5,67 sq.m.,3,1,from 3 m,4,Closed balcony,Partial Renovation,"Վռամ Կոստանյան փողոց 6, Վաղարշապատ","10,000 ֏ daily",AMD,"Apartment for daily or short-term rent (up to 3 months) in the city center, all utilities are available, Ucom internet TV, smart TV, dishes, bedding.Translated from Armenian",Nov-24-2022_17-51,,4.0,Yes,No,By Agreement,By Agreement,,,,,,https://list.am/en/item/16414822
Stone,No,Not available,5,82 sq.m.,3,1,from 2.8 m,4,Closed balcony,Major Renovation,Armavir › Echmiadzin,"280,000 ֏ monthly",AMD,"AS102:K. A 3-room apartment on the 5th/4th floor is for rent on Mashtots Street in Etchmiadzin. The apartment is fully renovated, heating system and air conditioner are installed. It is equipped with property, equipment and there is an open balcony. The cost is AMD 280,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,5.0,Yes,No,Not included,By Agreement,,"TElevision, air conditioner, internet, parking space","FRidge, water heater, iron","YArd view, street view, city view, park view, view of ararat",PLayground,https://list.am/en/item/17949288
Stone,No,Not available,5,84 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Euro Renovation,"Mesrop Mashtots street 48, Vagharshapat","270,000 ֏ monthly",AMD,"APARTMENT FOR RENT. It is furnished, European windows, heating, constant hot and cold water, separate water tank, washing machine, gas stove, beautiful view, very warm house.PRICE NEGOTIABLEAPARTMENT FOR RENT.PRICE NEGOTIABLE:Translated from Armenian",Nov-24-2022_17-51,Available,5.0,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/18220314
Stone,No,Not available,4,60 sq.m.,2,1,from 2.6 m,4,Not available,Designer Renovation,Armavir › Echmiadzin,"300,000 ֏ monthly",AMD,"In the center of Etchmiadzin, on the 4th floor of a stone building, on the 1st line, a 2-room, fully furnished apartment is for rent. All property and household appliances are now available. Deposit and commission required.New code 7922Translated from Armenian",Nov-24-2022_17-51,,4.0,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/14329575
Stone,No,Not available,5,70 sq.m.,3,2,from 3 m,1,Multiple balconies,Cosmetic Renovation,"Mashtots St, Vagharshapat","350,000 ֏ monthly",AMD,"Էջմիածնի կենտրոնում վարձով է տրվում 3սենյականի բնական իր ամեն ինչով, կոսմետիկ նոր վերանորոգված է, բաքսիով, պատուհանները եվրո փոխված: Գտնվում է Լոշիկին, տաշիր պիցերիային, բոլոր խանութներին, եկեղեցուն շատ մոտ; Պատշգամբից բացվում է գեղեցիկ տեսարան եղևնիներով, ծաղիկներով բակ: Բնակարանը ապահոված է բաքսիով, մշտական տաք և սառը ջրով, ունի անհրաժեշտ կահույք ապրելու համար, մանրամասների համար զանգահարեք սիրով կպատասխանեմ, ես բրոկեր չեմ. Իմ բնակարանն է:В центре Эчмиадзина сдается 3-х комнатная квартира со всеми особенностями, косметический новый ремонт, баки, окна поменяны на евро. Квартира обеспечена бакси, постоянная горячая и холодная вода, есть необходимая мебель для проживания, подробности по телIn the center of Etchmiadzin, a 3-room apartment with all its natural features is for rent, it is cosmetically newly renovated, with baxi, the windows have been changed to Euro. The apartment is provided with baxi, constant hot and cold water, has the necessary furniture for living, call for details, I will answer with pleasure, I am not a broker. It is my apartment.",Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,By Agreement,,,,,,https://list.am/en/item/17845315
Stone,No,Not available,5,65 sq.m.,2,1,from 2.7 m,4,Open balcony,Euro Renovation,Armavir › Echmiadzin,"15,000 ֏ daily",AMD,"A 2-room apartment on the 4th floor is for daily rent on Mashtots Street in Etchmiadzin. It also has a closed balcony, which can be used as a 2nd bedroom. Monthly salary: 250-300,000. Booked until the end of the year.Code 7795Translated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,No,Included,2 weeks,,,,,,https://list.am/en/item/12809775
Stone,No,Not available,4,70 sq.m.,3,1,from 2.75 m,3,Not available,Designer Renovation,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,3-room apartment is for rent in the center of ECHMIADZINTogether with the whole propertyCommission fee:In the city of EtchmiadzinNumber of rooms:Translated from Armenian,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/17536081
