Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,4500 sq.m.,,Armavir › Noravan,"7,000,000 ֏",AMD,"In the Noravan community of Armavir, 4 adjoining plots of 4500 square meters with 3 greenhouses. Each greenhouse is 27 m long and 9 m wide.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18416949
For General Purpose,400 sq.m.,,Armavir › Argavand,"$6,500",USD,"Land in Argavand on the bank of the Hrazdan River, near the militia school, can also be exchanged for a carAlso 400. $6500 per square, will trade for a carTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16307963
For General Purpose,3600 sq.m.,,"Shahumyan street, Vagharshapat","$4,500",USD,It is located in Shahumyan villageTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17401782
For Residential Development,920 sq.m.,,"Aygek-Paraqar Highway, Merdzavan","$20,000",USD,"The land near the house is located in Merdzavan village. There is no gas, light, water, but there is an opportunity to draw.There is an iron hut inside,Suitable for both agricultural use and construction920 sq. M. Մ. The price will be negotiated for Real BuyersTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17473688
Agricultural,5400 sq.m.,,Armavir › Musaler,"$120,000",USD,"Land for sale in front of the villageParakar on Etchmiadzin highway, in the section from Parakar to Musaler, 5400 sq. M., 4 pieces of land with 4 certificates.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17836268
For Residential Development,680 sq.m.,,Armavir › Echmiadzin,"$4,000",USD,Land near the house in Gay village / formerly Khatunagh /Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/16638348
For Residential Development,500 sq.m.,,"1district, Metsamor","2,000,000 ֏",AMD,"Land near the house is for sale in 3 districts, near the sports complex. Near the water, fenced.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16584807
For Residential Development,1200 sq.m.,,Armavir › Echmiadzin,"$4,000",USD,"Plot next to the house, c. In Haykashen.Has water and electricity.There is also an iron garage.The land is private, has a certificate.It is located 23.7 km from Yerevan.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/14308412
For General Purpose,6200 sq.m.,,"Մեսրոպ Մաշտոցի փողոց 1, Մուսալեռ","$14,500",USD,"A plot of land for sale in Musaler, adjacent to the airport area, adjacent to the asphalt road, currently planted with alfalfa, there is irrigation water, gas at a distance of 800 meters, water at a distance of 300 to 400 meters, suitable for creating a greenhouse or a recreation areaParakar Musaler PtghunkTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18548136
Agricultural,6600 sq.m.,,Armavir › Dalarik,"$3,000",USD,It is a land of village significanceTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/16890299
For Residential Development,650 sq.m.,,Armavir › Tairov,"$38,000",USD,"It is being rented out with small houses, 2 units, 3×6, 36 square meters, a residential wall, drinking water, water, gas, near mets pthatu trees, 17 meters of frontage.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17388369
For Residential Development,1000 sq.m.,,"Մեսրոպ Մաշտոցի փողոց, Առատաշեն","$5,000",USD,"A residential plot of land is for sale in the village of Aratashen in Etchmiadzin.1000 sq/m. Communications are close to land: Water, electricity, irrigation waterTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18522841
,1500 sq.m.,,Armavir › Armavir,"$10,000",USD,Lukashin gyuxum,Dec-12-2022_18-19,https://list.am/en/item/14815826
For Residential Development,1100 sq.m.,,Armavir › Armavir,"2,000,000 ֏",AMD,"It is a plot of land near the house, 1100 square meters. , the plot of land is located at the address belonging to the Noravan community adjacent to the 108 thgm of Armavir city, the area is indicated in the maps as Plot 2, for smaller plots, please call, only real buyers should call.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17891446
Agricultural,6000 sq.m.,,Armavir › Ptghunk,"$25,000",USD,"SH T A P:Agricultural land for sale, the whole is a vineyard.It is located near the airport. The location is convenient.Etchmiadzin Ptghunk Musaler ParakarVineyardEjmiatsin ptghunq musaler paraqarGyughatntesakan hogh xaghoghi aygiXaxoxi aygi:Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18477049
Agricultural,4000 sq.m.,,Armavir › Echmiadzin,"$10,000",USD,"Виноградник 4.000м2,Грузинский сорт Ракатитель. За виноградником ухаживаем очень хорошо.Адрес…Звартноц",Dec-12-2022_18-19,https://list.am/en/item/17296905
For Residential Development,800 sq.m.,,Armavir › Echmiadzin,"3,500,000 ֏",AMD,"Land near the house, in the center of Mrgastan village of Etchmiadzin. There is a possibility of gas, drinking water, irrigation water, sewage, and electricity in the immediate front part of the land. The village is located 3 km away from Etchmiatsin, it is gasified, asphalted, street lights, sewage system.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17473518
For Residential Development,954 sq.m.,,"Araratyan street, Yerevan","$210,000",USD,"A plot of land is for sale in Etchmiadzin city, near the Mother See Church of St. Etchmiadzin,central locationlocated on the 2nd line from the main street,land area: 954 square metersresidential house: 267.2 square meters, not repairedresidential house: 60.6 square meters, not repairedthe land is fenced,gates are installedTarget meaning: Settlementsoperational significance: Residential developmentAll communications are available: Gas, water, electricity.It is convenient to use for business purposes: Construction of a building, construction of an operational facilityCost: $210,000Agency commission: 2% of the agreed sale priceTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18361095
Agricultural,500 sq.m.,,Armavir › Metsamor,"$8,000",USD,"Also in Pokhanakum with a car, option 3 is for rent to an auto electricianTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15193567
Agricultural,4200 sq.m.,,"Aygek-Paraqar Highway, Merdzavan","$48,000",USD,All amenities are available. It also has an approved project of a 300 square meter plotTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18126318
For Residential Development,1160 sq.m.,,"Հաղթանակի փողոց 24, Ամբերդ","$5,800",USD,"I am selling two plots of land together at a very cheap price, land near the house 1160 m + 2000 m water plot in Amberd village on Echmiadzin Ashtarak road, 25 km from Yerevan. It is very suitable for building a house, organizing agricultural works, you can turn it into a garden, a greenhouse. Irrigation water passes right by the plots. The two lands are close to each other. Very urgent, the price is cheap, for the mentioned area and two plots. Almost two plots for the price of one. You can look with the map. If you have money and are thinking of investing in something, this is a good option.It is a very reasonable price for this area.Продам 2 земельный участок (one for the construction of a house 1160 m, the second agricultural 2000 m) 2 together at the price of 360000 rubles.Distance from Yerevan is 25 km. Обе земел есть Поливная вода, мимо земел жит черей, продаю дёшево срочно. Residential building for sale.Call for all questions. Земли Находится в Амберте AmbertHox:Amber to amber Exchange.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16089517
For Residential Development,1200 sq.m.,,Armavir › Armavir,"$14,500",USD,"Code K121A plot of land for residential buildings is for sale in the village of Mrgastan, front line. Communications are nearby.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18440136
For Residential Development,1200 sq.m.,,Armavir › Echmiadzin,"$6,000",USD,"Land for sale in Armavir region5 km away from EtchmiadzinCommunity Khoronk / LenughiIt is the second community after Etchmiadzin1200 square meters near the houseIrrigation water, electricity, addressTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/12474103
Agricultural,"30,000 sq.m.",,"Armavir Highway, Nor Kesaria","12,000,000 ֏",AMD,Call a vineyard standing rose typeTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17764727
For Industrial Use,20 sq.m.,,Armavir › Armavir,"$60,000",USD,"Gas station for sale on Armavir-Gyumri highway, 87 Yerևanyan street.The gas station has artesian water.Call for details.Price is negotiable.EdikTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16887420
For Residential Development,500 sq.m.,,Armavir › Armavir,"$4,500",USD,Residential land for sale near the old maternity hospital of Armavir cityFor more information callTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18082564
For Residential Development,720 sq.m.,,Armavir › Parakar,"$25,000",USD,"Near the road to Parakar schoolLand near the house 720 sq. M., flat area, corner land, two-sided front, 34 and 46 meters long, has all the communal facilities.UrgentTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17909621
For Residential Development,800 sq.m.,,Armavir › Echmiadzin,"$20,000",USD,"The plot of land is located 300m from the Yerevan-Echmiadzin highway in PTGUNK community, 800m with a 20m frontage and 40m depth, I have several parcels of land for sale.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/13041861
Agricultural,7000 sq.m.,,Armavir › Echmiadzin,"$119,000",USD,"7000 square meters of land is for sale URGENTLY. There is a 1500 square meter working greenhouse and a 500 square meter working poultry factory with all equipment, designed for 6000 laying hens. Part of the territory is fenced, the other part is fenced. It has the possibility to expand to about 2000 square meters. The area is provided with three-phase electricity, natural gas and permanent water.PRICE NEGOTIABLECode 09999Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18346683
For Residential Development,"12,260 sq.m.",,Armavir › Parakar,"$122,600",USD,"Շտապ վաճառվում է գյուղատնտեսական հողատարածք Փարաքարում` Մուսալեռ հուշարձանի ներքևի հատվածում։Հողատարածքը գենպլանով ունի թույլտվություն բնակավայրի հողատարածքներ վերափոխվելու և իր դիրքով շատ հարմար է առանձնատներ կառուցելու համար։Վաճառվում է նաև մասնակի տարբերակով, բացառությամբ 8400քմ կտորի։",Dec-12-2022_18-19,https://list.am/en/item/16190407
For Public Buildings,80 sq.m.,,"Sahmanapahner Street, Armavir","$10,000",USD,"The area is located on the 1st line of the road, in front of the 2nd 5-storey residential building in front of the military unit, at 47/4, the front part is 10 m. Negotiable:Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17652821
For Residential Development,351 sq.m.,,Armavir › Echmiadzin,"$16,000",USD,A plot of land with an area of 351 square meters. Land near the house Charents 1: Land 982 The land is located in a very convenient location near the beautiful Ararat Valley. Call for details.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17652782
For General Purpose,800 sq.m.,,Armavir › Tsaghkunk,"$20,000",USD,Urgently selling 800m of privatized land with half-built building. Call for details. Price negotiable.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18583951
Agricultural,2000 sq.m.,,"Vagharsh Vagharshyan backstreet, Yerevan","$52,000",USD,"Class 4 land, first line. Without changing the order, there is an opportunity to build a 100 sq/m building.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18632832
Agricultural,"10,000 sq.m.",,Armavir › Zartonk,"$72,000",USD,Vineyards for sale in Zvartnots. There is also a building on the premises. Partial sale of the land is possible. For more information call:Code 77633Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18169730
For General Purpose,2000 sq.m.,,Armavir › Musaler,"$6,500",USD,"There is no problem with the documents. Agency NO. A land is for sale in Arevshat village, near Zvartnots airport, near the fence. 100 m from the asphalt to the ground. Very suitable for business activities (for example, for starting a greenhouse) There used to be an apricot orchard.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16238069
Agricultural,4500 sq.m.,,Armavir › Parakar,$70,USD,"Agricultural land for sale, very close to the 1st line of the Zvartnots airport. The front part of the land is 45 square meters, the depth is 100 square meters.The total area of the land is 4500 sq. M.: 4500 sq. M. 3-separate owners have it, it is possible to sell in parts 1800 sq. M. 900 sq. M. 1800 sq. M. The land is on the 1st line, the communications are very close to the gas station. The land is located near the airport kaltsevo, it is possible to change the meaning of the land.Agency commission is 2%. An exhibition contract is signed for the shows. Please have an identity document with you.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16272542
Agricultural,3500 sq.m.,,Armavir › Parakar,"$25,000",USD,"Privatization,It used to be a vineyard.For now, it is free land.Call for details.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/14409411
Agricultural,"30,000 sq.m.",,Armavir › Armavir,"2,700,000 ֏",AMD,"The land is located in Baghramyan region of Armavir region, the purpose is agricultural.Code 3-31Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15148881
For Residential Development,1230 sq.m.,,"Ավետիք Իսահակյան փողոց 1, Շահումյան","1,250,000 ֏",AMD,"The land is located in Shahumyan community of Armavir region, the purpose is for residential construction.Code 3-30Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15152001
For Industrial Use,9300 sq.m.,,"Մանուշյան փողոց, Վաղարշապատ","$22,000",USD,"2300 Berkatu 7000 grapes, apricots.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18519568
Agricultural,7000 sq.m.,,"Վազգեն Սարգսյանի փողոց, Վաղարշապատ","$480,000",USD,"OPERATING BUSINESS close to Etchmiadzin for sale. The total area is 7000 square meters, of which 6000 square meters are flower greenhouses. There is also a living area, warehouses, refrigerators, boiler room. Gas, water, electricity, irrigation water with drip system.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18301526
For Residential Development,4100 sq.m.,,Armavir › Echmiadzin,"1,500,000 ֏",AMD,"There are three adjacent plots of land in Haikashen village, two of them are 1500 square meters, one of them is 1100 square meters.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18581131
For Residential Development,360 sq.m.,,Armavir › Argavand,"$45,000",USD,"Land for sale in Argavand, residential area, water, gas, electricity at 50 metersTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18711014
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"1,500,000 ֏",AMD,1000 sq / m land near the house is for sale in Shahumyan village of Etchmiadzin. A very nice place to build a house. Direct view to Mount Ararat. For more information call.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17116124
For Residential Development,890 sq.m.,,"Улица Мусалера, Птхунк","$23,000",USD,"Газ, вода и поливная вода защищены с обеих сторон.350 метров от трассы Ереван-Эчмиадзин. Whatsapp + 7-980-000-0608.",Dec-12-2022_18-19,https://list.am/en/item/17666366
For Residential Development,730 sq.m.,,"Տիգրան Մեծի փողոց 11, Մուսալեռ","$15,000",USD,Code K104Land for residential development in Musaler village is for sale. Utilities are nearby. It is a newly built residential district.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18353910
For General Purpose,1400 sq.m.,,Armavir › Parakar,"$75,000",USD,"Code ID3666A 1400 square meter plot of land is for sale in Parakar.It is possible to change the meaning to public.Front: 14 meters, length: 100 meters.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16945828
For Residential Development,609 sq.m.,,Armavir › Parakar,"$29,000",USD,"Code ID3689609 square meters of land for residential construction is for sale in Parakar, very close to the main road.16 meters front.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17554196
For Public Buildings,1783 sq.m.,,Armavir › Echmiadzin,"$250,000",USD,"Code ID3393Commercial land for public development, 1783 square meters, fenced on 3 sides, leveled, first line, suitable for business activities, communications nearby.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16939095
Agricultural,2543 sq.m.,,Armavir › Parakar,"$18,500",USD,Code ID36992543 square meters of land for sale.Suitable for greenhouse.Irrigation water available.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/16943556
Agricultural,"100,000 sq.m.",,Armavir › Echmiadzin,"$242,000",USD,Code ID376210 hectares of land for sale. It is suitable for building a neighborhood.Communications are close.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18337432
Agricultural,"10,000 sq.m.",,Armavir › Echmiadzin,"$23,000",USD,Code ID37631 hectare of land is for sale. Suitable for use as arable land or greenhouse. Irrigation water is available.There are houses nearby.Translated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18336633
Agricultural,"20,000 sq.m.",,Armavir › Echmiadzin,"$35,000",USD,"Code ID368220,000 square meters of land for sale.Communications nearby.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18364402
Agricultural,8600 sq.m.,"Electricity, water supply","Կոմիտասի փողոց 103, Նորակերտ","$6,000",USD,One hectare of land is for sale in Norakert village. Negotiable. For more information callTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18649800
Agricultural,"53,000 sq.m.","Electricity, water supply, natural gas",Armavir › Echmiadzin,"$130,000",USD,"It is located 15 km away from Yerevan, Echmiadzin Zvartnots communityTotal 5.3 hectares. Negotiable.Land, PlotTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15634031
Agricultural,"10,000 sq.m.",,Armavir › Parakar,"$35,000",USD,"Agency commission $ 1000Urgent liquidation price Village village for sale, but about 1 hectare (10,000 square meters) of land in the newly built area, 500 meters from Yerevan highway. The land is 10 kilometers away from Yerevan city. Ability to drill water from a depth of 24 meters below, which contains drinking water components.The land is also suitable for building a private house. Drinking water and electricity are located 200 meters away from the land. There are cherry trees for 5 years.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/14945343
For Residential Development,1000 sq.m.,,Armavir › Dasht,"$7,000",USD,"Close to homeCultivated garden, water, four-year-old fruit trees,Electricity, gas possibilityThere are residential houses nearby20 km from YerevanTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16480136
For Residential Development,1200 sq.m.,,Armavir › Hovtamej,"$7,000",USD,"Hovtamej, Charents 58. 1200 square meters. Very good convenient place. Utilities nearbyTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16432289
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$8,000",USD,"Land near the house, there are trees, there is water and electricity in the neighborhoodTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18658958
For Residential Development,3300 sq.m.,,"Erevanyan street, Parakar","$7,000",USD,"A 3300 square meter flat plot of land near the house is for sale in Aknashen (Khatunakh) community, a newly built neighborhood, 60 meter frontage. Partial sale is possible.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15293563
Agricultural,1200 sq.m.,,"Erevanyan street, Parakar","$24,000",USD,"A flat agricultural plot of 1200 square meters is for sale in Parakar, behind the school, residential area, the plot has frontage on three sides, 120 meters from the main street, with all utilities: Water, gas, electricity, sewage. It is very suitable for building a residential or recreational zone. ForTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/14647079
For Public Buildings,3000 sq.m.,,Armavir › Sardarapat,"$30,000",USD,"3000 sq / m land in Armavr region is for sale.The land is located in the section from Sardarapat (October) village to Sardarapat memorial, on the M5 national highway.The land has an excellent angular position ․ In front is the M5 national highway, and on the right is the secondary highway.The land is almost square.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17961745
Agricultural,1000 sq.m.,,Armavir › Armavir,"$15,000",USD,"Վաճառվում է տնամերձ հողատարածք Արշալույս գյուղում, շուկայի հարևանությամբ։ Մակերեսը 1000քմ է։ Ունի բնակելի կառուցապատման նշանակություն։ Առկա են կոմունալ բոլոր հարմարությունները։Այլ հարցերի համար խնդրում ենք զանգահարել։Կոդ H-987",Dec-12-2022_18-19,https://list.am/en/item/14142928
Agricultural,4200 sq.m.,"Electricity, water supply",Armavir › Echmiadzin,"3,700,000 ֏",AMD,"Arable land for sale, 4200 meters of land, water, light, deep in the village, alfalfa exchange, ford transit het Livestock You can make different things with cattle, cattle farm, workshop, greenhouse, for other questions you can callTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17231825
Agricultural,"815,000 sq.m.",,Armavir › Metsamor,"$590,000",USD,"Վաճառվում է 57,5հա պտղատու այգի + 24հա հողատարածք Արմավիրի մարզում։8հա ծիրանի այգի-10տարեկան4հա սև սալորի այգի-10 տարեկան3հա ընկույզի այգի 4 տարեկան8հա խաղողի այգի (կանգուն տեսակի) - 8-10տարեկան4հա կեռասի այգի10,5հա դեղձի այգի20հա նորատունկ այգի (խնձոր, ծիրան)24հա հարթ հողատարածք7միավոր գյուղ-տեխնիկա և ավտոբուսներ280քմ քարե շինություն, որի մի մասը նախատեսված է որպես սառնարանԵրկաթյա ջրի տարաներ 3հատ 50տ, 2հատ 60տԱրժեքը 590․000$Ինչպես նաև հնարավոր է վերը նշված հողատարծքներին ավելացնել կից գտնվող 26,5հա հողատարածք, որից 18,5հա խնձորի, ծիրանի և խաղողի այգիներ են, 6հա ազատ հողատարածք։Հողատարածքները ամբողջությամբ ոռոգվում են և առկա է ոռոգման ջրի խողովակների ցանց։Արժեքը 150․000$",Dec-12-2022_18-19,https://list.am/en/item/13460090
For Residential Development,1000 sq.m.,"Electricity, water supply, natural gas",Armavir › Ptghunk,"$15,000",USD,"The land is located in Ptghunk village. The land is fenced with a metal fence. At the end of the plot there is a foundation for a barn. There are fruit trees. Gas and electricity pass by the plot, and drinking water is drawn.Negotiable for real buyer.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18660999
For Residential Development,800 sq.m.,,"1district, Metsamor","$14,000",USD,Land near the house is for sale urgentlyTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18186414
For Residential Development,1800 sq.m.,,Armavir › Echmiadzin,"4,500,000 ֏",AMD,Home price negotiableTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18642070
Agricultural,"12,000 sq.m.",,Armavir › Echmiadzin,"$365,000",USD,"Existing business for sale, 12,000 square meters. Ishkhani Fish Farm, Dzknabucaran, lakes, ponds, high yield, if operated correctly, the purchase money will be returned within 8 months, excellent business, I have a 70L newly obtained permit valid until 14/04/2024, existing 2000 square meters of ground pools and 3000 meters of mirror surface, mallok fodder warehouse, living building with its own utilities, generator with 37.5kv capacity, trout diplot mallok European, brought from the country (small fish) in large quantities, name change after paying the money, negotiable. Passes through. It can be used to grow a large number of different types of fish, crayfish, as well as a recreation area, with the possibility of fishing with a hook (for a fee), platinum gyl. At a different price or (for 9900000 drams) urgently. There is also 1.3 hectares of arable land for sale for 7 million drams (in Jararat), negotiable.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/15807192
For General Purpose,2000 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Metsamor,"$40,000",USD,"Мецамор Ереван шоссе, обмен на автомобиль",Dec-12-2022_18-19,https://list.am/en/item/18635235
Agricultural,"60,000 sq.m.",,Armavir › Lenughi,"$120,000",USD,"Located strategically near Lenughi village in Armavir region, is this 6 hectares of beautiful vineyard with productive capacity that generates annual income from grapes production.This vineyard can be upgraded to produce wine on site and increase production capacity and annual income significantly.If interested please call Varoujan at:Skype: Jay. Avanessian",Dec-12-2022_18-19,https://list.am/en/item/18061178
Agricultural,"20,000 sq.m.",,Armavir › Gai,"$25,000",USD,"Продам Срочно.Ухоженный земельный участок для сельского назначения.Находиться в селе Гай. (Нижный хатунах)Рядом с земельным участком проведем Газ, Элетричество.По остальным вопросом звоните в любое время.",Dec-12-2022_18-19,https://list.am/en/item/17439077
For Residential Development,1200 sq.m.,,Armavir › Haykashen,"1,500,000 ֏",AMD,Haykashen Metsamor Crossroads For home details callTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17931769
