Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Parking,Construction Type
Multifunctional Space,90 sq.m.,"Լալայան փողոց 95, Գյումրի","100,000 ֏",AMD,Bright and large area. Suitable for everything. It is possible to agree on the price.Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17561517,,
Functioning Business,72 sq.m.,Shirak › Gyumri,"250,000 ֏",AMD,"A three-room apartment is for rent. With all utilities, it is furnished, there are the necessary conditions for a pleasant lifestyle, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17740899,,
Industrial and Manufacturing,70 sq.m.,Shirak › Gyumri,"50,000 ֏",AMD,Area is for rent. There is water light gas. Mon. 10 meters. Wide 7 meters. There is a basement under the whole. Inside is an abscissa with a steak and a block. It is located near a restaurant lit in Koshtoyan district. Can be used as a warehouse. The price is just a written call. I will exchange it with a carTranslated from Armenian,Nov-24-2022_22-32,By agreement,Not available,First Line,Separate from the Street,Direct Lease,4 months,By Agreement,By Agreement,https://list.am/en/item/16630163,,
Office Space,100 sq.m.,"Tigran Mets Avenue, Gyumri","200,000 ֏",AMD,Suitable for office or other commercial activities. For more information call.Translated from Armenian,Nov-24-2022_22-32,By agreement,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/17269104,,
Functioning Business,6 sq.m.,"Gorki St, Gyumri","120,000 ֏",AMD,Սուրճ և ֆրեշի կետ,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18368968,,
Retail Space,80 sq.m.,"Улица Степана Шаумяна 188/15, Гюмри","140,000 ֏",AMD,"An operating area is for rent in the central market area, 2 worm floors, there is a grocery store on the 1st floorFor more information callTranslated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,By Agreement,https://list.am/en/item/17993312,,
Building,400 sq.m.,"Mayakovsky Street 70, Gyumri","1,000,000 ֏",AMD,"Programming centreԳյումրու կենտրոնում, Վարդանանց հրապարակ, պուրակի դիմաց, Եռահարկ օբյեկտ, հարմար է ռեստորանի, սրճարանի, մանկական սրճարանի, օֆիս, գրասենյակ, ժամանցի սրահ, ֆաստ ֆուդի, ծրագրավորման կենտրոնի, ծրագրավորում, համակարգչային ծրագրավորման կենտրոն, օֆիսային աշխատանքի, լոգիստիկ կենտրոն, աշխատասենյակ:Առկա է տաք հատակ, ջեռուցում, անհատական ջեռուցման համակարգ, ԱՆՎՃԱՐ ինտերնետ օպտիկա-մանրաթելային, wifi, անհատական կայանատեղի, մետակայքում են կենտրոնական շուկան, բոլոր անհրաժեշտ վաճառասրահները:Երկարաժամկետ վարձակալության դեպքում սակարկելիЦентр программирования:В центре Гюмри, площадь Вардананц, напротив парка, Трехэтажное здание, подходящее под ресторан, кафе, детское кафе, офис, офис, развлекательный зал, фаст-фуд, центр программирования, программирование, центр компьютерного программирования, офис работа, логистический центр, офис.Пол с подогревом, отопление, индивидуальная система отопления, постоянная вода, газ, охрана, видеокамера, БЕСПЛАТНЫЙ оптоволоконный интернет, wi-fi, собственная парковка, центральный рынок, есть все необходимые магазины.Возможен торг при долгосрочной арендеProgramming Center:In the center of Gyumri, Vardanants Square, opposite the park, Three-story building suitable for a restaurant, cafe, children's cafe, office, office, entertainment hall, fast food, programming center, programming, computer programming center, work office, logistics center, office.Underfloor heating, heating, individual heating system, constant water, gas, security, video camera, FREE fiber optic internet, wi-fi, private parking, central market, all the necessary shops.Negotiable for long term lease",Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,3 years,By Agreement,Not included,https://list.am/en/item/16087312,,
Multifunctional Space,40 sq.m.,"Улица Ованнеса Шираза 9, Гюмри","300,000 ֏",AMD,"Сдается в самом центре Гюмри, на первом этаже каменного дома, имеет девятиметровую фасадную часть, южная светлая сторона, с возможностью наружной рекламы, обеспечен ночным освещением.Площадь 40 квадратных метров, высота 3,2 метра, обеспечена всеми коммунальными удобствами, отоплением, бесплатным безлимитным интернетом, установлены устройства видеонаблюдения.Район расположен в историческом и культурном центре Гюмри, рядом с Технопарком, ресторанным комплексом Флоренс, гостиничным комплексом Аракс и другими туристическими инфраструктурами.4 минуты пешком от центральной площадиВ настоящее время площадь находится на реконструкции, она будет передана под новый бизнес в удобном для вас порядке, согласно договору.Многофункциональная площадь подходит для различных видов коммерческой деятельности.ЦЕНА 300 000 драм в месяцДается без посредника, с годовым контрактом, с возможностью продления.Представители инвестиционной организации могут сразу связаться для ознакомления и обсуждения финансовых или иных вопросов.# КОНСАЛТИНГ_ ОФИС#Дизайн_Студия, #фотостудия, #Офис, #Аптека, #Салон Моды, #Сервис#Офис, #бизнес, #аренда, #Цена, #коммерческая, #площадь, #центр, #Армения, #недвижимость, #дом. #Управление_продажами#Управление#Агентство_Недвижимости,#БИЗНЕС-КОНСАЛТИНГ_ АГЕНТСТВО_ КОМПАНИЯ# ТУРИСТИЧЕСКОЕ_АГЕНТСТВО # ВЫЕЗДНОЙ_ ТУРИЗМ#МЕЖДУНАРОДНАЯ_ КОМПАНИЯ_ГРУЗОПЕРЕВОЗКАМ,# ИНВЕСТИЦИОННЫЕ_ УСЛУГИ_ ОФИС# Посреднические_Услуги_Инвестиционная_Компания",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17965807,,
Office Space,50 sq.m.,"Ֆուրմանովի փողոց 4-րդ նրբանցք 17, Գյումրի","60,000 ֏",AMD,"Office space for rent in the central part of Gyumri, near Peace Square, secondary street. The building served as an apartment, has all the utilities. There is one office space in the building. If necessary, we will also provide storage space. The area can be changed at will + 20 sq. M. M:You can call the mentioned phone number for details.Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,Without prepayment,Not included,https://list.am/en/item/17660702,,
Retail Space,50 sq.m.,"Akhuryan Highway, Gyumri","25,000 ֏",AMD,"Հարցերի համար զանգահարել, Գտնվում է Ախուրյանի սկզբնամասում",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/13910351,,
Retail Space,40 sq.m.,"Karen Demirchyan street, Gyumri","90,000 ֏",AMD,"A 40-square-meter space is for rent, suitable for an auto parts accessory store or an office. Vulcanization is attached to the container, the address is 10 Karen Demirchyan, former Kutaisyan StreetTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18056457,,
Functioning Business,360 sq.m.,"Ankakhutyan Street, Artik","600,000 ֏",AMD,2-storey grocery store for rent. Call for detailsTranslated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17502889,,
Functioning Business,80 sq.m.,"P. Sevak street 1, Gyumri","40,000 ֏",AMD,"Beneficial offer for hairdressers. Paying 40,000 AMD for a chair, they get rid of all expenses. REAL, more than real. The whole area is for rent with all amenities, hairdressers are also required. P. Sevak 1. Indoor area, chair and sink for sale. Detached square 57 sq. M. It is possible to use under office:Cross:Translated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,https://list.am/en/item/13885259,,
Retail Space,15 sq.m.,Shirak › Gyumri,"65,000 ֏",AMD,A commercial area for a pharmacy is for rent in 58 district. All the amenities are available.Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17938805,,
Warehouse,150 sq.m.,Shirak › Gyumri,"150,000 ֏",AMD,"With all utilities, security system, cameras.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18099377,,
Retail Space,400 sq.m.,"Մայակովսկի փողոց 66, Գյումրի","650,000 ֏",AMD,"The three-story multifunctional property is located in the central part of Gyumri city, in the immediate vicinity of the Alexandrapol Hotel, very close to the market and the central (Vardanants Square)Suitable for any type of Bank, Guest House, Tavern/Bakery, Restaurant and other types of activities.Branches of almost all banks and credit organizations operating in Gyumri city are located at a distance of 200-500 meters.It has a wide and spacious outdoor parking space.First floor tiled heated floor 200 square metersSecond floor tiled 100 square metersThe third floor, 100 square meters, is under renovation.If necessary, an elevator will also be installed upon request.It can also be sold if desired.For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,2 years,2 months,Not included,https://list.am/en/item/17224520,,
Multifunctional Space,360 sq.m.,"Ախուրյանի խճուղի 7, Գյումրի","250,000 ֏",AMD,"Large hall 4 m high. There are 2 halls in the sizes of 12 * 10 meters and 12 * 20 meters.It is currently being renovated.Can be used as a gym, hall, conference hall, exhibition hall, dance hall.It is located 3000 meters away from Vardanants Square. There is a very fast transport from Akhuryan taxis for 150 drams every minute.For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,2 months,Not included,https://list.am/en/item/17265597,,
Office Space,60 sq.m.,"Տիգրան Մեծ պողոտա 21, Գյումրի","180,000 ֏",AMD,"An area is for rent, completely renovated. The price is 180,000 drams. In case of long-term lease, settlement is possible. Utility bills are not included in the rent.If you have any questions, call WhatsApp from 10:00 to 22:00.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/16936150,,
Office Space,60 sq.m.,"Տիգրան Մեծի պողոտա 21, Գյումրի","180,000 ֏",AMD,"An area is for rent, completely renovated. The price is 180,000 drams. In case of long-term lease, settlement is possible. Utility bills are not included in the rent.If you have any questions, call WhatsApp from 10:00 to 22:00.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/16936145,,
Retail Space,70 sq.m.,"Shirakatsi St, Gyumri","150,000 ֏",AMD,A fast food restaurant is for rent.Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17753953,,
Hotel,394 sq.m.,"Կայարանամերձ հրապարակ 1, Գյումրի","810,000 ֏",AMD,"Շիրակի մարզ, Գյումրի, կայարանամերձ հրապարակ 1, երկաթուղային կայարան:«Հարավկովկասյան երկաթուղի» ՓԲԸ-ն վարձակալության է հանձնում տարածքներ Գյումրու երկաթուղային կայարանի շենքի 2 հարկում (աջ կողմից) : Մանրածախ և գրասենյակային, հանգստի կազմակերպման կամ սննդի կետերի համար: Սենյակները ունեն բարձր առաստաղներ, կապիտալ վերանորոգված:Հարմար է գտնվելու վայրը և ուղևորափոխադրումների բարձր մակարդակը, ներառյալ զբոսաշրջությունը, Ձեր բիզնեսը կապահովի բազմաթիվ հաճախորդներով:Բոլոր հետաքրքրող հարցերով Դուք կարող եք զանգահարել հետևյալ հեռախոսահամարով՝(060) 46-32-91Ширакский марз, г. Гюмри, Привокзальная 1, ж/д станцияЗАО ""Южно-Кавказская железная дорога"" предоставляет в аренду помещения 2 этаже здания вокзала ст. Гюмри (с правой стороны) под торгово-офисные, развлекательные виды деятельности, либо пункты общественного питания. Помещения имеют высокие потолки, сделан капитальный ремонт.Удобное расположение и высокий пассажиропоток, в том числе туристический, обеспечит Ваш бизнес многочисленными клиентами.По всем интересующим вопросам Вы можете обратиться по тел.: (060) 46-32-91.",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/13636466,,
Retail Space,122 sq.m.,"Vazgen Sargsyan street, Gyumri","150,000 ֏",AMD,"122 sq/m area on Vazgen Sargsyan street, with all utilities, 380v electricity. The space can be used as a commercial, workshop, warehouse.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18090712,,
Office Space,21 sq.m.,"Gortsaranayin Lane, Gyumri","80,000 ֏",AMD,"In the central part of Gyumri city, commercial containers are for rent, suitable for office-cosmetic work! With all utilities.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18360831,,
Agricultural Space,4000 sq.m.,Shirak › Akhuryan,"150,000 ֏",AMD,"I rent 4 ha. Land, soil quality is high, irrigation water is right on the fieldTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18360040,,
Industrial and Manufacturing,100 sq.m.,"Pushkin Street, Gyumri","100,000 ֏",AMD,"A bakery with necessary equipment is for rent. There is a stone oven for baking stone fingerlings, quality molds for baking somni and ""coffee"" bread, and a toaster for lavash. The workshop is provided with constant hot and cold water, three-phase electricity and gas. Ready for immediate use.Support for entering the market / existing cooperation/.Translated from Armenian",Nov-24-2022_22-32,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,Without prepayment,Not included,https://list.am/en/item/18356564,,
Everything Else,70 sq.m.,Shirak › Artik,"100,000 ֏",AMD,"A newly built building with its legal documents is for rent, the area is 70 square metersTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17637960,,
Office Space,80 sq.m.,Shirak › Gyumri,"200,000 ֏",AMD,"Վարձով է տրվում առեվտրային տարածք, նկուղ։երկարաժամկետсдается в аренду на длительныи срок торговая площадь-полуподвал-80м2",Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,https://list.am/en/item/13812186,,
Automotive Service,36 sq.m.,"Улица Ширакаци 23/15, Гюмри","80,000 ֏",AMD,Помешения для ремонта машин. Есть все удобвства,Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,5 years,By Agreement,Not included,https://list.am/en/item/17542720,,
Retail Space,26 sq.m.,"Վահան Չերազի փողոց 8/2, Գյումրի","150,000 ֏",AMD,Commercial commercial area is for rent in the center of Gyumri. Sale is possible.Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17864692,,
Automotive Service,105 sq.m.,"Shirakatsi street, Gyumri","100,000 ֏",AMD,"Car service point for rent. Which can also serve other purposes such as a bakery shop and others. If desired, I will install the necessary equipment. Is located on the first line next to the railway station. Make a callTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17893160,,
Industrial and Manufacturing,1100 sq.m.,Shirak › Gyumri,"100,000 ֏",AMD,"An area can be rented, which can serve as a workshop.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17604440,,
Office Space,1530 sq.m.,"Khrimyan Hayrik Highway, Gyumri","400,000 ֏",AMD,A huge two-story building is for rent on Khrimyan Hayrik Street in Gyumri. The area can serve as a factory.The total area of the third floor is 1000 square meters. Ceiling height-5.5The total area of the second floor is 470 square meters. The area is not renovated.The first floor is renovated and two rooms of 35 square meters and 25 square meters are for rent.Code G 96Translated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18311813,,
Office Space,50 sq.m.,"Գյումրու խճուղի 1, Ախուրյան","2,500,000 ֏",AMD,"For rent or for sale (2.500.000 AMD) commercial space, on Main Street, 1st line.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17679295,,
Multifunctional Space,720 sq.m.,"Alek Manukyan street 1, Gyumri","2,000 ֏",AMD,"3-storey building 720 m2 is for rent, each floor is 240 m2.There is a heating system. Hot-cold water. The 2nd floor has a separate entrance, partial rent is possible. Price is negotiableTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17531618,,
Office Space,120 sq.m.,"Trdat Architector street 2, Gyumri","120,000 ֏",AMD,"120 sq. M. Is for rent. Office space in the beginning of Ani district in Gyumri. It has heating, security system, euro repaired.Office space. Gyumri, in GyumriTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/12413328,,
Multifunctional Space,50 sq.m.,"Shahumyan street, Gyumri","150,000 ֏",AMD,"Commercial space for rentc. Gyumri, Shahumyan50 square meters: Total areaCapital renovatedUtility with all amenitiesOn the sunny sideSuitable for use as an office spaceRental price: AMD 150,000Code 8855Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18021670,,
Multifunctional Space,400 sq.m.,"Ռուսթավելի փողոց 62/4, Գյումրի","350,000 ֏",AMD,"In the center of the city (Sayat-Nova Rustaveli Intersection), Rustaveli Street, a four-story commercial space is for rent. The area of each floor is 100 sq/m, total 411 sq/m. Iron and glass doors, euro windows are installed. The space is capital renovated, available on each floor is an individual heating system with a heated floor and tiled bathrooms. The space can also be provided for rent with separate floors...(Half-room) 200,000 dramsFirst floor is occupied.Second floor 450,000 dramsThird floor 350,000 dramsThe space is provided for carrying out various activities, in particular for the banking system, office.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17883770,,
Automotive Service,110 sq.m.,"Մովսես Խորենացի փողոց 1, Գյումրի","400,000 ֏",AMD,"Car repair shop for rentc. Gyumri, Movses Khorenatsi110 sq. M. Total areaUtility with all amenitiesCar service pointPartially renovatedRental price: 400,000 AMDCode 6424Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18089025,,
Automotive Service,153 sq.m.,"Vazgen Sargsyan street, Gyumri","130,000 ֏",AMD,"A car service point is for rentք ․ Gyumri, V ․ Sargsyan streetTotal area 153 square meters120 sq. M. Structure areaOfficeBathroomThe cost of the rent is 130,000 dramsCode 8534Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17147792,,
Functioning Business,100 sq.m.,"Մաքսիմ Գորկու փողոց 22, Գյումրի","400,000 ֏",AMD,The space can be converted to another businessTranslated from Armenian,Nov-24-2022_22-32,By agreement,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18281908,,
Office Space,70 sq.m.,"Ալեք Մանուկյան փողոց 13, Գյումրի","120,000 ֏",AMD,"An area is for rent, which is suitable for use as an office. There are all the utilities. The area is located in front of the 7th school, next to Karona supermarket, at the beginning of Alek Manukyan street.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17090207,,
Everything Else,7000 sq.m.,Shirak › Gyumri,"250,000 ֏",AMD,"A commercial area of 7000 square meters is for sale on the 25th km of the Gyumri-Yerjan section of the North-South highway. The area is located 50 meters from the highway, it is fenced, it includes different types of buildings with all communal facilities. The area is located on the slope of the gorge, from which a beautiful view of Mount Aragats opens. Due to its special location, it is convenient to renovate as a recreation area or other service facility.Price is negotiableTranslated from Armenian",Nov-24-2022_22-32,Available,Not available,First Line,Separate from the Street,Direct Lease,1 month,Without prepayment,Not included,https://list.am/en/item/17374382,,
Office Space,120 sq.m.,Shirak › Artik,"50,000 ֏",AMD,"For rent c. Near Artik Police, also for sale, call for details.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18211111,,
Functioning Business,38 sq.m.,Shirak › Gyumri,"50,000 ֏",AMD,"The area is ready for playing computer games, there is 1 computer from 1 TV. (fs 4) table, chair, armchairdetails by callingTranslated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18294944,,
Automotive Service,1000 sq.m.,"Պարույր Սևակի փողոց 1, Գյումրի","100,000 ֏",AMD,A car with all the amenities and equipment is for rentTranslated from Armenian,Nov-24-2022_22-32,Available,Not available,First Line,Common from the Street,Direct Lease,3 months,1 month,Not included,https://list.am/en/item/17662090,,
Multifunctional Space,580 sq.m.,"Улица Левона Мадояна 118, Гюмри","1,200,000 ֏",AMD,"1этаж Полностью огремонтированное помещение280м2,полуподвал 300 м2 имеет оборудованную кухню",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18292151,,
Office Space,40 sq.m.,"Ախուրյանի խճուղի, Գյումրի","80,000 ֏",AMD,An area of 45 square meters is for rent on 11 streets of Akhuryan highway. Near the maternity hospital.Translated from Armenian,Nov-24-2022_22-32,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/17487465,,
Retail Space,20 sq.m.,Shirak › Getk,"60,000 ֏",AMD,Bistro for rentTranslated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17848412,,
Multifunctional Space,340 sq.m.,"Khrimyan Hayrik Highway, Gyumri","300,000 ֏",AMD,"Commercial space for rent or salec. Gyumri, Khrimyan Hayrik340 sq. M. Total areaUtility with all amenitiesOn the sunny sideMultipurpose propertyFirst lineBathroomHeating SystemRental price: 300,000 AMDSale price: $268,000Code 8655Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18273819,,
Multifunctional Space,784 sq.m.,"Garegin Nzhdeh Avenue 5, Gyumri","$1,000",USD,"Areas or areas for use for different purposes are for rent.It is suitable for use as an office space, diagnostic center, clinic, production area, food point (cafe, restaurant, club), credit organization, hotel, clothing store, supermarket, etc.The building has 2 floors, and there is a section on each floor, which is shared with another floor, see the pictures.On the first floor there is a functioning shop, a hairdressing salon, the second floor is not renovated. It will be repaired according to the customer's wish. It has a large fenced yard of 160 square meters, which can be used as a parking lot.The area is 150 meters away from Charles Aznavour Square, and 2 km away from the central square. It is for rent both in parts and in general.Price and terms by agreementTranslated from Armenian",Nov-24-2022_22-32,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/17283277,,
Multifunctional Space,300 sq.m.,Shirak › Gyumri,"$4,000",USD,"A newly built two-storey multifunctional area is for rent in the central part of Gyumri.The 1st floor of the area is a current business, the 2nd floor is a 5-room apartment.Total area: 300 square metersCondition: Fully renovatedCeiling height: 3.30The 2nd floor consists of:from the lobbyFrom 1 living roomFrom 1 kitchenFrom 3 bedrooms2 bathrooms1 open balconyThere is an auxiliary building with its own garage and summer kitchen.The area is heated by an individual system. Air conditioners are installed.• Kind Regards #AsatryanConsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 17506745Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17506745,,
Multifunctional Space,180 sq.m.,"Մանուշյան փողոց 2, Գյումրի","250,000 ֏",AMD,"A public space is for rent adjacent to Charles Aznavour Square. Euro and glass doors, Euro windows are installed, the floor is laminate, the bathroom is tiled, all communications are installed. Security, heating and ventilation, air conditioning, heating and air conditioning are installed. The area can be used especially for bank, clinic, laboratory and office activities.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18248698,,
Multifunctional Space,294 sq.m.,"Garegin Nzhdeh Avenue 22/1, Gyumri","$260,000",USD,"The sale price of the property is $ 260,000, the rent price is 500,000 AMD. This universal four-storey building is for rent near the Marzpetaran. Մ. Area: Each floor of the building is 70 sq / m, tiled, provided with constant water, light, individual heating systems. The outside has glass doors, the windows are of European production. To serve all kinds of office, banking and for all kinds of services ․․․Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17758844,,
