Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,350 sq.m.,2,8+,3+,,Cosmetic Renovation,1000 sq.m.,"Hovsepyan Street, Dilijan station","$220,000",USD,A two-storey stone house is for sale. Address: C. Dilijan. Hovsepyan 54.Translated from Armenian,Nov-25-2022_00-19,,,,,https://list.am/en/item/17731676,,,,,,
House,Stone,850 sq.m.,2,3,1,Not available,Old Renovation,850 sq.m.,"Կամոյի փողոց 55, Դիլիջան","$40,000",USD,"3-room private house for sale in Dilijan, Kamo street, house 25, 2-storey, 3-room, the land is about 850 sq. M., of which about 160 sq. M. Is residential, has a garden, a convenient area, is located on the main street, old renovated, partially adjacent unfinished building, in case of renovation it will be like a house, the price is 40,000 dollars (negotiable)Translated from Armenian",Nov-25-2022_00-19,Available,,,,https://list.am/en/item/17554761,,,,,,
House,Stone,850 sq.m.,2,3,1,Not available,Old Renovation,850 sq.m.,"Կամոյի փողոց, Դիլիջան","$40,000",USD,"3-room private house for sale in Dilijan, Kamo street, house 25, 2-storey, 3-room, the land is about 850 sq. M., of which about 160 sq. M. Is residential, has a garden, a convenient area, is located on the main street, old renovated, partially adjacent unfinished building, in case of renovation it will be like a house, the price is 40,000 dollars (negotiable)Translated from Armenian",Nov-25-2022_00-19,Available,,,,https://list.am/en/item/17554751,,,,,,
House,Stone,850 sq.m.,2,3,1,Not available,Old Renovation,850 sq.m.,"Kamo Street, Dilijan","$40,000",USD,"3-room private house for sale in Dilijan, Kamo street, house 25, 2-storey, 3-room, the land is about 850 sq. M., of which about 160 sq. M. Is residential, has a garden, a convenient area, is located on the main street, old renovated, partially adjacent unfinished building, in case of renovation it will be like a house, the price is 40,000 dollars (negotiable)Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17554609,,,,,,
House,Stone,200 sq.m.,2,5,1,Not available,Cosmetic Renovation,1640 sq.m.,Tavush › Sevkar,"$23,000",USD,"The house is sold together with the property. It is provided with gas, electricity and water. Price negotiableTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/18030421,,,,,,
House,Wooden,48 sq.m.,2,2,1,,Designer Renovation,200 sq.m.,Tavush › Dilijan,"8,500,000 ֏",AMD,"Construction of wooden houses.For detailed information, call:Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18330050,,,,,,
House,Monolith,106 sq.m.,3,3,2,,Euro Renovation,65 sq.m.,"Moldovakan street, Dilijan station","41,000,000 ֏",AMD,"A 3-storey detached house is for sale in Shamakhyan 2 district (Central Bank Cottages) 1st floor: Garage-storage room, 2nd floor: Living room, kitchen, bathroom, utility room, 3rd floor: 2 bedrooms, 2 open balconies, bathroom. It is furnished with everything necessary for living, sold with all property and equipment. There is an indoor swimming pool, sports hall, futsal, outdoor tennis court, cafe restaurant, billiards, table tennis. Beautiful view of the forest. A wonderful, safe, quiet place:)Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18008295,,,,,,
House,Stone,142 sq.m.,2,4,1,Not available,Old Renovation,,"Orjonikidze Street, Dilijan station","$36,000",USD,"Near the city center, needs cosmetic repairs, water, electricity and gas are permanent, there is no bathroom inside the house. It has a land plot of 1200 square meters, a house of 142 square meters, it has a basement. I will listen to exchange options.:! NOT TO THE AGENCY! I AM NOT A BROKER! For questions, write or call Viber or WhatsAppTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/15740884,,,,,,
Country House,Stone,168 sq.m.,1,4,1,2 spots,Euro Renovation,3910 sq.m.,Tavush › Hovk,"$57,000",USD,"Urgent house for sale with all its amenities in Dilijan Hovk community. It has a big barn, a garage for 2 cars. A garden with various fruit trees.Constant hot-cold water, gas. Sale with or without furniture. It is also exchanged with your house in Ijan for a surcharge.Or with a car up to $ 10,000 with an extra charge from your side.Even the money left in your name is pledged in the name of the bank in case of cash. The land has a permit near the house, you can build another one. It has a gate on both sides, առանձին it is possible to sell the land separately.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17981972,,,,,,
House,Stone,112 sq.m.,2,3,1,1 spot,No Renovation,1200 sq.m.,Tavush › Dilijan,"$75,000",USD,"Տունը 1 հարկանի է գտնվում է անտառի մոտ, Տնամերձ հողը 1200 քմ. Է կան պտղատու ծառեր, սոճիներ և եղևնիներ. ՈԻնի մեծ և ընդարձակ տեսադաշտ.Ապահոված է մշտական ջրով, գազով և հոսանքով.",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18149919,,,,,,
House,Stone,400 sq.m.,2,8+,2,3 or more spots,Major Renovation,750 sq.m.,"Yerevanian St, Ijevan","$150,000",USD,"A building for business with an area of 400m2, the living area is 700-750m2 with its surrounding land, the building is located in the city center, it is sold at a price below its real value, it is a very good place to put a business or become a private house, next to the M4 road.Homestead with its own buildingALSO AVAILABLE FOR RENTIn IjevanHouse in IjevanOwn House in IjevanBusiness space in IjevanApartment in IjevanArea:BusinessHouseOwn houseOwn houseHouse for rentrentOwn spaceHomestead area with its own structureM4 roadVacation homeRecreation AreaIjevanSPACE FOR RENTHome for businessCountry House:DachaIjevan:Ijevan:Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/13325352,,,,,,
House,Stone,1200 sq.m.,2,3,1,,No Renovation,1200 sq.m.,Tavush › Dilijan,"$75,000",USD,"The house is located near the forest, there are fruit trees, pines and firs. His large and wide field of view.It is provided with constant water, gas and electricity.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18135311,,,,,,
House,Stone,700 sq.m.,3,8+,3+,,No Renovation,900 sq.m.,Tavush › Dilijan,"$490,000",USD,"Newly built house in Dilijan without decoration. 4 rooms on the semi-basement floor, swimming pool, sauna room, boiler house, bathroom. Bunker. 1st floor: Entrance hall, entrance hall, living room, 4 bedrooms, kitchen, bathroom. 2nd floor: 3 bedrooms, bathroom, recreation and game room. Water, light, sewerage, gas. Entrance doors are metal. Doors and windows are made of oak. Only basalt-tuff was used for the construction of the house. From the southern part, a view to the mountains։ forest. In the northern part, an open balcony. Separate building from 2 floors. 1st floor: Kitchen and dining room, 2nd floor: Garage for 2 cars. Newly planted orchard of fruit trees. Can be used as a hotel. The price is negotiable.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16448667,,,,,,
House,Stone,120 sq.m.,1,4,1,,No Renovation,,"Aygegortsneri street, Noyemberyan","$20,000",USD,"Private house for sale in Noyemberyan town, with its land plot, Call for detailsTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17092921,,,,,,
House,Stone,210 sq.m.,2,5,2,,Partial Renovation,1000 sq.m.,Tavush › Dilijan,"$70,000",USD,Հարմար է հյուրատան համար,Nov-25-2022_00-20,,,,,https://list.am/en/item/16340808,,,,,,
House,Stone,120 sq.m.,1,4,1,,Euro Renovation,1000 sq.m.,"Abovyan street, Ijevan","$30,000",USD,"For rent 00 70,000 has hot and cold water windows euro interior doors the same barn garage shed outside water yard with fruit trees aslanyan poxoc4 / 18Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15829664,,,,,,
House,Stone,407 sq.m.,2,8+,2,1 spot,Old Renovation,1000 sq.m.,"Myasnikyan street 1, Dilijan station","$120,000",USD,"Own house for sale in Myasnikyan street, Dilijan city. The total living area is 407m, the land area is 550m.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18258165,,,,,,
House,Stone,51 sq.m.,1,2,1,,Partial Renovation,4000 sq.m.,Tavush › Khachardzan,"$50,000",USD,Only real buyers should call.It is negotiable.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/18238276,,,,,,
House,Stone,150 sq.m.,2,5,1,,No Renovation,2300 sq.m.,"Kamo Street, Dilijan","$80,000",USD,Private house plotTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/16283524,,,,,,
House,Stone,350 sq.m.,2,8+,1,3 or more spots,Cosmetic Renovation,2000 sq.m.,Tavush › Dilijan,"$250,000",USD,Own holiday working guest houseTranslated from Armenian,Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16804911,,,,,,
House,Stone,278 sq.m.,2,8+,2,,Old Renovation,850 sq.m.,Tavush › Ijevan,"$45,000",USD,"Private house in Ijjan 11 rooms not counting the balconies are very big ավետ comfortable big and for a small family there is gas, water, light, bathroom for every convenience, the walls of the house are so strong that you can add 350 floors with a running area of 850 sq. M. 6 sq. M. Is convenient for daily rent to turn into a rest house օգտագործ to use as a private house, there are fruit trees in the land, in a word, you should look at it, you will make sure of the road until the house has no asphalt road.Home in IjanJan Photos can be viewed on Google Drivehttps://drive.google.com/drive/folders/1mxtahJ...VideoՏուն Իջևանում Սեփական տուն Իջևանում Մետաղագործների փողոց ... Տուն Իջևանում Սեփական տուն Իջևանում Մետաղագործների փողոց Տուն Իջևանում Սեփական տուն Իջևանում HouseApartment:Own houseMansion:Holiday homeWarehouseGarageGarden:Recreation AreaThey came downIjevan:Ижжеван:Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17804727,,,,,,
House,Stone,190 sq.m.,3,7,2,2 spots,No Renovation,780 sq.m.,Tavush › Teghut,"$80,000",USD,"Own house for sale in Teghut community. The house has three floors. The position is very convenient. It is close to the school and kindergarten. Not repaired. Currently, one of the bathrooms is being renovated. The house is also suitable for a guest house.For more information call.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18146306,,,,,,
House,Stone,120 sq.m.,2,6,1,Not available,Old Renovation,1000 sq.m.,Tavush › Dilijan,"$60,000",USD,"The house is in good condition. It is located in a good, quiet district close to the center. It has a big basement and the walls are thick.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/16120547,,,,,,
House,Stone,390 sq.m.,3,6,3+,Not available,Euro Renovation,1000 sq.m.,"Shamakhyan Street, Dilijan station","$420,000",USD,"House in Dilijan A 3-storey, newly renovated private house for sale in Dilijan (operating guest house) with all its amenities. The land area is 1000 square meters, the building area is 390 square meters. The house is heated with a boiler system and has two boilers. The guest house has 4 bedrooms, 3 bathrooms, a spacious living room, kitchen. , fireplace room, sauna and 2 swimming pools inside and outside the house. The house also has a pavilion with its own kitchen, fireplace and all accessories. The house has wi-fi, three-phase electricity, constant water and gas. The house is surrounded by nature.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/16230121,,,,,,
House,Stone,80 sq.m.,2,2,2,,Cosmetic Renovation,10 sq.m.,"Kalinini street, Dilijan station","$42,000",USD,"A two-story detached house for sale in Dilijan, Kalinin 171 A/2is furnishedAll utilities are available.The area of the 1st floor is 46 square metersThere is a garage, a bathroom, a yard on the 1st floor2 floors, the area is 43 square metersBedroom, living room, bathroom and kitchen. Sold with the propertyPossible sale without propertyTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18010021,,,,,,
House,Stone,830 sq.m.,2,4,1,3 or more spots,Old Renovation,155 sq.m.,Tavush › Gandzakar,"$35,000",USD,"Gas and water is not connected but in case of living the connections will be made immediately. The house is in good condition, needs cosmetic repairs. The garage is made of stone in which several cars will be placed.Ijjan region village Gandzakar str. 18 1 alley 19 apartmentsTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16707019,,,,,,
House,Stone,1080 sq.m.,2,7,2,3 or more spots,Cosmetic Renovation,,Tavush › Dilijan,"$125,000",USD,"Code: D-18493Two-storey private house for sale in the beginning of Dilijan city, right under the forest, total area 1080 sq. M., house area 342 sq. M., ground floor has kitchen, pantry, dining room, bathroom, swimming pool, open balcony, 2nd floor kitchen, bathroom, garage 3 for car, 5 bedrooms. Open balcony. It has electricity, water and gas. It has a flower garden and an orchard, which continues to the street. All windows are of European production. The interior of the house is unfinished. The private house is suitable for turning into a hotel complex. Exchange with an apartment in Yerevan is possible.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/14999681,,,,,,
House,Stone,2700 sq.m.,1,3,1,,Old Renovation,2000 sq.m.,Tavush › Dilijan,"$48,000",USD,"Residential house for sale, Tavush Marz, Village KhachratTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18326093,,,,,,
Country House,Stone,300 sq.m.,2,8+,3+,1 spot,Euro Renovation,1000 sq.m.,"Kalinini street, Dilijan station","500,000 ֏",AMD,"The house is located on the bank of the river, constant hot and cold water, access is controlled by cameras, WiFi is installed, an anti-kidnapping system is also installed, the house is for rent.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17923622,,,,,,
Country House,Stone,300 sq.m.,2,8+,3+,1 spot,Euro Renovation,1000 sq.m.,"Kalinini street, Dilijan station","$210,000",USD,"The house is located on the bank of the river, constant hot and cold water, access is monitored by cameras, WiFi is also installed, and an anti-kidnapping system is installed.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17923304,,,,,,
Country House,Stone,2000 sq.m.,2,8+,2,1 spot,Partial Renovation,300 sq.m.,"Shamakhyan Street, Dilijan station","$130,000",USD,"Semi-renovated, it has an orchard, 3 entrances, suitable for building a guest house. All utilities are available. It is also possible to exchange with a smaller, necessarily renovated own house, only in Yerevan or Dilijan, equivalent to the given amount. Call for details.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18027238,,,,,,
House,Monolith,200 sq.m.,3,4,1,,Euro Renovation,700 sq.m.,Tavush › Dilijan,"$200,000",USD,"Newly built house, call for detailsTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18164432,,,,,,
House,Stone,128 sq.m.,2,5,2,,Cosmetic Renovation,900 sq.m.,"Sayat-Nova Street, Dilijan station","$88,000",USD,"Վաճառվում է առանձնատուն, Դիլիջան քաղաքի Սայաթ Նովա փողոցի կենտրոնական հատվածումՀողամասի ընդհանուր մակերեսը 900 մ2։ Տեղադիրքը հեշտ հասանելի է քաղաքի տուրիստական կենտրոնից և հիմնական Մ4 մայրուղուց: Առանձնատունը երկհարկանի է, Դիլիջանյան պատմական ոճի, ներքին հարդարանքը փայտե: Կրող և դեկորոտիվ տարրերը ամուր են, լավ պահպանված: Հիմնապատերը քարե, ծածկը մոնոլիտ երկաթ բետոնե:Առանձնատունը կառուցվել է 1970 ին և ունի մեծ պոտենցիալ, պահպանելով պատմական ոճը վերակառուցել ուրույն unique ոճի բուտիկ հոթելի ձևաչափով, ստանալով 6-10 հյուրանոցային համար։ Հողի երկրաչափական չափսերը տալիս են հնարավորություն կառուցելու ֆունկցիոնալ նոր շինություններ, տեղակայելու սրճարան- ռեստուրան, հանգստի և ժամանցի գոտիներ:Մշակված է բուտիկ հոթելի բիզնես պլան, որտեղ ներառված են նախագծման, շինարարության, մարկետինգի, օպերացիոն բաժիների ծախսերը և ներդրումների հետ վերադարձի հաշվարկը:Մանրամասների համար զանգահերել նշված համարին_Продается частный дом, в центральной части улицы Саят Нова в городе ДилижанОбщая площадь земельного участка 900 м2. Расположение легко доступно от туристического центра города и главной автомагистрали М4. Дом двухэтажный, в Дилижанском историческом стиле, внутренняя отделка из дерева. Несущие и декоративные элементы прочные, хорошо сохраненные. Несущие стены каменные, перекрытие из монолитного железобетона.Дом построен в 1970 году и имеет большой потенциал сохранив исторический облик и стиль, реконструировать в уникальный бутик отель, получив 6-10 гостиничных номеров.Размеры участка дают возможность построить новые функциональные сооружения, разместить кафе-ресторан, зоны отдыха и развлечений.Разработан бизнес план бутик отеля, в котором включены затраты разделов проектирования, строительства, маркетинга, операционные расходы и срок окупаемости вложений.Для подробностей звонить по указанному номеру_A private house for sale in the central part of Dilijan, Sayat Nova StrThe total area of the plot is 900 square meters. The house is located in the central part of the city near the Dilijan tourist center and near but not close to the main highway M4.The house is a two-story building and has a typical Dilijan historical style, the flooring is high grade wood. The bearings and decorative elements of the house are strong and well preserved.The basement walls are built from stone and the ceilings are monolithic, reinforced concrete.The house was built in 1970’s and has great potential for a unique reconstruction with the preservation of the historic style, which allows you to run a business in a boutique hotel format, designed for 6-10 rooms. The geometrics of the land plot gives the opportunity to build new functional buildings such as a cafe-restaurant, recreation and entertainment areas.A business plan for the boutique hotel is being developed, including design, construction, marketing, expenses for the operating department and calculations of return on investment.For more information, please call the following number:",Nov-25-2022_00-20,,,,,https://list.am/en/item/18239941,,,,,,
House,Stone,155 sq.m.,2,8+,3+,,No Renovation,800 sq.m.,"Nalbandyan street, Ijevan","$92,000",USD,"Дом новый, построен в 2021 году. Построен качественно. Можно посмотреть по предворительной договоренности. Дом расположен в отличном месте, на против техникума.На все интересующие вопросы Отвечу, можете звонить или писать.Проведено водоснабжение, официально, вода в доме (24часа)Вотсап, вайбер на связи. Звоните реально заинтересованные люди.Проект дома современный.Оплата можно в, $.Рассмотрю ваши предложения ….",Nov-25-2022_00-20,,,,,https://list.am/en/item/17173679,,,,,,
House,Stone,1250 sq.m.,2,4,2,Not available,Old Renovation,1158 sq.m.,"Kalinini street, Dilijan station","$60,000",USD,"Address: K. Dilijan, Kalinin st. , 1st lane, house 70.For details, please call the indicated phone number.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/18251008,,,,,,
House,Stone,182 sq.m.,1,1,1,Not available,No Renovation,700 sq.m.,"Shamakhyan Street, Dilijan station","$30,000",USD,"Одноэтажный дом с мансардой. С большим участком. Свободная планировка. Вода есть, без ремонта.Рассмотрим обмен на машину или жильё в Санкт-Петербурге.Срочная продажа! Торг уместен!",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17534138,,,,,,
House,Stone,487 sq.m.,3,8+,2,3 or more spots,Major Renovation,700 sq.m.,"Tavrizyan street, Ijevan","34,000,000 ֏",AMD,"Guest house for business use or residence A three-storey private house is for sale on Tavrizyan street, Ijjan city, Tavush region, in a capitally renovated condition, has a garage for 4 cars, a cellar, a swimming pool, a tonratun, a chicken coop and an orchard. Price is negotiable.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17109102,,,,,,
House,Stone,146 sq.m.,2,4,3+,,Major Renovation,2502 sq.m.,Tavush › Berd,"$47,000",USD,"The entrance door is iron, the house has 3 bedrooms, 1 living room, kitchen and bathroom, the interior doors are made of wood, the floor is parquet (with patterns), the windows are made of wood in very good condition (Moscow), the roof is made of aluminum sheets, gas, water, electricity is also three-phase. There is a livestock building. 8.7 sq. M. Birdhouse 9.22 sq. M. Greenhouse 9.36 sq. M. Garage 22.22 square meters. M. Grocery store 5.48 sq. M. The house has an outdoor kitchen of 58.56 square meters. M. There is a 16 sq. M. Game room next to it. M. AND balcony 18 sq. M. M. AND a separate pool of 3.1 sq. M. M. There is a basement under the outdoor kitchen and a swimming pool under the playroom. There is a bathroom next to it. With property + $5,000. In case of other questions, call (may be rented until sold)Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16565798,,,,,,
House,Stone,76 sq.m.,1,2,1,1 spot,Old Renovation,1273 sq.m.,Tavush › Ijevan,"20,000,000 ֏",AMD,"A detached house for sale in Yenokavan Village, Tavush Marz, the house is privatized, call for details, the price is negotiableTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17905448,,,,,,
House,Stone,60 sq.m.,2,2,1,,Old Renovation,630 sq.m.,Tavush › Haghartsin,"$25,000",USD,"The price is not negotiable.In addition to the land near the house, there is 30 sq. M. Մ. Area located on the river bank.There is water and light in the houseThe gas passes through the house.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17498209,,,,,,
Townhouse,Wooden,56 sq.m.,1,3,1,Not available,Old Renovation,4000 sq.m.,Tavush › Hovk,"$15,000",USD,"In the middle of Ijevan and Dilijan, there is electricity and drinking water next to the village hall of Hovk village. The price refers to the house and 700 square meters of land, and if you buy 4000 square meters of land, the price is 40,000Translated from Armenian",Nov-25-2022_00-20,By agreement,,,"ELectricity, water supply",https://list.am/en/item/17840680,,,,,,
House,Stone,100 sq.m.,2,4,1,3 or more spots,No Renovation,900 sq.m.,"Virona street, Noyemberyan","$18,000",USD,"For details, call the house located in Shnogh village of Noyemberyan. Look at my announcementsTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17216544,,,,,,
House,Stone,700 sq.m.,1,4,1,Not available,Cosmetic Renovation,,Tavush › Bagratashen,"$20,000",USD,A 107 sq. M. Residential house is for sale in Bagratashen villagewith 700 square meters of landCall for 40 fruit trees for detailsTranslated from Armenian,Nov-25-2022_00-20,Available,,,,https://list.am/en/item/16752987,,,,,,
House,Stone,190 sq.m.,2,4,1,,Partial Renovation,3000 sq.m.,Tavush › Hovk,"$40,000",USD,"3000 square meters for sale or rent. M. Private house with land in the area between Ijevan and Dilijan (Hovkum, Dilijan administrative area) There are productive trees in the garden and there is also a barn.For details, call the given number (PRICE NEGOTIABLE)Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17603984,,,,,,
