Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Construction Type,Parking
Retail Space,562 sq.m.,Syunik › Kapan,"70,000,000 ֏",AMD,Industrial or office space is for sale in the city of Kapan on Lernavasotneri street. The land area is 400 square meters. Can be used for various business purposes.Translated from Armenian,Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/18696829,Stone,Outdoor parking
Retail Space,98 sq.m.,"Aram Manukyan street 3, Kapan","$95,000",USD,"It has a two-way entrance, it is renovatedTranslated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/16095503,Stone,
Industrial and Manufacturing,"20,000 sq.m.",Syunik › Goris,"$600,000",USD,"A production area is for sale, where an asphalt factory, gravel production, workshops, substation storage areas are located. With a total area of 2 hectares.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17716377,Stone,
Retail Space,100 sq.m.,"Սյունիքի փողոց, Գորիս","$63,000",USD,"In the center of Goris, next to VTB Bank, on the first floor of a residential building, a commercial space is for sale.Can be used as a home, office, production container, shop, etc.It has all utilities, also three-phase current.The total area is 100 square meters, with three rooms: Two small and one large room, with a bathroom.If desired, it will also be given for rent.The price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18285035,Stone,
Multifunctional Space,115 sq.m.,"Գարեգին Նժդեհ փողոց 8, Կապան","$37,000",USD,"Syunik regional center in the center of Kapan city, under the building next to the regional administration building, 115 sq. M. M. , store and warehouse, has all utilities, three-phase electricity, permanent water, two entrances: G. From the side of Nzhdeh street and from the back of the building, from the yard side, three windows from the street side and the possibility of three from the yard side, from the street side it has 11 meters of frontage, the ceiling height is 3.5 meters, a busy place, there is a private room, a shopping hall, a warehouse, corridors, a bathroom, a toilet, large brick ventilation alcove to roof and individual system, dry area constant 11 degrees in storage area, goes up as it warms up in the mall, but is still the same 11 in winter, has a toaster in the storage area, suitable for any activity, incl. The storage area is very suitable for making a 36 sq m food freezer, semi-basement.Syunik, Kapan, area, shop, center.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18624995,Stone,Outdoor parking
Industrial and Manufacturing,3794 sq.m.,"Spandaryan Street, Kapan","38,700,000 ֏",AMD,"Վաճառվում է կոմերցիոն տարածք Կապանում Սպանդարյան 41/2/1: Տարածքը գտնվում է Կապան-Երևան միջպետական ճանապարհի հարևանությամբ: Տարածքի ընդհանուր մակերեսը 3794 ք/մ է, որում առկա է արտադրական շինություն: Տարածքը ամբողջությամբ պարսպապատ է: Ապաահովված է եռաֆազ հոսանքով: Հարմար է օգտագործել տարատեսակ կոմերցիոն նպատակներով:",Dec-12-2022_20-37,By agreement,Not available,Other,Common from the Street,,,,,https://list.am/en/item/14305190,Panels,"Outdoor parking, covered parking"
Multifunctional Space,78 sq.m.,Syunik › Kapan,"1,000,000 ֏",AMD,"Commercial area, fully renovated, equipped with all utilities, air conditioning, video surveillance systems, anti-kidnapping system.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18629335,Stone,Outdoor parking
Industrial and Manufacturing,2100 sq.m.,Syunik › Kapan,"$200,000",USD,"The building is located on Gortsaranain Street, 5 warehouses, office, guard post. Adjacent to the CombineTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/16846370,Stone,
Functioning Business,431 sq.m.,Syunik › Karchevan,"$245,000",USD,"Realty Consult ID` K 524:CNG filling station for saleSyunik, Karchjan community.Land: 2660 sq. M.A total of 8 buildings, 431 square meters: Waiting room, cafe, warehouses, auxiliary structures.PRICE: $ 245,000.The real estate is equipped with the following engineering networks and communications: Gas, water, sewerage, electricity.The land is flat, asphalted and improved.Technical condition of the buildingThe building is in sufficient technical condition and are subjectTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17650542,Stone,
Retail Space,15 sq.m.,Syunik › Kapan,"7,800,000 ֏",AMD,The existing commercial space is currently leased.An exchange with an apartment is possibleTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/15682250,Bricks,
Office Space,57 sq.m.,"Aram Manukyan street 1, Kapan","$38,000",USD,"A building in a children's park is for sale. There is water, heated by an air conditioner.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17889097,Stone,
Multifunctional Space,2000 sq.m.,Syunik › Kapan,"$50,000",USD,"The land is completely fenced, it is provided with drinking and irrigation water, it has three-phase electricity.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,https://list.am/en/item/16486468,Stone,
Retail Space,40 sq.m.,Syunik › Sisian,"$17,000",USD,"In the past, there has been a need to repair the channoite wineTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18641486,Panels,Outdoor parking
Retail Space,83 sq.m.,"Արամ Մանուկյան փողոց 8/7, Կապան","17,370,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.RA Syunik Marz, c. Kapan, A. Manukyan Street, 1st Lane. Shop 82.7 sq m, residential house 82.6 sq m, plot 0.0175 ha, two-storey building at No. 8/7, utilities available.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18632903,Stone,
Everything Else,50 sq.m.,Syunik › Sisian,"$16,000",USD,"A space is for sale on the first floor of a residential building (Shirvanzade 2a building, branded) The space needs renovation.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Second Line,Separate from the Courtyard,,,,,https://list.am/en/item/18026656,Stone,
Everything Else,54 sq.m.,"Մեսրոպ Մաշտոցի փողոց, Գորիս","$50,000",USD,For information call ․․․Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17936770,Stone,
Hotel,320 sq.m.,"Օրբելյանների փողոց 37/25, Գորիս","$65,000",USD,"The guest house is newly built, completely renovated.The heating system is centralized, with a pleasant view, with an outdoor terrace, it has a plot of land, a garden of 350 square meters. MeterTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18602673,Stone,Garage
Everything Else,1722 sq.m.,Syunik › Bardzravan,"2,187,593 ֏",AMD,"Գույքը հանդիսանում է Բանկի գրավ, որը գտնվում է ՀԿԱԾ աճուրդում:Սյունիքի մարզ, Բարձրավան համայնք, Չիման անվանյալ տարածք, թիվ 1 հասցեի անասնաշենք՝ 1722քմ, հողամաս՝ 18707քմ։ Շինության տիպը՝ երկաթբետոնե հավաքովի կոնստրուկցիաներ, պատերը՝ բետոնյա սալեր, տանիքը՝ քայքայված, փաստացի բացակայում է, մի դուռը՝ փայտյա, մյուս դռները և պատուհանները բացակայում են, պատերը՝ սվաղված, հատակը՝ բետոն, քանդված տեղամասերով, արտաքին հարդարումը՝ վատ, ներքին հարդարումը բացակայում է, ունի էլ. Հոսանք, ջուր:Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Courtyard,,,,,https://list.am/en/item/16955413,Panels,
Retail Space,38 sq.m.,Syunik › Sisian,"$17,000",USD,"The area is located in c. Sisian Israel Ori street, on the ground floor of a 5-storey stone building. The area has the possibility to increase the area. It has not been renovated, but there are all the communal facilities.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17833727,Stone,
Everything Else,100 sq.m.,"Syuniq street 14, Goris","$68,000",USD,"Commercial space for sale or rent in the center of Goris city.The bathroom and kitchen are renovated.Area: 100 sq. M:Sale price: $68,000.Rent price: 140,000 AMD (monthly)Call for detailsTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18575401,Stone,
Hotel,2800 sq.m.,Syunik › Goris,"$2,000,000",USD,"Code-13996. A hotel-restaurant complex is for sale in the city of Goris. There are 20 hotel rooms, a restaurant, an open-air cafe, a wine house, a wedding hall, a beautiful landscaped yard.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18091222,Stone,
Retail Space,34 sq.m.,Syunik › Sisian,"$41,000",USD,"The store is located in the city center. Has all the utilities. Suitable for business service. For questions, contact the Real Estate Agency at: C. Sisian N. 1/1 of Adonts.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17521703,Stone,
Industrial and Manufacturing,695 sq.m.,Syunik › Kapan,"$110,000",USD,"Commercial area-building for sale in the center of Kapan, near the church.Building - 156 square metersLand - 695 square metersThere is water, three-phase electricityTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17727352,Stone,
Retail Space,45 sq.m.,"Սիսիական փողոց, Սիսիան","7,500,000 ֏",AMD,"A 37 square meter stone building built on a 45 square meter plot of land is for sale at 46/80 Sisakan Street. Renovated, bathroom available.The space is currently used as a shopping mall.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18261775,Stone,
Retail Space,30 sq.m.,Syunik › Sisian,"2,600,000 ֏",AMD,"A commercial space is for sale in the semi-basement floor of the Vorotan building. It has been used as a shopping hall, but it is also suitable for both small business and warehouse use. BATHROOM NOT AVAILABLE.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18526863,Stone,
Agricultural Space,3000 sq.m.,Syunik › Kapan,"$35,000",USD,"The area includes: Guard post, garage, warehouse, closed grass, cattle barn. It is located 100m away from the Kapan-Yerevan highway. For details, call the indicated phone numbers.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18157189,Stone,
Industrial and Manufacturing,2800 sq.m.,"Երկաթուղայինների 4-րդ նրբանցք 31, Կապան","280,000,000 ֏",AMD,"A production area is for sale, which can become a BUSINESS center, departmental office, office, consulate, other business association, also a production and industrial workshop, a hotel, a guest house, suitable for any type of business, such as boxing, accommodation, station, etc. Located next to the police, in the area of the former lamp factory. The cost of one square meter will be discussed in case of one hundred thousand drams in case of a real buyerTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17479838,Stone,
Automotive Service,108 sq.m.,"Adonts St, Sisian","$50,000",USD,"Sold together with equipment, three-phaseTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/15604088,Stone,
Industrial and Manufacturing,4500 sq.m.,Syunik › Sarnakunk,"$300,000",USD,"An area of 1,500 square meters equipped with equipment for the production of milk and dairy products.About 2000 square meters of free space for organizing other production, has an administrative building, gas, electricity, water. The land is 1.7 square meters, fenced. If you have any questions, call.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/16620101,Bricks,
Automotive Service,190 sq.m.,Syunik › Kapan,"$43,000",USD,"Car service point for sale in Kapan. The area is in the immediate vicinity of the interstate highway.The total land area is 150 square meters, and the construction area is 65.5 square meters.For more information call.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17799435,Bricks,
Multifunctional Space,85 sq.m.,Syunik › Sisian,"$25,000",USD,"An area for sale on the first floor of a multi-apartment residential building in Getapnya district with a total area of 85 sq. M. Of which 40 sq. M. A gym equipped with sports equipment, and a 45 square meter barber shop for men and women. The area is completely renovated, has all utilities. It is sold together with sports equipment.The area is also for rent, the price is 100,000 AMD.A 3-room apartment in the riverside district with the necessary property and utilities is also for rent. Price: 100,000 AMD.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/18469685,Stone,
Industrial and Manufacturing,140 sq.m.,"Orbelyanner street, Goris","$16,500",USD,"An industrial area is for sale in Verishen village, which can be used as a service point (part of it), also as a residential part (other part) Located in the central part of the village, it has all the amenities for business use.Code T 450Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,https://list.am/en/item/17312316,Stone,
