Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Industrial and Manufacturing,800 sq.m.,Ararat › Geghanist,"900,000 ֏",AMD,Վարձով է տրվում ԱՐՏԱԴՐԱՄԱՍ Գեղանիստ գյուղում կարող է ծառաել տարբեր նպատակներով ունի եռաֆազ հոսանք,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16209236,
Retail Space,45 sq.m.,Ararat › Masis,"$1,230",USD,A shopping hall with an area of 45m is for rent directly in front of the schoolThe floor is tiledLoaded with candiesThere are polkas and freestanding refrigeratorsPrice by callTranslated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18238157,
Hotel,80 sq.m.,Ararat › Ayntap,"10,000 ֏",AMD,We offer hotel rooms in Aintap. There are hygiene items in the bathroom. It is given both on a daily basis and on an hourly basis. 2 hours 3000 overnight stay 7000 24 hours 10000. Hotel rooms for the night:Translated from Armenian,Nov-24-2022_22-30,Available,Not available,First Line,Separate from the Courtyard,Direct Lease,1 month,By Agreement,Included,OUtdoor parking,https://list.am/en/item/17483386,
Automotive Service,200 sq.m.,Ararat › Geghanist,"300,000 ֏",AMD,"An operating business, Ford Transit service center is for rent. You can service any car, there are amenities. There is a separate room, which was used as a study, there is a separate bathroom, kitchen. The area is right next to the main street.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17920953,
Retail Space,240 sq.m.,"Main Square, Masis","1,000,000 ֏",AMD,"New construction is suitable for all kinds of activities, it has three-phase hot and cold water. In the immediate vicinity of Masis municipality hallTranslated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Common from the Street,Direct Lease,2 years,By Agreement,Not included,,https://list.am/en/item/18110538,
Agricultural Space,2800 sq.m.,Ararat › Artashat,"$39,000",USD,"2800 square meters for sale. Land in Getazat village, on which there is 375 sq. M. A building suitable for industrial use or livestock.There is three-phase electricity and permanent water.There are apricot seedlings in the land.The building is in good condition. Getazat Гетазат. Gom. Artadrakan. Livestock Anasnapahakan Arevshat mrganush Anasnapahutyun. Farm:Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17671979,
Retail Space,20 sq.m.,"Ծովակալ Իսակովի փողոց 70, Արտաշատ","30,000 ֏",AMD,"Basement area, located under Isaac's Gold Scape, now operating sewing workshopTranslated from Armenian",Nov-24-2022_22-30,Available,Not available,First Line,Separate from the Street,Direct Lease,1 month,1 month,Not included,,https://list.am/en/item/18063747,
Office Space,115 sq.m.,"Կենտրոնական հրապարակ 17, Մասիս","500,000 ֏",AMD,"Վարձակալության տարածքՃակատային մասը 11մետր։Եռաֆազ հոսանք։ kentronum։kentron:For rentOffice space in the center of Masis city, 115 q. M.The front part is11 meters.Three-phase electricity,includes bunker tooCenter of Masis city 17",Nov-24-2022_22-30,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,,https://list.am/en/item/17349604,
Building,100 sq.m.,"Հանրապետության փողոց 11/1, Մասիս","$25,000",USD,"A building is for sale in Masis city, 7 km from Yerevan, the walls of the building are stone (60 cm), the ceiling height is 3 m, constant water and electricity, separate sewerage, plot of land,The interior work has not been done, it is also possible to agree on partial payment of the amount.#House#Area:# Land area#close to home#part:#Republic Street#ground breaking#commercial space#House for rent#own house#house in Masis CityTranslated from Armenian",Nov-24-2022_22-30,Not available,Not available,Second Line,Separate from the Street,Direct Lease,3 months,6 weeks,Included,,https://list.am/en/item/17343869,
Multifunctional Space,125 sq.m.,Ararat › Hayanist,"250,000 ֏",AMD,"Available in the areanew commercial propertysay and shelvesheatingLED lightingsecurity systemwatertoiletcagesThe area is located on the road from Yerevan to Meymandar. The first line in Hayanist village is suitable for all kinds of business.ATTENTION!AS A CLUB IS NOT RECEIVED FOR RENT.(commercial, Armenian, shop area, Armenian)Translated from Armenian",Nov-24-2022_22-30,By agreement,Available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,By Agreement,,https://list.am/en/item/17706192,
Everything Else,210 sq.m.,"17-րդ փողոց 1, Այնթափ","360,000 ֏",AMD,"Տրվում է վարձակալությամբ պահեստային և արտադրական տարածք իր առանձին մուտքով, 30 մ երկարությամբ 7 մ լայնությամբ շինություն, տանիքը՝ ցինկապատ թիթեղ և կարբոնապատ, հատակը բետոնապատ, ունի կոմունալ հնարավորություններ:Տարածքը հարմար կլինի պահեստի, սնկանոցի, չրանոցի համար:Այնթապ 17 փողոց 7-րդ նրբանցք.",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16578476,
Functioning Business,100 sq.m.,"H-10 1, Ոսկետափ","100,000 ֏",AMD,"A commercial area is for rent on the Ararat-Yerevan highway, all the conditions are available.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16058388,
Functioning Business,80 sq.m.,"Erevanyan street, Masis","150,000 ֏",AMD,"For rent, a plot on the road is suitable for all purposes, there is a toilet and a bathroom inside, there is also a 67 square meter semi-basement area, it can also serve as a house, a place to stay and spoil, the rest of the questions by calling.Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,Without prepayment,By Agreement,,https://list.am/en/item/15863906,
Office Space,30 sq.m.,"Tpagrichner Street 11, Yerevan","260,000 ֏",AMD,Office space for rent on Tpagrichinen street.2nd line area. Has a parking spaceTranslated from Armenian,Nov-24-2022_22-30,Not available,Not available,Second Line,Separate from the Courtyard,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/15680446,
Warehouse,250 sq.m.,"Օդանավակայանի 1-ին փողոց 12, Արգավանդ","250,000 ֏",AMD,"A warehouse is for rent. It can also be used as a workshop, the area is 250 square meters. There is three-phase electricity, water and a bathroom.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16090711,
Retail Space,20 sq.m.,"Shahumyan street 36, Artaxata (Artashat)","25,000 ֏",AMD,"A shop kiosk for rent in one of the central streets of Artashat city with an area of 20 square meters. In normal condition, it has an air conditioner, polkas for vegetables and a counter. There are residential buildings in the vicinity, there is not a single vegetable shop in the vicinity. The rent is 25,000 drams. There is also a storage room available. For details, call: Number Vivacela.Translated from Armenian",Nov-24-2022_22-30,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,Not included,,https://list.am/en/item/17067369,
Agricultural Space,120 sq.m.,Ararat › Taperakan,"60,000 ֏",AMD,Pig barn for rentThe barn has a camera alarmTranslated from Armenian,Nov-24-2022_22-30,Not available,Not available,Other,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17966604,
Industrial and Manufacturing,"11,900 sq.m.",Ararat › Masis,"1,000,000 ֏",AMD,"Industrial area 11,900 square meters. Sale is possible. Fenced. Partially asphalted. Building 1650m/sq. M. 60×24= 1450 (without columns, the flight is 24 meters) The height under the walls is 6 m, 10.5 meters in the center of the building. The floor is concrete, polished. In normal condition.Attached structure. 12 mq refrigerator. Medium pressure gas, water, san junction, and substation: Three-phase current transformer. The two side walls of the building are made of glass, 60 meters long. Both sides (24m) stone. The roof needs repair. It will be done according to the agreement. Selling price $400,000. Call for details. MyTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18008296,
Industrial and Manufacturing,40 sq.m.,"Օրբելու փողոց 14, Դվին","80,000 ֏",AMD,"Վարձով է տրվում լավաշի փուռ, ցախով թխելու համար: Առկա է լույս, ջուր, սանհանգույց, թոնիր, բոլոր պարագաները լավաշ թխելու համար:Փուլը գտնվում է Արտաշատի Դվին գյուղումLavas, had, our, հաց, լավաշ, փուռ",Nov-24-2022_22-30,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,2 months,Not included,,https://list.am/en/item/15056856,
Automotive Service,180 sq.m.,"Կենտրոնական փողոց 16, Արգավանդ","250,000 ֏",AMD,"It is available for rent. It is located in Arvagand, central corridor, address 14. Do you want to keep it? I worked for a long time as an auto parts dealerTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18290702,
Industrial and Manufacturing,270 sq.m.,Ararat › Nor Kharberd,"250,000 ֏",AMD,"80 sq. M. Living room70 square meters spare part120 square meters of landIt also has an area of 100 square meters, 60 of which are living rooms40 spare parts 150,000 AMDtotal area 370 square metersThe total rent is 400,000Code 0019Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16228865,
Industrial and Manufacturing,100 sq.m.,Ararat › Nor Kharberd,"250,000 ֏",AMD,KOD-6122260 sq m living room40 square meters of storage areathree phase.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17441718,
Industrial and Manufacturing,160 sq.m.,Ararat › Geghanist,"150,000 ֏",AMD,"Commercial area is for rent in Geghanist.The area is the basement of his own house.The total area is 160 square meters.It can serve as a warehouse, production area.Code H-888Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,Other,Separate from the Courtyard,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/14622100,
Everything Else,1000 sq.m.,"Varuzhan Street, Byuravan","$8,000",USD,"4 greenhouses, 3 meters high, 27 meters long, 9 meters wide.Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,Other,Separate from the Courtyard,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/16551793,
Industrial and Manufacturing,430 sq.m.,"Կենտրոնական 5-րդ փողոց 33, Արգավանդ","400,000 ֏",AMD,"The production area is very suitable for the organization of furniture production, as well as for any other activity.There is a saw and pvs service nearby.The area is in good condition, European windows. The ceiling height is 4 meters. There are woodworking and euro window machines that you can also rent.Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,Second Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/18084027,
Office Space,30 sq.m.,"Улица Нерсисяна 11, Арташат","90,000 ֏",AMD,"The area is located in the city at Nersisyan 10A, suitable for various activities, has a toilet and a sink, 30/2, Renovated room for rent 30 sq. M.Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,,https://list.am/en/item/17672705,
Everything Else,400 sq.m.,Ararat › Masis,"1,000,000 ֏",AMD,"Commercial area for rent in Masis, c. 400m in the center, has 2 inputs, 3 phase electricity. All utilities. Call for details, fee is negotiable.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17926847,
Automotive Service,200 sq.m.,Ararat › Geghanist,"300,000 ֏",AMD,"A car service point is provided with all its conveniences. For more information, call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17921069,
Agricultural Space,3000 sq.m.,"17-րդ փողոց 11, Ղուկասավան","130,000 ֏",AMD,"Agricultural land in Ghukasavan.3000 sq/m agricultural land for rent in Ghukasavan village. Fertile land, permanent irrigation water available, adjacent to road.Call in case of questions.Rent: AMD 100,000 per year.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17621088,
Multifunctional Space,84 sq.m.,Ararat › Ararat,"300,000 ֏",AMD,"In the city of Ararat, near the hospital, fully renovated, with all amenities. It is also possible to use it as an office space. It has 5 separate rooms.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18342833,
Industrial and Manufacturing,80 sq.m.,"9-я улица 16/1, Нор Харберт","80,000 ֏",AMD,Производственное помещение 80м2 ширина 6м длина 14м можно и под склад (зонал д. 14),Nov-24-2022_22-30,Not available,Not available,First Line,Separate from the Street,Direct Lease,5 years,Without prepayment,Not included,,https://list.am/en/item/18253014,
Warehouse,145 sq.m.,Ararat › Marmarashen,"100,000 ֏",AMD,"A commercial space with an area of 145 square meters is for rent. It can serve both as a warehouse and as a workshop. Three-phase current is available, the input is separateTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18236966,
Functioning Business,4400 sq.m.,"1st Street, Nor Kharberd","800,000 ֏",AMD,"A shed for about 10,000 chickens is for rent. Slaughterhouse 45 sq. M. With all adaptations. There are separate barns for any animal of 90 sq. M.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16916284,
Warehouse,135 sq.m.,Ararat › Hovtashat,"50,000 ֏",AMD,"I give the first floor of a half-built two-story house with a rose, it can be used as a warehouse or a production area, there is light and waterTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17978388,
Office Space,60 sq.m.,"Isakov street, Artaxata (Artashat)","100,000 ֏",AMD,Call for details.Translated from Armenian,Nov-24-2022_22-30,Not available,Not available,First Line,Common from the Street,Direct Lease,5 years,Without prepayment,Included,,https://list.am/en/item/17872549,
Multifunctional Space,55 sq.m.,Ararat › Ayntap,"130,000 ֏",AMD,We offer for rent a multifunctional apartment in the zonal district near Inessa. The apartment is crossed by the following highways: 55a and 57.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18210577,
Warehouse,200 sq.m.,Ararat › Geghanist,"250,000 ֏",AMD,"We rent a space in the short or long term. Convenient to use as a warehouse, the area is 200 square meters.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17542352,
Retail Space,30 sq.m.,"August 23 street 23, Artaxata (Artashat)","100,000 ֏",AMD,"Renovated, there is a bathroom, there is an opportunity to organize trade outside.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17887312,
Industrial and Manufacturing,350 sq.m.,Ararat › Nor Kharberd,"280,000 ֏",AMD,"Euro door windows workshop for rent, equipped with all the machines and amenities, for more information callTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17453215,
Retail Space,50 sq.m.,"Mayraqaghaqayin 128, Երևան","80,000 ֏",AMD,"A space suitable for any type of activity. It is also possible to convert it into an apartment. For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16115642,
Multifunctional Space,150 sq.m.,Ararat › Masis,"100,000 ֏",AMD,"A building with an area of 150 square meters near the central road, consisting of 2 parts, can serve as a service station; Also suitable for use as a warehouse or workshop. Water and electricity available.Translated from Armenian",Nov-24-2022_22-30,Not available,Available,First Line,Separate from the Street,Direct Lease,1 year,Without prepayment,Not included,,https://list.am/en/item/18167355,
Retail Space,45 sq.m.,"Masisi St, Yerevan","180,000 ֏",AMD,"The area is completely new, has all utilities, air conditioner is installed. The area is very suitable for use as:-Office areatrade point-beauty salonpharmacyAPPA center.For more information call.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18289666,
Retail Space,100 sq.m.,"Isakov street, Artaxata (Artashat)","250,000 ֏",AMD,"Commercial area is for rent in ArtashatThere will be a dental clinic, a hairdressing salon, a pawn shop, etc.Translated from Armenian",Nov-24-2022_22-30,By agreement,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/16721906,
Multifunctional Space,80 sq.m.,Ararat › Vedi,"50,000 ֏",AMD,"Commercial area is for rent on Kasyan (Artsakh) street, Vedi city, it has a storage area, communal facilities, a rest room. Convenient to use as a store, office, warehouse. It is also possible to sell.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17879427,
Retail Space,100 sq.m.,Ararat › Ayntap,"100,000 ֏",AMD,"The store has good facilities, even a bathroomTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18159665,
Retail Space,45 sq.m.,"Հայկ Բժշկյանց փողոց 14, Հայանիստ","110,000 ֏",AMD,"Commercial space for rent in Hayanist village.The area is on the central street, first line, with a large frontage.Can work as an auto parts store, grocery or other store.Call for more details.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18141459,
Retail Space,75 sq.m.,"Yerevan street, Marmarashen","200,000 ֏",AMD,"It is suitable for a store, pharmacy, fast food pointTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18348050,
Office Space,200 sq.m.,"Կենտրոնական հրապարակ 12, Մասիս","800,000 ֏",AMD,"Commercial area is for rent in the middle of Masis town square. Suitable forFor a bank or credit organization. The area can be provided from 50 to 200 sq. M. M:According to your project.Address: Masis, Central Square 20#square #square #Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 years,2 months,Not included,,https://list.am/en/item/12117500,
Office Space,100 sq.m.,"Ogostosi 23, Artashat","300,000 ֏",AMD,"Сдается в аренду нежилое помещение на 2 этаже торгово-офисного здания на улице Огостоси 23 в городе Арташате. Здание находится на 1 линии. Очень оживленное место. Можно использовать под офис, коворкинг, представительство или филиал. На 1 этаже расположены мебельный салон, книжный магазин, ювелирный магазин, страховая компания. Телефон для связи: 89262464736 (московский номер, имеется ватсапп, вайбер), эл. Почта: vashepravo20@yandex.ru",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17858374,
Industrial and Manufacturing,300 sq.m.,Ararat › Getapnya,"300,000 ֏",AMD,Has three-phase electricity will serve as a furniture factoryTranslated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17564688,
Multifunctional Space,110 sq.m.,Ararat › Argavand,"350,000 ֏",AMD,"Commercial space for rentArgavand village, Ararat region110 mc1 lineNewly renovated.Suitable for various activities.Code BB910Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17447742,
Multifunctional Space,190 sq.m.,"Մխիթար Հերացի փողոց 5, Մասիս","10,000 ֏",AMD,"It is for rent, it has all the amenities. If necessary, we can provide it partially. It is located in a busy part of the city. The price is negotiable.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17532961,
Industrial and Manufacturing,1500 sq.m.,"Բարեկամության փողոց 17, Նոր Կյանք","50,000 ֏",AMD,"We are offering a loan for any business. And part of it is intended to be installed immediately for the car, there is 2000 karakus for the details, call for details.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18303277,
Automotive Service,150 sq.m.,"Artashat roadway, Mkhchyan","50,000 ֏",AMD,"Artashat service is for rent service point, the price is indicated, it is desirable to be an electricianTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16452046,
Retail Space,40 sq.m.,Ararat › Azatashen,"50,000 ֏",AMD,"Space for rent in Azatashen, next to the grocery store. Suitable for use as a vegetable shop, pharmacy, barbershop, and other commercial purposes.Translated from Armenian",Nov-24-2022_22-30,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/18011738,
Retail Space,50 sq.m.,"Կենտրոնական փողոց 47, Արգավանդ","180,000 ֏",AMD,"Newly built commercial area for rent on the main road (first line), suitable for a shop, bakery, գործունեության other activities. It is located in front of the school and kindergarten. Has a bathroom, 2 high quality air conditioners, three-phase electricity...Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17741266,
Warehouse,180 sq.m.,"10-րդ փողոց 10, Գեղանիստ","1,000 ֏",AMD,Let's make a four-storey warehouse of 100 square metersTranslated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16248012,
Retail Space,35 sq.m.,"Կառլ Մարքսի փողոց 6, Արտաշատ","130,000 ֏",AMD,"For rent, 35m. K. Commercial space in building 6 of Marks Street, Artashati. It has communal facilities.Call the given number for details.Translated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/18244007,
Automotive Service,60 sq.m.,"Հրանտ Վարդանյան փողոց 2/1, Մասիս","80,000 ֏",AMD,Call for questionsTranslated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/16786769,
Industrial and Manufacturing,57 sq.m.,"H. Tadevosyan street, Arevabuyr","50,000 ֏",AMD,"The building is suitable for a workshop, workshop, warehouse, used spare parts (other)..Spacious yardTranslated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17265432,
Automotive Service,150 sq.m.,"Կենտրոնական փողոց, Գեղանիստ","150,000 ֏",AMD,"For rent auto maintenance, brand new, electric gates, (yama) suitable for any activity, oiling point, vulcanization for Khadavik Motorist Electrician, general and partial lease, beautiful lining, high traffic of cars on the street (in this condition, the price is indicated) Warehouse, shop, production area) Details call for general pickup, special conditions, 2 free boxes leftTranslated from Armenian",Nov-24-2022_22-31,Not available,Not available,First Line,Common from the Street,Direct Lease,3 months,By Agreement,Not included,,https://list.am/en/item/17269366,
Multifunctional Space,800 sq.m.,"Ապարանի փողոց 7, Դաշտավան","50,000 ֏",AMD,"Multifunctional area is for rent. It can be used as a production area, storage, car service point ………. , is located on the highway. I will also provide partial. The area also has three-phase electricity. On the Masis-Echmiadzin highway.Translated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17120662,
Functioning Business,110 sq.m.,"Կենտրոնական փողոց 99, Գեղանիստ","180,000 ֏",AMD,"An automatic car wash is available for rent. Робот мойка car wash, we can also work 50/50Translated from Armenian",Nov-24-2022_22-31,Available,Not available,First Line,Common from the Street,Direct Lease,4 months,By Agreement,Not included,,https://list.am/en/item/17304573,
Industrial and Manufacturing,800 sq.m.,"Մխիթար Հերացի փողոց 1, Մասիս","$130,000",USD,"800 sq. M. For rent in the center of Masis city ․ area that can be used as a workshop, warehouse, shop and etc. Price is negotiable ․․․Translated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17542749,
Multifunctional Space,60 sq.m.,Ararat › Masis,"85,000 ֏",AMD,The area is located on the Masis-Echmiadzin highway (4 km) There is water and electricity.Translated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/16870575,
Functioning Business,100 sq.m.,"Կենտրոնական փողոց 99, Գեղանիստ","180,000 ֏",AMD,Automatic car wash for rent with high income... Only those with work experience or those who understand the business should call. Робот мойка automatic wash car washTranslated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/18186742,
Retail Space,65 sq.m.,Ararat › Ararat,"70,000 ֏",AMD,"Commercial area on Khanjyan street, operated as a fruit and vegetable store, renovated, has a sewer, spare part, air conditioner, details by phone.Translated from Armenian",Nov-24-2022_22-31,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17236839,
Office Space,75 sq.m.,"Yerevan street, Marmarashen","200,000 ֏",AMD,Office space for rent. Can also be used as a shop. Is located in the central part of Marmarashen on the Yerevan-Artashat highway. It is completely renovated and has a bathroomThe store is for rentTranslated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/18180135,
Multifunctional Space,240 sq.m.,Ararat › Masis,"1,200,000 ֏",AMD,VT398:Commercial space for rent in Masis. The total area is 240 square meters. The space is renovated. Equipped with all amenities.Code VT-398Translated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/18133335,
Functioning Business,50 sq.m.,"Արտաշատի խճուղի 1/1, Երևան","100,000 ֏",AMD,"A bistro is for rent in Mkhchyan village, Ararat region, it is close to the school to call if you have any questionsTranslated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17229247,
Retail Space,70 sq.m.,Ararat › Geghanist,"180,000 ֏",AMD,"A shop is for rent, first line in the beginning of Geghanist village, has worked in a grocery store for 25 years, call for details.Translated from Armenian",Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17792290,
Warehouse,100 sq.m.,Ararat › Geghanist,"100,000 ֏",AMD,A storage area of 100 sq. M. In the basement of Geghanist village is for rentTranslated from Armenian,Nov-24-2022_22-31,,,,,,,,,,https://list.am/en/item/17771961,
Retail Space,50 sq.m.,"Նոր թաղամաս 36, Մասիս","60,000 ֏",AMD,Commercial space for rent. For more information call:Translated from Armenian,Nov-27-2022_19-01,,,,,,,,,,https://list.am/en/item/18390852,
