Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Multifunctional Space,Monolith,280 sq.m.,Not available,Not available,First Line,Common from the Street,"Kentron block, Hrazdan","$83,000",USD,"It is located in Hrazdan Kentron district, a busy subdivision, two floors, 280 square meters, it has all communications, gas, electricity, water. Hurry up, that's why I paid the price.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16450881,,,,
Multifunctional Space,Monolith,1200 sq.m.,Not available,Not available,First Line,Common from the Street,"Kentron block, Hrazdan","$89,999",USD,"It is located in the back of Marzpetaran, in Makravan district. Land 3000 sq. M., building 1200 sq. M., 3rd floor + attic, 300 sq. M.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16836872,,,,
Agricultural Space,Stone,3500 sq.m.,,,,,Kotayk › Arzni,"$210,000",USD,"A working pig farm with whole animals for sale (25-mother, 25-pregnant pigs, 50-goji, 30-weaning pigs), has single-phase electricity, constant drinking and irrigation water, slaughterhouse, rest room 25 square meters, office 35 square meters, in the area are 90-100 productive trees, cattle yard 470 square meters, 2 houses 36 square meters, the area is monitored by cameras.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18261508,,,,
Industrial and Manufacturing,Stone,200 sq.m.,,,,,Kotayk › Arinj,"$55,000",USD,"Продаю готовый бизнес, производство кондитерской изделий, работает более 13 лет, своя база магазинов для реализации более 200 магазинов, прибыльный бизнес, вкусное производство работаем на совесть, помещение в аренду, продаю сеть магазинов и оборудование, рабочие останутся работать. Для подробностей звоните",Nov-24-2022_17-54,,https://list.am/en/item/17554303,,,,
Retail Space,Monolith,3000 sq.m.,,,,,Kotayk › Verin Ptghni,"$1,600",USD,"Վաճառվում կամ վարձով է տրվում առևտրահասարակական տարածք՝ 2195մ/քընդհանուր մակերեսով:Նորակառույց շինությունը ապահովված է՝ ջեռուցման, հովացման, անվտանգության համակարգերով, կոմունալ բոլոր հարմարություններով:Ունի սեփական ավտոկայանտեղի:Նպատակահարմար է օգտագործել որպես վաճառասրահներ, ցուցասրահներ, օֆիսային տարածքներ, ինչպես նաև ՏՏ ոլորտներում գործունեություն ծավալելու համար:Շինությունը գտնվում է Երևան-Սևան մայրուղու 1-ին գծում:Վաճառքի գինը 1մ/ք 1600$, վարձակալության արժեքը 1մ/ք 4500դրաՄ:Գինը ՍԱԿԱՐԿԵԼԻПродается или сдается коммерческое помещение общей площадью 4600 м.Новостройка обеспечена отоплением, охлаждением, системами безопасности, всеми коммуникациями.Есть собственная парковка.Помещение целесообразно использовать под магазины, выставочные залы, офисные помещения, а также под IT-деятельность.Здание расположено на 1-й линии Ереван-Севанского шоссе.Цена продажи 1600 долларов за квадратный метр, арендная плата 9долларов за квадратный метр.Цена договорная",Nov-24-2022_17-54,,https://list.am/en/item/16387051,,,,
Industrial and Manufacturing,Stone,2200 sq.m.,,,,,Kotayk › Abovian,"$115,000",USD,Factory for sale In Abovyan. Has a building with an area of 529 square meters. Call for details. SiranushTranslated from Armenian,Nov-24-2022_17-54,,https://list.am/en/item/16777172,,,,
Building,Stone,1600 sq.m.,,,,,Kotayk › Tsakhkadzor,"$750,000",USD,"Public area for sale in Tsaghkadzor. The total area is 1600 square meters, with the possibility of expansion. It is equipped with all utilities. The first floor of the building is renovated, suitable for any type of activity. The price is negotiable. For more information call. NarineCode 3233Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18080641,,,,
Industrial and Manufacturing,Stone,"10,000 sq.m.",,,,,Kotayk › Alapars,"$340,000",USD,"1 hectare area of industrial significance is for sale, fenced, with its buildings. The area is located near the Charentsavan-Aghveran road. It is provided with high-voltage 240 kW electricity, drinking and irrigation water. It is 12 mm. The price is preliminary. There is another land adjacent to the area, which is for sale together with the area. If you wish, we will send the certificates to Viber to write. The total area of the building is 1599.6 square meters. Call for details. SiranushCode 0055Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16777095,,,,
Restaurant,Stone,"10,000 sq.m.",Available,Not available,First Line,Common from the Street,"Տիգրանաձորի փողոց 112, Արամուս","$250,000",USD,"Urgent sale of a recreation zone in Aramus, the plot of land is for public development10000 square meters, suitable for any activity, has its own station 250kv, drinking water, natural gas, orchard, rest rooms, open pavilions, bakery, etc.This area is adjacent to Mount Hatis, I will listen to exchange offers, with an additional fee.For details, call ArmanTranslated from Armenian",Nov-24-2022_17-54,OUtdoor parking,https://list.am/en/item/18069105,,,,
Retail Space,Stone,300 sq.m.,,,,,"13th street, Hrazdan","$85,000",USD,"Շտապ վաճառվում է շատ բանուկ թաղամասում միկրոշրջան թաղամասում դատարանի, տիվա սուպերմարկետի մոտակայքում գլխավոր ճանապարհի վրա Գործող բիզնես` Ավտոլվացման կետ, խանութ, օֆիսային տարածքներ։Ետնամասում բնակելի տուն 150մ քառակուսի, որի հարդարման աշխատանքները կատարված են կիսատ։ Հողամաս 225 մ քառ։Չի սակարկվում",Nov-24-2022_17-54,,https://list.am/en/item/16527730,,,,
Functioning Business,Monolith,300 sq.m.,Available,Not available,First Line,Common from the Street,"5-րդ թաղամաս 11, Չարենցավան",$100,USD,Existing building material storeTranslated from Armenian,Nov-24-2022_17-54,,https://list.am/en/item/15757861,,,,
Multifunctional Space,Monolith,800 sq.m.,,,,,Kotayk › Abovian,"$350,000",USD,"With a total area of 645 square meters,Building area of 403 square meters403 square meters basement floor /storage/gas, light, water,Heating SystemofficeelevatorTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18152945,,,,
Industrial and Manufacturing,Panels,600 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Kotayk › Proshyan,"$65,000",USD,"Production space in Proshyan village is for sale. It is provided with constant water and electricity, there is the possibility of gasification in the area.For details, you can call the indicated phone numbers.Code K-404Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18048486,,,,
Retail Space,Stone,167 sq.m.,By agreement,Not available,First Line,Separate from the Street,Kotayk › Abovian,"$130,000",USD,"Commercial area is for sale in Abovyan, on Hanrapetutyan street. Capital renovation, 1st floor of a 10-storey building, euro-made windows are installed, the floor is tiled, the entrance is from the street, first line. The area is provided with constant water and electricity.An exchange with an apartment in Yerevan is possible.You can call the mentioned phone numbers for details.Code V-087Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17882819,,,,
Industrial and Manufacturing,Monolith,1000 sq.m.,Available,Available,First Line,Common from the Street,Kotayk › Nor Yerznka,"$500,000",USD,"Cold storage for saleProduction containerThe building is 1000 square meters, 2 floors5000 square meters of land.: Working businessTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18069251,,,,
Retail Space,Stone,80 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Միկրոշրջան թաղամաս, Հրազդան","$30,000",USD,Operated pharmacy is suitable for all commercial areas has two entrances from both parts of the building is renovated utilities are changedTranslated from Armenian,Nov-24-2022_17-54,,https://list.am/en/item/17642592,,,,
Restaurant,Stone,3800 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Arzakan,"$1,400,000",USD,Qarap restoranayin hamalir Hrazdan geti apin. Փոխանակում,Nov-24-2022_17-54,,https://list.am/en/item/16382173,,,,
Hotel,Stone,800 sq.m.,,,,,"Isahakyan street, Ծաղկաձոր","$650,000",USD,"Operating, fully renovated, has 11 rooms, parking, swimming pool, kitchen, fireplace, yard, sports hall, for details callTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17894712,,,,
Multifunctional Space,Stone,183 sq.m.,Not available,Not available,First Line,Common from the Street,"Yeritasardakan street, Abovyan","$150,000",USD,"Also exchange. Located on the 1st floor of a 5-story building, 183m2 can be used for various purposes (shop, clinic, bank, etc.) It has entrances from both sides of the building. Now it is for rent. I will listen to offers for construction equipment, cars, etc. In exchange with suitable conditions. With an additional fee from you. Price It is negotiable. Partial payment is possible.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/15836375,,,,
Retail Space,Stone,260 sq.m.,,,,,Kotayk › Balahovit,"$67,500",USD,"Shop for sale in Balahovit260 square meters In total area,1st line,There is air conditioning.The floor is tiledCode 004-BTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18112437,,,,
Agricultural Space,Wooden,8900 sq.m.,Not available,Not available,Other,Separate from the Street,Kotayk › Jrvezh,"$750,000",USD,"Universal commercial area for sale, which includes a greenhouse, a dryer, refrigerators and a private house, which can be used as a guest house. The total area of the land is 8900 square meters, the area of greenhouses is 2500 square meters. The area is fenced, has 2 entrances, an iron gate. The greenhouse is provided with modern conditions, has a proper cooling system, electric windows, drip irrigation system. There are 2 refrigerators with an area of 25 square meters, the dryer is equipped with appropriate equipment. A solar system is installed on both sides, there is a three-phase electricity, a generator. Most apricot trees grow in the garden. There is also a 2-storey private house or guest house with an area of 120 square meters, which is capitally renovated, has all the amenities, has a heating system. It consists of living room, kitchen, 2 bedrooms and 1 bathroom. There is a second summer kitchen in the yard, furnished with a fireplace, there is a pavilion. It is possible to sell it in 2 parts, as a guest house for agricultural purposes.Code 5-603238Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17960109,,,,
Functioning Business,Monolith,180 sq.m.,Not available,Available,First Line,Separate from the Street,"Улица Барекамутян 1, Абовян","$180,000",USD,Готовый работающий бизнес в Давидашене можно под любой бизнес маркет стаматалогия офис салон красоты можно сделать 3 квартиры и задать легко принесёт большую прибыль местоположение указанно неправильно объект находится г Ереван Давидашен 1кварталԿոդ Cent3434,Nov-24-2022_17-54,OUtdoor parking,https://list.am/en/item/17877012,,,,
Industrial and Manufacturing,Stone,2100 sq.m.,,,,,"Կոտայքի փողոց, Բյուրեղավան","80,000,000 ֏",AMD,"An existing stone workshop is for sale in the city of Byureghavan. The total area of the land is 2100 square meters. M. The area of the building is 850 square meters. M. It is. The height is 8 meters. The area also includes an administrative section, surrounded by fruit trees. There is water, three-phase electricity, sewage. Equipped with a 3 ton capacity hoist.It is also suitable for organizing storage or other production.Sale Price. 80 000 000 AMD.Can also be rented partially, furnished or unfurnished.Rent price 1 square meter 800 dramsTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16054149,,,,
Multifunctional Space,Stone,150 sq.m.,Not available,Not available,First Line,Common from the Street,"Տիգրանաձորի փողոց 4/1, Արամուս","$95,000",USD,"The building is located in the village of Aramus, on the main road leading to the fishponds. Can be used as a car service point, warehouse, shop, etc. There is three-phase electricity, the area is 10 m wide and 15 m long.It is for rent.URGENTTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16736182,,,,
Retail Space,Stone,50 sq.m.,,,,,Kotayk › Proshyan,"150,000 ֏",AMD,"An operating business for rent: (grocery store and beer house) is for rent with the property and the assortment of products available in the store, located on the main road, 1st lane, next to the Sev Kar restaurant. Price negotiable, call for detailsTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18345039,,,,
Industrial and Manufacturing,Stone,2400 sq.m.,,,,,"Eghvard highway, Yerevan","$350,000",USD,"Production area 11,000 m2 land, building, 2,400 m2. Located in Yeghvard city, suitable for any production and warehouse. It has three-phase current and constant water, the price is negotiableTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18146202,,,,
Agricultural Space,Cassette,630 sq.m.,Not available,Not available,Second Line,Separate from the Street,Kotayk › Goght,"$11,000",USD,"A working greenhouse, all the details of the greenhouse are thereTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18374367,,,,
Multifunctional Space,Stone,240 sq.m.,,,,,Kotayk › Yeghvard,"$230,000",USD,"# Yeghvard # 2 FLOOR COMMERCIAL SPACE FOR SALE OR RENT IN Eghvard1ST FLOOR: SHOP2ND FLOOR: BEAUTY ROOMThe total land area is 150 square metersThe area of the building is 250 square metersThe space is renovated with Euro-capitalThe floor is tiledThe windows are of European manufactureThe bathroom is tiledAll utilities, heating system and air conditioning are availableIt has a security systemHas street parkingSold with existing property and appliancesIt can serve different purposes: A training center. Pharmacy, office space. Shop, fast food, etc.Eghvard, real estate, Eghvard, ExvardBrotherOperating business in Yeghvard.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17819203,,,,
Retail Space,Stone,26 sq.m.,,,,,"Tumanyan street, Charentsavan","13,000,000 ֏",AMD,"Newly built light, water and sewage facilitiesTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18092535,,,,
Multifunctional Space,Stone,185 sq.m.,Not available,Not available,Second Line,Common from the Street,"Zoravar Andranik avenue, Hrazdan","$28,000",USD,"Cafe, the size of the room is 185 square meters. M, building 62 sq. MElectricity, water, sewageTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18350234,,,,
Industrial and Manufacturing,Panels,4000 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Hrazdan,"1,500,000 ֏",AMD,"On the factory street of Hrazdan city / in the area of the former Hrazdanmash factory / spaces for production, storage and other activities are for rent.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18127799,,,,
Retail Space,Stone,70 sq.m.,Available,Not available,Other,Common from the Street,"1-ին փողոց 59, Հրազդան","$55,000",USD,"It has been repaired, it has a san node, there is waterTranslated from Armenian",Nov-24-2022_17-54,OUtdoor parking,https://list.am/en/item/18271172,,,,
Agricultural Space,Panels,"20,000 sq.m.",,,,,Kotayk › Hatsavan,"$200,000",USD,"It is located 13 km from Yerevan. In the distance, on the right side of Yerjan-Garni highway, it has 2 own water, an elevator, a milk vacuum unit, three-phase electricity, 2 hectares of land.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17988781,,,,
Industrial and Manufacturing,Stone,320 sq.m.,,,,,"Vazgen Sargsyan street, Kasakh","$220,000",USD,"It has all the amenities: Viscose gas, three-phase electricity, permanent water, separate sewer. The front part of the building is a shop, the back part is a workshop, it is for rent. Call for details.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17501624,,,,
Functioning Business,Stone,50 sq.m.,,,,,"Qochinyan St, Yerevan","37,000,000 ֏",AMD,"Business space for sale in Jrvezh, on the private main road, first line. The space is fenced, has a separate bathroom, has water and sewage, has the possibility to build a 2nd floor, also negotiable.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18010981,,,,
Agricultural Space,Stone,6000 sq.m.,,,,,Kotayk › Argel,"$99,000",USD,"The total area of the building is 340 square meters, of which 205 and 85 square meters is a barn, 50 square meters is a living area. Ceiling height is 3-3.5 m. The living area is renovated (2 rooms and bathroom) The building was built in 2005. On, 2 under tuff stone. It is provided with electricity, drinking and irrigation water. The land includes: 3000 square meters of apricot orchard, 500 square meters of vegetable garden, 1000 square meters of different types of fruit trees. The land is completely fenced.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17825953,,,,
Multifunctional Space,Stone,300 sq.m.,,,,,Kotayk › Zovuni,"$450,000",USD,"A spacious building with an area of 270 square meters is for sale in the Zovuni community, construction works are still in progress, all utilities are available: Water, sewer lines, three-phase electricity, if necessary, it can be gasified. The area is multi-functional, front line, can be used for both commercial and other business activities. No paperwork issues.Code FM1014Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18231859,,,,
Multifunctional Space,Stone,1040 sq.m.,,,,,Kotayk › Hrazdan,"$240,000",USD,"Multifunctional area for sale: Car wash, car tech. Service point, storage areas. The building has 2 floors, 2 floors have an entrance. The building is provided with gas, light (three-phase), sewerage. Call for details. The area is also located in the center district.The area is valid for more than 25 years in case of URGENT purchase.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17665321,,,,
Industrial and Manufacturing,Stone,1138 sq.m.,Not available,Not available,Second Line,Separate from the Street,Kotayk › Abovian,"$370,000",USD,"Industrial Building 904.6 square meters + 2 roofs of 197.1 square meters and 36.5 square meters + 4500 square meters of asphalted area. The territory is fenced. The height is 5 meters. The roof with panels. All communications are available: Three-phase electricity from own substation, gas, drinking water, sewage. 10 km from Yerevan. Suitable for any production activity. The land is privately owned. Not an agent, it's ours.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18241551,,,,
Industrial and Manufacturing,Stone,440 sq.m.,Not available,Not available,First Line,Common from the Street,"5-րդ փողոց 18, Բալահովիտ","$180,000",USD,Commercial area is for sale. It is rentedTranslated from Armenian,Nov-24-2022_17-55,OUtdoor parking,https://list.am/en/item/15958380,,,,
Everything Else,Wooden,27 sq.m.,Available,Not available,Other,Common from the Street,Kotayk › Abovian,"1,200,000 ֏",AMD,"Located in good condition, four fittings, Euro 9 × 3 doors.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15797542,,,,
Retail Space,Stone,30 sq.m.,Not available,Not available,Other,Separate from the Street,"Kentron block 19, Hrazdan","$10,000",USD,Commercial area 30 KarakusTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/14822364,,,,
Functioning Business,Stone,65 sq.m.,,,,,"Sevani street, Abovyan","$80,000",USD,It has electric current. LVA YOURSELF is an operating business with all its equipment. Has drinking water. There is a coffee machine. Call the mentioned phone number for details.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16543735,,,,
Retail Space,Stone,74 sq.m.,,,,,"Kentron block, Hrazdan","$30,000",USD,The store is located in the center of Hrazdan. Former MANUSHAK store.Exchange with another area is possible.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/8596300,,,,
Retail Space,Stone,882 sq.m.,,,,,"4th microdistrict, Abovyan","$420,000",USD,"Land near the church of Abovyan city, 370 sq/m, 3 floors, 882 sq, m building. On the central roadTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17467253,,,,
Building,Stone,2400 sq.m.,,,,,"3-րդ փողոց 1, Արզնի","$310,000",USD,"The land area is 9000 square meters.The total area of the building is 2400 square meters.The building has 2 floors, it has rooms of different sizes.Suitable for industrial activity or hotel complex.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18020570,,,,
Functioning Business,Stone,550 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"6 -րդ թաղամաս 6-20Ա, Չարենցավան","90,000,000 ֏",AMD,"It is located in the center of Charentsavan, first line, the land is 650 sq. M. Մ. , building area 3 floors together 550 sq. M. Մ. , 1st floor bakery, 2nd and 3rd floors are residential (needs cosmetic repairs, three-phase electricity is connected, electric wires and heating pipes are installed), details by phone.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17996039,,,,
Hotel,Stone,"15,000 sq.m.",,,,,Kotayk › Hankavan,"$520,000",USD,"The recreation area owned by Argelanoz LLC is located in the Hanqavan hydrological reserve and is considered as a specially protected area, occupying 1.5 hectares of land, of which 2700 square meters of building facilities are subject to repair/reconstruction. The area is public and allowed to build/renovate/Restaurants, hotels, camping/glamping/ etc. It is surrounded by very high quality mineral water springs and is located at the intersection of 3 rivers, next to jvezh. It is surrounded by beautiful forests.The company is for sale, has no payables and other liabilitiesTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18333394,,,,
Restaurant,Stone,1300 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Dzoraghbyur,"$134,000",USD,An existing bakery is for sale in the area adjacent to the country house district of Jrvezh community.There are both stalls and open stalls.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18086028,,,,
Multifunctional Space,Stone,1300 sq.m.,,,,,"Էդուարդ Պետրոսյան, Աբովյան","$495,000",USD,"For sale or rent c. In Abovyan, a former hall for wedding ceremonies near the bus station. The building is two-story, lined with travertine inside and out, the total area is about 866.75 m, the land area is 0.0835 ha (the part not encumbered by the building is about 400 m) It has a large hall (380 m), a hall-restaurant (110 m) and one small hall (80 m), a separate two-story kitchen, offices and private rooms. The area is provided with constant drinking water, three-phase electricity and natural gas.The area is in good condition and can be used for any activity.Long-term lease, exchange with property in Yerevan is possible.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17456957,,,,
Office Space,Stone,275 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Kotayk › Charentsavan,"58,000,000 ֏",AMD,"An office space is for sale, which is suitable for any activity (workshop, gym, beauty salon, etc.) There is three-phase electricity. The total area of the land with the building is 1000 square meters, the office is 275 square meters. The additional land can serve as a parking lot.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17784233,,,,
Automotive Service,Panels,162 sq.m.,Not available,Not available,Other,Separate from the Street,"Kentron block, Hrazdan","$16,700",USD,"For sale operatingCar service station in Kentron district of Hrazdan city.The total area is 162 square meters, of which 110 square meters are built, 2 big boxes, the third is half-built.There is three-phase electricity, basement, dam (2.5 t, Polish), water, sewerage.Negotiable.Call only after 8 o'clock in the evening.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/14675796,,,,
Functioning Business,Stone,180 sq.m.,,,,,Kotayk › Hrazdan,"$85,000",USD,"The current business building is 100 square meters, the running area is 180 square meters, it is provided with electricity, electricity and water, the area is located in the center of Razdan city, call the district administration for details.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17047994,,,,
Hotel,Stone,"12,000 sq.m.",Not available,Not available,Other,Separate from the Street,Kotayk › Arzakan,"$1,400,000",USD,"Կոդ` B-22764Վաճառվում է կոմերցիոն տարածք Արզական գյուղում։ Տարածքը կապիտալ վերանորգված է, շինությունների մակերեսը`3800 քմ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո։ Ունի խոհանոց, սանհանգույց, ճաշարան, ռեստորան, սպորտ դահլիճ, պահակակետ, եռաֆազ հոսանք, գազի հնարավորություն, մշտական ջուր։ Շահագործվում է որպես հանգստի գոտի։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Arzakan Village․ The area is newly renovated, the area of the buildings is 3800 sq. M. The entrance door is iron-made, the windows are euro-based. The area has kitchen, bathroom, canteen, restaurant, sportsground, guard post, three-phase electricity, the possibility of gas and is supplied with constant water. The area serves as a rest room.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_17-55,,https://list.am/en/item/18156005,,,,
Retail Space,Stone,70 sq.m.,Available,Not available,Second Line,Common from the Street,"Kentron block, Hrazdan","10,000,000 ֏",AMD,"The shop is located in the center district of Hrazdan city, on the road leading to the regional administration, it has two floors, 2 * 35 square meters, a total of 70 square meters.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15440811,,,,
