Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Service Lines,Facilities,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,175 sq.m.,2,4,1,,,Old Renovation,Shirak › Horom,"$28,000",USD,"A 4-room house is for sale in Horom village. The apartment is partially renovated on the sunny side, with fruit trees, gardens, there is also a cowshed, a garage, a boiler house. The house has an attic and a comfortable sitting area. The area is sheltered by stones.Call for details.Translated from Armenian",Nov-25-2022_00-23,1455 sq.m.,,,,https://list.am/en/item/18194621,,,,,,
House,Stone,100 sq.m.,1,3,1,,,Old Renovation,"Խ․Աբովյան փողոցի 1-ին նրբանցք, Գյումրի","$7,500",USD,"A house for sale in Gyumri, for more details, write to WhatsApp on the mentioned numberTranslated from Armenian",Nov-25-2022_00-23,500 sq.m.,,,,https://list.am/en/item/18371134,,,,,,
Townhouse,Panels,170 sq.m.,2,5,1,Available,Not available,No Renovation,"Աճեմյան փողոց, Գյումրի","$200,000",USD,"An apartment is for sale in the historical and cultural area, next to Tumo centr and the square, on the street of Tarem Marem Balconi.:Translated from Armenian",Nov-25-2022_00-23,40 sq.m.,,,,https://list.am/en/item/17897111,,,,,,
House,Stone,2700 sq.m.,1,4,2,,,Old Renovation,Shirak › Mayisyan,"$30,000",USD,"A private house is for sale in Mayisyan village, 1 km from Gyumri city. It has a large plot and a garden with fruit trees. It is sold together with the existing property. It is very close to the main road. There is a garage, a cowshed, a bakeryTranslated from Armenian",Nov-25-2022_00-23,2500 sq.m.,,,,https://list.am/en/item/17441646,,,,,,
House,Stone,350 sq.m.,2,4,2,,,Partial Renovation,Shirak › Akhuryan,"$49,000",USD,"A newly built house for sale in Akhuryan with a large garage, a yard, fruit trees, a white garage, the address is 20 Shiraz, and exchange of apartments back in Gyumri with an additional fee from you.Translated from Armenian",Nov-25-2022_00-23,300 sq.m.,,,,https://list.am/en/item/18089977,,,,,,
House,Stone,48 sq.m.,4+,1,1,,,Cosmetic Renovation,Shirak › Gyumri,"$16,200",USD,Details by callTranslated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/13965396,,,,,,
House,Stone,41 sq.m.,1,3,1,,,No Renovation,Shirak › Gyumri,"$22,000",USD,"The house is in good condition, the iron door has been changed. It has a plot of land with productive trees in the back and front. It is located on the main street in Mush 2 district. You can call for details.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18370255,,,,,,
House,Stone,120 sq.m.,1,3,1,Available,Not available,Old Renovation,"Շահբազյան փողոց 12, Գյումրի","$40,000",USD,"House for sale in Shirak m. The area of the house in Akhuryan is 120 square meters. The land area is 1000 square meters. Orchard irrigation water. In the barn with a barn. The house is gasified, has constant cold and hot water. The windows are euro. It has an entrance hall, 3 rooms, a bathroom, a kitchen.Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/15904672,,,,,,
House,Stone,672 sq.m.,1,6,2,By agreement,1 spot,Euro Renovation,"Mayakovski Street, Gyumri","$110,000",USD,"Own house for sale in the center of Gyumri. Address: House 34 Mayakovsky Street. Communal with all amenities. It is a house of old Gyumri. It is not in the Kumari reserve. 3 rooms. 2 corridors. Kitchen. Separate bathroom and toilet. It is well preserved. The house is 100 square meters. There is a building of 62 square meters in the yard. Yard 510 karakusi. There are 672 karakusi in total. The guest house is convenient. Hotel. To build a new house. There is a 26-car garage outside the yard. It is right in the center, it is a 3-minute walk from the house to Vardanants Square. The house is owned.Translated from Armenian",Nov-25-2022_00-23,510 sq.m.,,,,https://list.am/en/item/18032911,,,,,,
House,Stone,600 sq.m.,2,8+,1,Not available,3 or more spots,No Renovation,"Ախուրյանի խճուղի 20, Գյումրի","$30,000",USD,"Վաճառվում է կիսակառույց առանձնատուն։Տան առաջի հարկը հնարավոր էբնակեցումպահեստամաս, 3-4 մեքենայի համար նախատեսված ավտոտնակ։Եռաֆազ լույս, գազ, ջուր։Հսակայական բակ, պտղատու ծառերով, ջրհոր, և դիմացի հատվածը կա բակ և տան հետնամասում։Վաճառվում կամ փոխանակվում է մանրամասների համար կարող եք զանգահարել։Продается двухквартирный дом Возможен первый этаж домапроживаниекладовка, гараж на 3-4 машины. Трехфазное электричество, газ, вода. Огромный двор, с фруктовыми деревьями, колодец и в передней части есть двор, а в задней части дома. Продам или обменяю, можно позвоните для деталей.Translated from Armenian",Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/17187709,,,,,,
House,Stone,450 sq.m.,1,4,1,Available,3 or more spots,Old Renovation,"Knunyants street, Gyumri",$69,USD,"! FOR SALE!ADDRESS c. Gyumri, Knunyants street (polygon district)AREA' 445 sq, m,It is privatizedPrice is negotiableCall for detailsTwo private houses with a common yard, the houses need utility and cosmetic repairs, because they have not been inhabited for about 15 years, they have a large garage, the houses were built in 1957 and 1987. One of the ceilings of the house is concrete, the other is wooden.It is possible to exchange with a 1-room apartment with your additional payment, or a car. The price is 69... Negotiable. DO NOT CALL IDLE PEOPLE.Translated from Armenian",Nov-25-2022_00-23,450 sq.m.,,,,https://list.am/en/item/14998835,,,,,,
House,Stone,240 sq.m.,3,7,1,,,Partial Renovation,Shirak › Gyumri,"$130,000",USD,"The house was built in 1990. Suitable for starting a business (guest house) Has permanent hot and cold water, sewerage, 2 balconies, garage and 3rd floor with 80 sq / m areaTranslated from Armenian",Nov-25-2022_00-23,140 sq.m.,,,,https://list.am/en/item/17691049,,,,,,
House,Stone,336 sq.m.,2,4,1,Not available,1 spot,No Renovation,Shirak › Maralik,"$25,000",USD,"It is also exchanged with a 2-room apartment for an additional fee from you, there is sewerage and water, for details, call the phone number shown in the picture.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18254042,,,,,,
House,Stone,863 sq.m.,1,4,1,Not available,1 spot,Old Renovation,"Arevelyan street, Gyumri","$24,000",USD,"Срочный! Продается частный дом. Дом расположен рядом с новым аэропортом. Есть сад с фруктовыми деревьями, гараж. По вопросам звоните по указанному номеру.",Nov-25-2022_00-23,109 sq.m.,,,,https://list.am/en/item/17563946,,,,,,
House,Stone,90 sq.m.,1,4,2,Available,Not available,Major Renovation,"Սուրեն Մատնիշյան փողոց 151, Գյումրի","$150,000",USD,"A public building is for sale or rent in the center of the city, 700 meters from the Square. The surface of the area is 165 square meters, of which 90 square meters is occupied by the building. The building has been thoroughly renovated, the entire area is tiled, iron and euro doors, euro triple-glazed windows have been installed. There are 2 tiled bathrooms, 2 kitchens and 3 halls in the building. There is a well-maintained yard at the rear of the building. The building is very suitable for use as an office, hairdressing salon, dental clinic, office and other purposes.Translated from Armenian",Nov-25-2022_00-23,170 sq.m.,,,,https://list.am/en/item/18074569,,,,,,
House,Stone,95 sq.m.,1,3,1,By agreement,1 spot,Cosmetic Renovation,"Բաքվի 26 կոմիսարների փողոց 14, Գյումրի","$55,000",USD,"In the center of the city (Мост), a private house with a total area of 95, built of black hewn stone, is for sale.Garden 85 square meters, fruit trees, attic, auxiliary building in the yard, stone garage, k. B. H, gas, light, hot and cold water, privatized.Translated from Armenian",Nov-25-2022_00-23,100 sq.m.,,,,https://list.am/en/item/17900724,,,,,,
House,Stone,308 sq.m.,2,8+,2,Available,2 spots,Euro Renovation,Shirak › Artik,"$45,000",USD,"Продается на улице Микояна 2а гор Артик 2-х этажный частным дом площадью 308 кв. М. Вместе с гаражом и летней кухней! В доме евроремонт, продается со всем имуществом! На 1-м этаже холл, просторная гостинная, кухня, комната для отдыха, комната (гардеробная), котельная, санузел. На 2-м этаже холл, 4 спальни, зал, санузел! Из второго этажа выход на открытый балкон. Дом обставлен мебелю и техникой! В доме имеются свет, вода канализация! Во дворе есть летняя кухня, фруктовые деревья! Гараж пристроенный к дому, вход отдельный, над гаражом имеется еще один просторный балкон, для отдыха! Дом огражден высоким забором! По все вопросам обращайтесь по номеру 8 (905) 010-05-65 (Вайбер, Вотсапп)",Nov-25-2022_00-23,500 sq.m.,,,,https://list.am/en/item/18166651,,,,,,
House,Stone,450 sq.m.,1,4,1,,,No Renovation,"Karen Demirchyan street, Gyumri","$40,000",USD,"One side is newly built, the roof is concrete.There is also a 3-room residential building attached.The house has a large yard and a plot with fruit trees.Translated from Armenian",Nov-25-2022_00-23,300 sq.m.,,,,https://list.am/en/item/18182084,,,,,,
House,Stone,124 sq.m.,1,4,1,,,Partial Renovation,"Ghandilyan street, Gyumri","$80,000",USD,"Վաճառում եմ 4 սենյականոց, 2 միջանցքներով, խոհանոցով, 1 հարկանի սեփական տուն, կոմունալ բոլոր հարմարություններով, տաք և սառը մշտական ջրով, ջեռուցման համակարգով և անվտանգության համակարգով, տանը շրջապատում է մրգատու այգիներ և հողամաս։ Տանը մոտիկ է մանկապարտեզ, ֆուտբոլի դաշտ նաև մոտ է երկաթ գծի կայարանին։ Գինը սակարկելի էՀասցեն Երկաթ գծի 8շ բն․2ա",Nov-25-2022_00-23,,,,,https://list.am/en/item/14545931,,,,,,
House,Stone,200 sq.m.,2,3,1,Available,Not available,Partial Renovation,Shirak › Krashen,"$18,000",USD,"Price Negotiable:The house has a plot of land, fruit trees, a barn.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/17487744,,,,,,
House,Stone,400 sq.m.,2,5,3+,By agreement,1 spot,Partial Renovation,Shirak › Gyumri,"$100,000",USD,"В 9 км от Гюмри с. ВагамабердЛен-Гесе предлагаться в продажу дом 2ух этажный сейсмоустойчивой конструкция 400 м. Рядом находиться конструкция 80м и 2600м земля, который очень удобен для развития тепличного бизнеса. Рядом с домом проходит водо канала в котором вода круглый год. Дом может стать гостевом домом. Место туристическое оно находится недалеко от древнейших присланные Ваграма Пахлавуни. В доме есть 3 спальных с отдельными балконами, бар, гараж, постоянная вода, природный газ, рабочая канализация. Цена 100.000$, но остальное можем договариваться.",Nov-25-2022_00-23,2600 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/17899104,,,,,,
Country House,Stone,75 sq.m.,1,3,1,Available,1 spot,Cosmetic Renovation,Shirak › Voghji,"$21,500",USD,"A 3-room apartment is for sale in the village of Voghji, 10 km from Gyumri, it has a cattle yard of about 100 square meters, an orchard, 120 trees, apple, plum, popokidedzi, cherry, gooseberry, etc. , adjacent to 1 ha of arable land with irrigation water, the irrigation system runs through the land, it has a garage. The house has all utilities, gas, water, electricity, heating system, bathroom, half-built sauna and internet connection. Also available for rentTranslated from Armenian",Nov-25-2022_00-23,"13,000 sq.m.",,,,https://list.am/en/item/18043121,,,,,,
House,Stone,231 sq.m.,1,5,3+,,Not available,Designer Renovation,"Spandaryan Street, Gyumri","$220,000",USD,It is for sale together with the furniture. The yard is completely basalt.Translated from Armenian,Nov-25-2022_00-23,90 sq.m.,,,,https://list.am/en/item/16276217,,,,,,
House,Stone,400 sq.m.,2,8+,1,By agreement,1 spot,Partial Renovation,Shirak › Artik,"$52,000",USD,"Վաճառվում է երկհարկանի առանձնատուն կոմունալ բոլոր հարմարություններով, տաք և սառը ջրով: Առաջին հարկը եվրովերանորոգված, սանհանգույցը սալիկապատված: ՈՒնի այգի պտղատու ծառերով, նկուղ, ձեղնահարկ և առանձին շինություն. Բնակարանն վաճառվում է որոշակի կահույքի հետ միասին, Բնակարանում առկա է ջեռուցման կաթսա և սպորտային սենյակ",Nov-25-2022_00-23,1500 sq.m.,,,,https://list.am/en/item/18032825,,,,,,
House,Cassette,100 sq.m.,1,4,1,Not available,Not available,Cosmetic Renovation,"Հ. Սարգսյան փողոց 3/2, Գյումրի","10,000,000 ֏",AMD,The house is in normal condition. It has hot and cold water. Kitchen and bathroom tiled. Has a separate yard. Located in the city center in front of Balaton School. For more information call:Translated from Armenian,Nov-25-2022_00-23,120 sq.m.,,,,https://list.am/en/item/17823641,,,,,,
House,Stone,313 sq.m.,3,3,1,,,Partial Renovation,"Շահումյան փողոց 213, Գյումրի","$70,000",USD,"URGENT! 3-room (313 square meters) house is for sale in Gyumri, 213 Shahumyan street.The price is $ 70,000.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/17762427,,,,,,
House,Stone,210 sq.m.,2,6,1,By agreement,Not available,Old Renovation,"Տուֆագործների փողոց 15, Արթիկ","9,500,000 ֏",AMD,"VERY URGENTLYTwo-story, 6-room private house for sale with all utilities: Gas, electricity, permanent water. It has an 80 sq. M. Cattle barn, 25 sq. M. Auxiliary building, 300 + sq. M. Orchard. There is a basement, an open balcony. It is also sold in parts. VERY URGENTLYTranslated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/18245612,,,,,,
House,Stone,167 sq.m.,1,5,2,,1 spot,Euro Renovation,Shirak › Gyumri,"$88,000",USD,"Own house for sale on Komitas street. European renovated, with all utilities, basement, fenced, heating system, fruit trees.Resident Mak. 167 sq. M. Land area: 800 sq. M, has a garage.Privatized.It can also be exchanged for a 2-3 room apartment, with an additional fee.Price $88,000 (negotiable)For more information callTranslated from Armenian",Nov-25-2022_00-23,800 sq.m.,,,,https://list.am/en/item/17802473,,,,,,
House,Stone,120 sq.m.,1,5,1,,,Euro Renovation,Shirak › Azatan,"$65,000",USD,"For sale together with the property. There is a garage, a barn and a bakery.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/17910868,,,,,,
House,Monolith,1200 sq.m.,1,4,1,,,Old Renovation,"Akhuryan Highway, Gyumri","$14,000",USD,"A house is for sale in the village of Jajur, Shirak marz. It has fruit land near the house, permanent water. For other details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-23,1050 sq.m.,,,,https://list.am/en/item/18034046,,,,,,
House,Stone,300 sq.m.,2,7,2,Not available,1 spot,Old Renovation,Shirak › Mayisyan,"3,000,000 ₽",RUB,"Երկհարկանի առանձնատուն կառուցված է1993 թ. Մայիսյան գյուղում, ունի 4 ննջասենյակ, երկու զալ, որից մեկում բուխարի կա, ճաշասենյակ, խոհանոց, երկու սանհանգույց, նկուղ, կաթսայատուն: Կա մեծ սպորտզալ որը կարելի է օգտագործել որպես արտադրամաս, Հողամասը1800 ք մ, պարիսպապատված է տուֆ քարով: Տունը անկյունային է: ՈՒնի ավտոտնակ: Դպրոցը ու մանկապարտեզը գտնվում են մոտ: Փոխանակում եմ բնակարանի հետ:",Nov-25-2022_00-23,1800 sq.m.,,,,https://list.am/en/item/12743281,,,,,,
House,Stone,120 sq.m.,2,3,1,By agreement,2 spots,Euro Renovation,Shirak › Gyumri,"$75,000",USD,"A beautiful and comfortable two-story private house is for sale in Akhuryan community. The house is renovated. The area of the residential house is 120 square meters.The bathroom is tiled and equipped with the necessary plumbing.The house is sold together with the property.Constant drinking cold water.It has a basement, a garage. Fruit trees are available.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18228967,,,,,,
House,Stone,170 sq.m.,2,7,2,,,Old Renovation,"Mazmanyan Street, Gyumri","67,000,000 ֏",AMD,"Старый ремонт, в чистом состоянии",Nov-25-2022_00-23,50 sq.m.,,,,https://list.am/en/item/17190299,,,,,,
