Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Condition,Service Lines,Facilities
Country House,Stone,500 sq.m.,2,5,2,,,Major Renovation,,8+,Yes,Yes,By Agreement,By Agreement,Armavir › Echmiadzin,"20,000 ֏ daily",AMD,A luxury house with a swimming pool with all its amenities is available for daily and long-term rent in the city of Etchmiadzin#swimming pool# hot and cold water#1 bathroom# 3 bedrooms# furniture:# living room# kitchen# ample parking space#dishes:___suitable for engagement wedding ceremonies and other eventsThe pool is filtered 24 hours a day————OWNER———-Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/14453335,,,
House,Stone,300 sq.m.,2,8+,3+,,,Major Renovation,3000 sq.m.,,,,,,Armavir › Echmiadzin,"120,000 ֏ daily",AMD,"For daily rent Summer house invites you to hold your birthday, wedding, wedding or other events with us.We have 3000 square meters! An area that we can provide for other events (up to 300 people) on other terms.ATTENTION!In the yard of his house is St. George Church, which is consecrated by the priest of the Mother See of Holy Etchmiadzin. Built in 2020.We have no restrictions on music, loud voice.Distance from Yerevan 25 km.• Swimming pool on 8x5 / filtered /• Luxurious night lighting• Pavilion / designed for 32 people /• Tableware / uniform, high quality /• Barbecue, tonir, possibility of making khashlama with wood / barbecue bottle /• Powerful speakers /• 1 rest roomThe price is different on Fridays, Saturdays and Sundays. The house is provided without accommodation.Code EL92Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17938698,,,
Country House,Stone,100 sq.m.,1,2,1,,,Major Renovation,1000 sq.m.,,,,,,Armavir › Echmiadzin,"120,000 ֏ daily",AMD,"? ՚? ? ? ?Dear customers, we present to you our new summer house, which is designed for the best leisure and eventsAddress: EtchmiadzinWardrobe:Beautiful yardSwimming pool️Summer kitchenWe provide in the mentioned pricehe's dishesDaily fee: 100,000-150,000 drams• Related to the populationprices are changing.HURRY TO BOOKCode ELIT155Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16472667,,,
Country House,Stone,600 sq.m.,1,1,1,,,Designer Renovation,2000 sq.m.,,,,,,Armavir › Echmiadzin,"120,000 ֏ daily",AMD,"• Dear customers, you can organize your most important and joyful events.It is a great place for both family and noisy, fun and joyful holidaysto organizeWe accept up to 60 peopleCode ELIT135Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16119620,,,
House,Stone,405 sq.m.,2,6,2,Available,2 spots,Designer Renovation,200 sq.m.,6,No,No,Not included,3 months,"Վահան Տերյանի փողոց 11, Վաղարշապատ","$2,000 monthly",USD,"Luxurious house for rent (possibly for daily rent), newly built,Has all the utilities,Capital, beautifully renovated,Stylish,The property and is equipped with appliances, the windows and the doors are of European production, the bathroom is tiled, individual heating system is installed, the private house has a swimming pool, a beautiful yard, a chat room, a summer kitchenTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17457046,,,
House,Stone,90 sq.m.,1,3,1,,Not available,Partial Renovation,300 sq.m.,5,Yes,No,Not included,1 month,Armavir › Ptghunk,"150,000 ֏ monthly",AMD,"It is located in the central part of the village. It is given for a long term, preferably with a family. For more information callTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16468692,,,
Country House,Stone,100 sq.m.,2,3,1,Available,Not available,Cosmetic Renovation,1000 sq.m.,1,Yes,Yes,Not included,2 months,Armavir › Echmiadzin,"$63,000 monthly",USD,FOR SALESwimming poolPlaygroundPing-pongVolleyball fieldCampfire cornerTo walkBeautiful lightingBooth for 20-30 peopleThe area is fencedTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17995933,,,
House,Stone,597 sq.m.,1,5,3+,,,Designer Renovation,383 sq.m.,7,Yes,Yes,Not included,By Agreement,"Andranik street, Vagharshapat","550,000 ֏ daily",AMD,"A beautiful, recently cosmetically renovated private house is for daily rent in Andranik district of Etchmiadzin.The private house is located in a quiet part of the district.The area of the land is 597 square metersThe total area is 383.3 square metersThe house consists of:Spacious living room-Kitchen-Bathroom-4 bedrooms, one of which has its own private bathroomTo make your memorable days even more memorable, the house has an indescribably beautiful green garden:-with the pool-with a small corner of the grilla separate room in the park with its shower room and kitchen.The advantages of a private house are:The latest security systemRemote controlled gates-Parking parking for 6 cars.The whole area of the house is monitored by cameras.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17965185,,,
House,Stone,70 sq.m.,1,2,1,,,Euro Renovation,100 sq.m.,,,,,,"Aygek-Paraqar Highway, Merdzavan","$1,000 monthly",USD,"The apartment is given to foreign guests, for details, write to VatsapTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18351982,,,
Country House,Stone,555 sq.m.,3,8+,2,Available,2 spots,Major Renovation,1170 sq.m.,8+,Yes,Yes,Included,1 month,Armavir › Dasht,"100,000 ֏ daily",AMD,"A private house for daily rent for up to 40 people in Dasht village, located on the road from Ashtarak to Etchmiadzin.The cottage has all the amenities to make your weekend perfect.There is a large swimming pool, pavilion for 20 - 30 people, barbecue, dishes for 50 - 60 people, there are also 6 bedrooms, 2 living rooms and 2 bathrooms.The summer house has a very beautiful and well-kept garden with fruit trees.11.00 am - 11.00 pm - cost - 100 000 AMDALSO POSSIBLE FOR SALETranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18112369,,,
House,Stone,120 sq.m.,2,4,1,By agreement,1 spot,Designer Renovation,300 sq.m.,6,Yes,Yes,Not included,2 months,"Վարդան Մամիկոնյան փողոց 21, Վաղարշապատ","$1,500 monthly",USD,"Zdayotca, Arenda, Առանձնատունը վերանորոգված է բարձրակարգ նյութերով ու դիզայներական ոճով մասնակի՝ առաջին հարկը ամբողջությամբ։ Ապահոված է տաք եվ սառը ջրով 24 ժամ՚ տաք ջուր նաեւ արեվային՝ անվճար։ բակում առկա է ջրհոր…վերանդա։bbq երկու տեսակի՝ ամերիկյան եվ ճապոնական։ առանձնատունը ապահոված է ջեռուցման եւ հովացման համակարգերով։ հնարավոր է դիտարկել երկարատեվ վարձակալություն. Первый этаж полностью. Он обеспечен горячей и холодной водой 24 часа, горячая вода также солнечной энергии. Во дворе колодец... Веранда. Барбекю двух видов: Американское BBQ, и японское. Частный дом оборудован отоплением и охлаждением, jakuzzi… budet svabodnim s 15 chislaTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17596939,,,
House,Stone,800 sq.m.,1,4,2,,,Euro Renovation,500 sq.m.,,,,,,Armavir › Armavir,"600,000 ֏ monthly",AMD,"Местонахождение 48 км от Еревана, удобное расположение от центра города, отопление, кондиционер, 2 санузла, мраморный камин, гараж, кухня с выходом во внутренний двор, шашлычная.",Nov-24-2022_22-59,,,https://list.am/en/item/18371767,,,
House,Stone,500 sq.m.,1,2,1,Available,Not available,Major Renovation,500 sq.m.,8+,Yes,Yes,Included,By Agreement,Armavir › Echmiadzin,"60,000 ֏ daily",AMD,"Swimming pool in Etchmiadzin* 1 bedroom* 1 bathroom* Fireplace* Outdoor pool with no time limit* pavilion* parking* Wi-Fi:For rent without accommodation - up to 40 people ""Spend your vacation in Etchmiadzin.For more information call:Check-in: Admission: 11:00Check-out: Departure: 23:00Code ArtemEjmTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17898325,,,
House,Stone,597 sq.m.,1,5,3+,Available,3 or more spots,Designer Renovation,383 sq.m.,8+,Yes,Yes,Included,By Agreement,Armavir › Echmiadzin,"35,000 ֏ daily",AMD,"AS080:K. A 5-room private house is for rent and daily rent in the Andranik district of Etchmiadzin. The house has recently been completely renovated and furnished in an interior design style, and has a spacious living room, kitchen, 3 and more bathrooms, 4 bedrooms. The house is located in a quiet, quiet part of the neighborhood and has a very beautiful and luxurious green garden with a swimming pool, a fireplace (mangal), a small corner of the toaster, and a separate bedroom with its own bathroom, kitchen. State-of-the-art security systems, remote controlled gates, cameras throughout and has parking for 6 cars. The mansion is very luxurious and beautiful to make your memorable days even more special. The cost is AMD 500,000 in case of monthly rent, and AMD 35,000 in case of daily rent.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16785366,,,
House,Stone,900 sq.m.,3,7,2,Available,3 or more spots,Euro Renovation,500 sq.m.,8+,Yes,No,Included,Without prepayment,Armavir › Echmiadzin,"160,000 ֏ daily",AMD,You can organize the ceremony at the bride's/groom's house in our large and luxurious mansion. You can design the house according to your wishes.Do you want to rent the house only for a few hours?Buffet in the first floor living room.Bridal preparation ceremony in the second floor lobby or one of the rooms.Harsaniq harsaniq:Hars pesa?You can call for other detailsTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/16762403,,,
House,Stone,150 sq.m.,1,2,1,Available,Not available,Major Renovation,80 sq.m.,3,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"AS082:K. A 2-room private house is for rent on Vazgen First Street in Etchmiadzin. The house is provided with all utilities, property and equipment. The cost is AMD 200,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18370705,,,
Country House,Stone,1100 sq.m.,1,1,1,,,Major Renovation,800 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"50,000 ֏ daily",AMD,"A house is for daily rent in Echmiatsin, 15 km from the center of Yerevan.The house has all the amenities• Large yard• Swimming pool• Mangal• 1 room• Bathroom• Bathroom• Open KitchenTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17921046,,,
Country House,Stone,130 sq.m.,1,4,2,Available,3 or more spots,Major Renovation,750 sq.m.,6,Yes,No,Not included,4 months,"Tsaturyan Street, Yerevan","$2,500 monthly",USD,"The house is for short-term RENT. Up to 5-6 months Or on a daily basis. At the beginning of PARAKAR, near the road with poplar trees) NOT SETTLED. Newly built. 3 bedrooms, 2 bathrooms. Barbecue, swimming pool in summer, parking and garage for 2 cars, taxi, internet wi fi. The whole houseIt is equipped with new high-quality furniture, new appliances, refrigerator, washing machine, air conditioners, air conditioning system, (stove, kettle, coffee maker, dishes, linens and other important household items) With a security system. Open view of the Airport and Mount Massis. For details and termsto get acquainted, write or call daily rent 100,000 AMD, (12 persons) the house is given with a mandatory deposit. Utilities are not included. Pets are not allowed inside the house, the house is given only to adults. To the center 5 kmTranslated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner, swimming pool, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",https://list.am/en/item/17509385,,,
Country House,Monolith,1500 sq.m.,1,5,3+,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"200,000 ֏ daily",AMD,"A villa for daily rent in Dilijan, Gosh village.* 5 bedrooms* 3 bathrooms* Living room with fireplace* Game room* Steam bath (sauna)* Outdoor swimming pool* Outdoor and heated jacuzzi* Pavilion (23-30 persons)* Mangal (barbecue bottle)* Campfire sectionCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 13-15 people with overnight accommodation, 25-30 without overnight accommodation.FRIDAY-SUNDAY price is different.Translated from Armenian",Nov-24-2022_22-59,"TElevision, internet, swimming pool, fireplace, barbecue oven, gazebo, alarm system","FRidge, microwave, coffee maker, washing machine, water heater, iron, hair dryer",https://list.am/en/item/18079004,,,
Country House,Monolith,1500 sq.m.,2,5,3+,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"120,000 ֏ daily",AMD,"LUXERY Eco Garden House invites you to hold your birthday, bachelorette party, wedding or other events with us.*We have 3000 sq. A fenced container, which we can provide under other conditions for large events and shootings.The house was completely built in 2020.* The distance from Yerevan is 25 km.* There are 2 separate houses in the yard, each with 2 separate bedrooms.* swimming pool* booth (up to 50 people)* 4 bedrooms (2 with their own bathroom)* 4 bathrooms* Luxurious night lighting* Tableware (identical, high quality)* Mangal, (barbecue bottle)* Parking for up to 10 carsThe price is different on Friday, Saturday and Sunday.The house is provided both with and without overnight accommodation.Check in (entrance) - manualCheck out - contractualCode ArmavirTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18008293,,,
Country House,Monolith,2000 sq.m.,2,1,1,,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"80,000 ֏ daily",AMD,"Armavir ECO GARDEN HOUSE invites you to hold your birthday, wedding, wedding or other events with us.We have 3000 square meters! An area that can be provided for other big events (up to 300 people)ATTENTION!In the yard of our house is St. George Church, which is consecrated by the priest of the Mother See of Holy Etchmiadzin. Built in 2020.ATTENTION! We have no restrictions on music, loud voice.Distance from Yerevan 25 km.* Swimming pool on 8x5 (filtered)* Luxurious night lighting* Pavilion (designed for 32 people)* Tableware (same, high quality)* Barbecue, tonir, possibility of making khashlama with wood (barbecue bottle)* Powerful speakers (bluetooth, aux)* 1 rest roomThe price is different on Fridays, Saturdays and Sundays.The house is provided without accommodation.Check in (entrance) - 10:00Check out - 10:30Code EcoVillaTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17935083,,,
Country House,Monolith,1500 sq.m.,1,1,1,,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"90,000 ֏ daily",AMD,"Ejmiacin ECO GARDEN HOUSE invites you to hold your birthday, bachelorette party, wedding or other events with us.We have 3000 square meters. A ticket that we can provide under other conditions for large events (up to 300 people)ATTENTION!In the yard of our own house is St. George Church, which is consecrated by the priest of the Mother See of St. Etchmiadzin. Built in 2020.ATTENTION! We have no music, loud volume restrictions.The distance from Yerevan is 25 km.* Swimming pool 8x5 (filterable)* Luxurious night lighting* Booth (intended for 32 people)* Tableware (identical, high quality)* Grill, toaster, the possibility of making khashlama with wood (barbecue bottle)* Super powerful speakers (bluetooth, aux)* 1 recreation roomThe price is different on Friday, Saturday and Sunday.The house is provided without overnight accommodation.Check in (entrance) – 10:00Check out - 10:30Code EcoGardeTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18015779,,,
Country House,Monolith,1000 sq.m.,2,5,3+,Available,2 spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"120,000 ֏ daily",AMD,"LUXERY Eco Garden House invites you to hold your birthday, bachelorette party, wedding or other events with us.*We have 3000 sq. A fenced container, which we can provide under other conditions for large events and shootings.The house was completely built in 2020.* The distance from Yerevan is 25 km.* There are 2 separate houses in the yard, each with 2 separate bedrooms.* 4 bedrooms (2 with their own bathroom)* 4 bathrooms* Luxurious night lighting* Tableware (identical, high quality)* Mangal, (barbecue bottle)* Parking for up to 10 carsThe price is different on Friday, Saturday and Sunday.The house is provided both with and without overnight accommodation.Check in (entrance) - manualCheck out - contractualDachaWeddingPrivate houseVillaDaily wageHouseWith a swimming poolCode ArmavirTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18024950,,,
Country House,Monolith,1000 sq.m.,2,6,2,Available,3 or more spots,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,"Spend your unforgettable day in this luxurious luxury mansion, located in the Center of Tsaghkadzor.* 5 bedrooms (TV in all bedrooms)* 2 bathrooms (on the 1st and 2nd floors* Mangal (barbecue bottle)* Dishes, bedding* Billiards* Outdoor pavilion (which can accommodate up to 12 people)* WI-FI + TV Ucom* Parking for 6 cars in the yardThe house can accommodate up to 15 people with overnight accommodation, without overnight accommodation - 20 people.The price is different from Friday to Sunday.Enjoy your vacation in the beautiful Tsaghkadzor.Call in advance to reserve.Check-in: From entry 14:00Check-out: Until exit 12:00Daily wageprivate houseTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17877915,,,
Country House,Monolith,3000 sq.m.,3,5,3+,Available,3 or more spots,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,"A three-story private house is for daily rent in Dilijan, Taghta district.* 4 bedrooms* 3 bathrooms* large living room with table and chairs for up to 12 people* fireplace (in a separate room)* outdoor lounge (table and chair for up to 4 people)* laundry room* dishes* bedding* mangal (barbecue bottle)* Booth for up to 20 people* Internet wi-fi* dishwasher* SMart TV TVThe house can accommodate up to 15 people overnight.Check in (entrance) – 14:00Check out - 12:00Translated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner, swimming pool, sauna, fireplace, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",https://list.am/en/item/17877865,,,
House,Stone,280 sq.m.,2,5,1,,,Designer Renovation,1200 sq.m.,4,Yes,Yes,Not included,1 month,Armavir › Doghs,"210,000 ֏ monthly",AMD,"Сдаётся в аренду домДом находится 27км от ЕреванаЕсть газ, центральное отопление.Дом находится в хорошем состоянии.Есть место для паркингаПо остальным вопросом звоните или пишите в whats app",Nov-24-2022_22-59,,,https://list.am/en/item/17492857,,,
House,Stone,800 sq.m.,2,3,1,Not available,Not available,Euro Renovation,300 sq.m.,4,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"60,000 ֏ daily",AMD,"AS078:Own house for rent with all utilities. We also have other options, please call. The house is rented together with the equipment of the property. There is 24/7 hot and cold water. The house is a very sunny and warm house. The house is also rented monthly. It has 3 bedrooms, 1 large living room, kitchen, 2 bathrooms, and a very beautiful green garden. The house has a swimming pool and a chat room, a barbecue and a very nice waterfall. This option is also suitable for daily rent as well as for weddings and other ceremonies.We also provide the house for a long term, the price is AMD 700,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/15334849,,,
House,Stone,100 sq.m.,2,2,1,,,Cosmetic Renovation,1200 sq.m.,3,Yes,No,Not included,1 month,"Erevanyan street, Armavir","100,000 ֏ monthly",AMD,"Срочно сдается дача с большим участком. В доме есть пять кроватей, и один диван, холодильник, телевизор, стол стулья. Душевая, туалет. Обогрев электричеством, есть печь дровяная. Во дворе мангал. Кухня со всеми принадлежностями. Чистота идеальная. Свежий воздух. Сдается на любой срок. Без посредников илиС односторонней сделкой. Есть гараж.",Nov-24-2022_22-59,,,https://list.am/en/item/18369006,,,
House,Stone,230 sq.m.,3,6,3+,,,Major Renovation,680 sq.m.,8+,Yes,Yes,Not included,1 month,"Narekatsi block, Yerevan","$2,500 monthly",USD,"Private house for rent in Parakar, has a swimming pool, 5 bedrooms, 3 bathroomsThe house is fully renovated, has a well-maintained yard, closed parking lotCode 08838Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/15409932,,,
House,Stone,800 sq.m.,1,1,1,,,Designer Renovation,600 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Echmiadzin,"90,000 ֏ daily",AMD,"Սիրելի հաճախորդներ Ձեզ ենք ներկայացնում ամառանոցը, որը նախատեսված է լավագույն հանգստի և միջոցառումների համար։Հանգստի սենյակԼողավազանՍանհանգույցՏրամադրում ենք նաև սպասք նախատեսված 30-40 անձի համար։Ժամերը 11։00֊23։00.Նախատեսված է միայն ընտանեկան հավաքույթների համար.60 հոգի կարող է հյուրընկալել.Արժեքը կախված է անձերից.Հ. Գ. Խնդրում ենք զանգահարել 11:00-20:00Կոդ 8120",Nov-24-2022_22-59,,,https://list.am/en/item/16477592,,,
House,Stone,192 sq.m.,2,3,1,,,Cosmetic Renovation,800 sq.m.,5,Yes,No,Not included,1 month,Armavir › Parakar,"250,000 ֏ monthly",AMD,"Code-BB1142Private house for rentArmavir marz, Parakar• 800/192 square meters area• 3 rooms2-storey/stone/• 1st floor basement• 2nd floor: Residential_•renovated/•furnished• euro windows•Heating System• the bathroom is tiledTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18265025,,,
Country House,Monolith,1000 sq.m.,3,5,3+,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,"A three-story private house is for daily rent in Dilijan, Taghta district.* 4 bedrooms* 3 bathrooms* large living room with table and chairs for up to 12 people* fireplace (in a separate room)* outdoor lounge (table and chair for up to 4 people)* laundry room* dishes* bedding* mangal (barbecue bottle)* Booth for up to 20 people* Internet wi-fi* dishwasher* SMart TV TVThe house can accommodate up to 15 people overnight.Check in (entrance) – 14:00Check out - 12:00Translated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner, swimming pool, sauna, fireplace, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",https://list.am/en/item/17675035,,,
Country House,Monolith,1500 sq.m.,1,1,2,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"90,000 ֏ daily",AMD,"Ejmiacin ECO GARDEN HOUSE invites you to hold your birthday, bachelorette party, wedding or other events with us.We have 3000 square meters. A ticket that we can provide under other conditions for large events (up to 300 people)ATTENTION!In the yard of our own house is St. George Church, which is consecrated by the priest of the Mother See of St. Etchmiadzin. Built in 2020.ATTENTION! We have no music, loud volume restrictions.The distance from Yerevan is 25 km.* Swimming pool 8x5 (filterable)* Luxurious night lighting* Booth (intended for 32 people)* Tableware (identical, high quality)* Grill, toaster, the possibility of making khashlama with wood (barbecue bottle)* Super powerful speakers (bluetooth, aux)* 1 recreation roomThe price is different on Friday, Saturday and Sunday.The house is provided without overnight accommodation.Check in (entrance) – 10:00Check out - 10:30Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18079005,,,
Country House,Monolith,2000 sq.m.,1,1,2,Available,3 or more spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"90,000 ֏ daily",AMD,"Ejmiacin ECO GARDEN HOUSE invites you to hold your birthday, baptism, wedding or other events with us.We have 3000 square meters! An area that can be provided for other big events (up to 300 people)ATTENTION!In the yard of our house is St. George Church, which is consecrated by the priest of the Mother See of Holy Etchmiadzin. Built in 2020.ATTENTION! We have no restrictions on music, loud voice.Distance from Yerevan 25 km.* Swimming pool on 8x5 (filtered)* Luxurious night lighting* Pavilion (designed for 32 people)* Tableware (same, high quality)* Barbecue, tonir, possibility of making khashlama with wood (barbecue bottle)* Powerful speakers (bluetooth, aux)* 1 rest roomThe price is different on Fridays, Saturdays and Sundays.The house is provided without accommodation.Check in (entrance) - 10:00Check out - 10:30Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17885076,,,
