Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links,Construction Type
Retail Space,80 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"400,000 ֏",AMD,"CODE 8610:Commercial area is for rent on Kristapor street. The area is renovated, there is three-phase electricity, gas, permanent water. Suitable for all kinds of shoppingFor activities:Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/15534042,
Multifunctional Space,400 sq.m.,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Ajapnyak,"$2,300",USD,"Commercial space for rent on Leningradyan street. The area is completely renovated, suitable for programming office, supermarket, gym and other activities.Code 9384Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18194310,
Office Space,100 sq.m.,,,,,,,,,Yerevan › Kentron,"620,000 ֏",AMD,"Office space is for rent on Charents street. The area is renovated, heating and cooling system, security system, internet are installed. Suitable for various activities.Code 9080Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17683382,
Office Space,90 sq.m.,,,,,,,,,Yerevan › Kentron,"$1,200",USD,"Office space is for rent on Pushkin street. The area is renovated, has individual heating. Suitable for various office activities.Code 9236Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17870267,
Multifunctional Space,57 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$1,000",USD,"CODE 8183:Commercial area is for rent on Vardanants street. The area is renovated, suitable for various commercial activities.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/14748959,
Multifunctional Space,130 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$3,300",USD,"Commercial area is for rent on Tigran Mets Avenue, 1st line. There are large stained glass windows. Suitable for office and commercial activities.Code 9202Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17834559,
Office Space,64 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,1 year,2 months,Not included,Yerevan › Arabkir,"300,000 ֏",AMD,Commercial area is for rent on Papazyan street. The area is renovated. Suitable for various office activitiesCode 9088Translated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/17691031,
Multifunctional Space,90 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"1,000,000 ֏",AMD,"Commercial area is for rent on Mashtots street. The area is capitally renovated, has a large stained glass entrance, is suitable for various activities.Code 8804Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17310107,
Office Space,45 sq.m.,Not available,Available,First Line,Common from the Street,Direct Lease,6 months,2 months,Not included,Yerevan › Kentron,"450,000 ֏",AMD,"Office space is for rent on Sayat Nova avenue, on the 2nd floor of a new monolith building. The area is renovated, it is rented empty.Code 9131Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17749490,
Office Space,100 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"480,000 ֏",AMD,"Office space for rent on Koryun Street, 1st line. The area is renovated, suitable for any office activity.Code 9606Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18251818,
Agricultural Space,75 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Arabkir,"400,000 ֏",AMD,"Commercial space for rent on Kievyan street, 1st line. The area is fully renovated, suitable for various activities.Code 9466Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18100607,
Multifunctional Space,450 sq.m.,,,,,,,,,"Qeri street, Yerevan","$3,500",USD,"A private house is for rent as a commercial area. It has its own parking lot, a spacious yard, where cars can park, a fireplace, a place of rest, each floor has its own open balcony. All the communal facilities are available.Code 016816Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17333094,
Office Space,90 sq.m.,,,,,,,,,"Northern Avenue, Yerevan","$1,500",USD,A 3-room office space is for rent on the 4th floor of a newly built building on Northern AvenueIt has 2 bathroomsTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/18036155,
Office Space,190 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"800,000 ֏",AMD,"Suitable for any commercial, Office activitiesTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/14962962,
Office Space,60 sq.m.,,,,,,,,,"Aram Street, Yerevan","330,000 ֏",AMD,"Arami street, 2 rooms for rent, office space, next to Malibu ParkOn the 1st floor of a 5-storey buildingTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/15083070,
Office Space,400 sq.m.,By agreement,Available,First Line,Separate from the Street,Direct Lease,1 year,2 months,By Agreement,Yerevan › Nor Nork,"$3,000",USD,"3-storey newly built separate building, on the 2nd and 3rd floors of the buildingIf desired, the area can be partially rented4-5 Bathrooms, individual elevatorThere is a car park near the buildingTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/14089268,
Office Space,115 sq.m.,By agreement,Not available,First Line,Common from the Courtyard,Direct Lease,1 year,2 months,Not included,"Amiryan Street, Yerevan","700,000 ֏",AMD,"Commercial office space for rentThe area is completely renovated, has a cash system, is brightIt has a hall, 3 rooms, kitchen and kitchen furnitureSuitable for any office activityIt has an entrance from the street and from the side of the yard, high first floor, there is also furniture in the area.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18010426,
Office Space,65 sq.m.,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Rubiniants street lane, Yerevan","400,000 ֏",AMD,Office space for rentNewly renovatedFor more information call:Translated from Armenian,Nov-24-2022_22-05,OUtdoor parking,https://list.am/en/item/17582608,
Retail Space,200 sq.m.,,,,,,,,,"Bagratunyats Ave, Yerevan","700,000 ֏",AMD,200 square meters of space for rent on Bagratunyants Street. Call for detailsTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/18032984,
Office Space,150 sq.m.,By agreement,Available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Amiryan Street, Yerevan","$3,700",USD,"Commercial space for rent: Office space on Amiryan street, in a newly constructed buildingCan be used for Office and other preferred activitiesThe space is renovated in a new design styleTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17197765,
Multifunctional Space,275 sq.m.,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Marshal Baghramyan avenue, Yerevan","$3,950",USD,"Barekamutyan metro, Baxramyan poxota SAS s/m harevan, 2-rd gic, 3 hargani arandzin shinutyun, parking",Nov-24-2022_22-05,,https://list.am/en/item/14273063,
Office Space,90 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$1,600",USD,Office space for rentTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/13942206,
Office Space,60 sq.m.,By agreement,Available,Second Line,Common from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Arabkir,"400,000 ֏",AMD,Office space for rent in a newly built building on Zaryan Street in NairiYou can call for detailsThe area is suitable for office activitiesTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/14023993,
Office Space,48 sq.m.,Available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"480,000 ֏",AMD,Office space for rentOn the 1st floor of a newly constructed 11-story monolithic buildingTranslated from Armenian,Nov-24-2022_22-05,OUtdoor parking,https://list.am/en/item/15083126,
Multifunctional Space,250 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$4,500",USD,250 M2 COMMERCIAL SPACE FOR RENT ON THE 1ST FLOOR IN THE CENTER OF YEREVANFully glazed facade with heat-reflective inner glass with three-layer glazing2 main bedrooms and 3 bathroomsTranslated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/16737258,
Restaurant,160 sq.m.,Not available,Available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Kentron,"$3,000",USD,"Universal space for rent, 1 line, 20m facade, with outdoor seating, suitable for restaurant, cafe, clinic, shop, hairdresser, 100 sq/m hallPartially starting from 50 sq/m to 60 sq/m is also possibleTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/15519428,
Multifunctional Space,222 sq.m.,,,,,,,,,"Nalbandyan street, Yerevan","1,200,000 ֏",AMD,"Community: CenterNalbandyan streetCommercial area is for rent on Nalbandyan streetLocated on the first floor of the buildingSemi-basement section: 100 sq. M.1st floor: 122 sq. M.There are 8 rooms in the total area2 bathroomsIndividual heating system / BAXI /The floor is tiledSuitable for a variety of activitiesIt is located in a busy area, all communication facilities are nearbyCode A0404Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17753001,
Office Space,15 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,"Արամ Խաչատրյան փողոց 9/1, Երևան","90,000 ֏",AMD,"Gulbenkyan 44/8 Aram Khachatryan streetfirst line, on the streetcompletely newly renovatedsuitable for Real Estate, Tourist Agencyshop also barber shop or other purposesfor usehas balustrades, large stained glass windowelectricity, internet, hot and cold waterI do not work with agentsTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17303860,
Office Space,100 sq.m.,,,,,,,,,Yerevan › Kentron,"800,000 ֏",AMD,"Two-story building, has 2 bathrooms, 2 balconies, suitable for any office space, hotel roomTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18302124,
Office Space,190 sq.m.,By agreement,Not available,Second Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Arshakuniats Avenue, Yerevan","1,500,000 ֏",AMD,"For rent Unique office space 190 sq/mA unique renovated office space for rent, with a unique 4-meter ceiling, with a total area of 190 sq/m, in the center, on the first floor of the press building, with a separate entrance. Interesting architectural solutions were given to the area, and the renovation works were completed in 2017. The building consists of 4 rooms (open space office area) It has a large working area and 3 separate rooms, 2 bathrooms, kitchen. In the building area there is constant water, electricity, heating system, ventilation system, several air conditioners, Yucom system, fire protection system, etc. Public parking is available directly in front of the building. The long-term rental price is AMD 1,500,000/month. Price is not negotiable at all. Believe me, this is a unique office space in all of Armenia.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18138872,
Office Space,20 sq.m.,Available,Not available,Second Line,Common from the Courtyard,Sublease,4 months,1 month,Included,"Mesrop Mashtots Avenue 33, Yerevan","40,000 ֏",AMD,For rent in a small center in the office space.Translated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/14068290,
Everything Else,20 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,By Agreement,"Zoravar Andranik street, Yerevan","200,000 ֏",AMD,The space is provided only for fast food. Do not call with other questions. There are 19 polyclinics nearby. The starting point of the first route.Translated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/18375728,
Office Space,700 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Zakaria Sarkavag street, Yerevan","999,000 ֏",AMD,"Կոդ՝ D-22891Վարձով է տրվում 170քմ կոմերցիոն տարածք Քանաքեռում։ Հողատարածքը 700քմ է։ Տարածքը կապիտալ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սանհանգույցը՝ համակցված, նորաոճ սալիկապատ։ Տարածքն ունի ջեռուցման համակարգ, մշտական ջուր և գազ։ Սակարկելի։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։170sq. M commercial area for rent in Qanaqer. The plot is 700sq. M. The area is newly renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate, the bathroom is combined and modern tiled. The area has heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_22-05,,https://list.am/en/item/18226563,
Industrial and Manufacturing,150 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Direct Lease,6 months,2 months,Not included,Yerevan › Ajapnyak,"180,000 ֏",AMD,"Code: D-22946150 square meters of industrial space is for rent in the center of the Kasakh community of Ajapnyak, on the first floor of a newly built 3-story private house. It has three-phase current. Natural lighting. It is suitable for any type of workshop: Sewing factory, warehouse, etc. City transport passes by the area.The commission of the agency is 50%, for the exhibitions a contract of exhibition is signed. Please have an identity document with you.The commission of the Real Estate Agency is 50%. A contract is signed for showing the real estate. Please have passport, ID or driving license with you.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18257486,
Multifunctional Space,230 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,6 months,2 months,Not included,Yerevan › Kanaker-Zeytun,"170,000 ֏",AMD,"Code: D-22167In Kanaker, on Sarkavag Street, first line, a 1-storey commercial area with 230 square meters of land, 100 square meters of living space is for rent, it is suitable for storage, for any type of activity.The agency commission is 50%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17735393,
Office Space,36 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,4 months,1 month,Not included,"Alek Manoukyan street, Yerevan",$500,USD,"KOD-In the center, on Alek Manukyan Street, a commercial space is for rent;^ Suitable for the office^ There are all necessary shops nearbyTranslated from Armenian",Nov-24-2022_22-05,OUtdoor parking,https://list.am/en/item/16407744,
Everything Else,10 sq.m.,,,,,,,,,"Zoravar Andranik street, Yerevan","20,000 ֏",AMD,"A shoemaker's booth is for rent in Bangladesh B3 district, in front of 107 building. There are some work items in the kiosk.There are residential buildings in the area of the kiosk. If you have any questions, you can call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17645253,
Functioning Business,12 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,5 years,By Agreement,By Agreement,"Lepsius street, Yerevan","35,000 ֏",AMD,"A 12_ square meter vegetable business is for rent, there are residences, buildings, hotels, private houses in the area.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18375707,
Retail Space,75 sq.m.,,,,,,,,,"Malatia street, Yerevan","300,000 ֏",AMD,"Grocery store for rent (more than 30 years) With all its amenities. The store has 18 different refrigerators, 2 air conditioners. There is an easy payment device. Security system is installed. In a mobile place.The store is located in Araratyan block - Malatia section.Suitable for other activities (space, office, service, etc.)Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17250108,
Industrial and Manufacturing,70 sq.m.,,,,,,,,,"4th Street, Mushavan","150,000 ֏",AMD,"Commercial space for urgent rent /Ready-made bakery with all its equipment, ovens /Erebuni, on the 4th Mushakan Street, next to the Erebuni Museum1 floor, 70 square meters / 1st lineThere is three-phase electricity, a bathroomTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18137956,
Office Space,360 sq.m.,Not available,Available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,"Armenak Armenakyan Street 125, Yerevan","1,150,000 ֏",AMD,"Վարձով են տրվում տարբեր քառակուսիների տարածքներ Մարաշում, առաջին գիծ, հենց փողոցի վրա, վերանորոգված, Սուրբ Մարիամ բժշկական կենտրոնի հարևանությամբ։ Շատ մոտ է կենտրոնին։ Շատ հարմար է գրասենյակային տարածքի, IT ոլորտի և այլ գործունեության համար։ Ունի պարկինգ։ Կա 180 քմ եւ 360 քմ նույն տարածքից։ Սեփականատեր:Համարը չպատասխանելու դեպքում կարող եք զանգել Viber whatsupС сентября сдаются в аренду офисные помещения разных размеров или складное помещение, на главной улице А. Арменакян, от центра города 5 минут, парковочное место, с видом на город. Специально построено для IT компании, Владелец. Есть еще и 180 квм. Аренда офиса, вайбер, вотсапOfises for rent, ideal for IT companiesՍեփականատեր аренда, офис, офисное помещение, центр, мараш, собственник, ofis for rent, territory, center, owner call center, track center, территория для офиса, IT ofis. We have 180 qm territory as well",Nov-24-2022_22-05,OUtdoor parking,https://list.am/en/item/18361558,
Office Space,135 sq.m.,,,,,,,,,"Yekmalyan street 1, Yerevan","1,200,000 ֏",AMD,"Office space is for rent. On the 1st floor of a new building, with a separate entrance. It is renovated. Central heating system - air conditionerTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17693476,
Office Space,50 sq.m.,Available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Tigran Mets avenue 3rd lane, Yerevan","300,000 ֏",AMD,"Public use area for rent, semi-basementFor details, call the number below: AramIt is located next to Tashir shopping center.There is office furniture, utilities...Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/9383624,
Building,50 sq.m.,Available,Not available,Second Line,Common from the Courtyard,Direct Lease,1 month,By Agreement,Included,"Arno Babajanian street, Yerevan","15,000 ֏",AMD,"Apartment for rent in HAT B 2 district, furnished with daily rent, 15,000 AMD per day. 200,000 AMD per month is also possible.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/15165255,
Functioning Business,25 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,Direct Lease,1 year,1 month,Not included,"Baghyan street 1, Yerevan","150,000 ֏",AMD,"Парикмахерская работает 20 лет, имеет своих клиентов",Nov-24-2022_22-05,,https://list.am/en/item/17646162,
Warehouse,50 sq.m.,,,,,,,,,Yerevan › Shengavit,"60,000 ֏",AMD,There is light. Can be used as storage. Located in Verin Charbakh. It is a dry area. There is no moisture at all.Translated from Armenian,Nov-24-2022_22-05,,https://list.am/en/item/16860091,
Warehouse,100 sq.m.,,,,,,,,,Yerevan › Shengavit,"80,000 ֏",AMD,"It is a very bright area. It is dry, there is no moisture. It is a basement area. Suitable for storageTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/17019672,
Office Space,300 sq.m.,,,,,,,,,Yerevan › Arabkir,"$3,800",USD,"Area for rent near Kievyan street, Orbeli, entrance from the yard, 3-storey, separate entrance, yard, capitally renovated, 3 bathrooms, kitchen, open balcony, beautiful view to Hrazdan gorge, air conditioner, heating system, furniture.Code 13787842Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/13787842,
Office Space,130 sq.m.,,,,,,,,,Yerevan › Kentron,"$3,500",USD,"Commercial or office space for rent on Tigran Mets Avenue, entrance from the street, stained glass, will be handed over for renovation.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/14029129,
Everything Else,37 sq.m.,,,,,,,,,"Malatia street 12, Yerevan","180,000 ֏",AMD,"2 areas each 37. Karakous is possible. 2 together. Provide 2 together 350,000 AMD per monthTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18376068,
Multifunctional Space,48 sq.m.,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,By Agreement,Included,"Դավթաշեն 1-ին թաղամաս 8/2, Երևան","250,000 ֏",AMD,A space for rent in a convenient location with all amenities!Near schoolsOn the street_ObjectOffice for rentfor rentTranslated from Armenian,Nov-24-2022_22-05,OUtdoor parking,https://list.am/en/item/16629074,
Functioning Business,42 sq.m.,,,,,,,,,"Մխիթար Հերացու փողոց 4, Երևան","9,500,000 ֏",AMD,"Urgent sale of an existing business, newly renovated, all the necessary tools, equipment, dishes, in short, everything is there to work. It was opened at the beginning of July, it works as a fast food restaurant, a shawarma restaurant. It works as an LLC, which has bank accounts, online and all electronic payment systems, in short, you only need to work. Attention, the space is leased with a certificate, a 3-year lease. The business and the LLC are for sale. For other details, call the indicated number. Attention, the property inside is also sold separately.Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18347945,
Office Space,200 sq.m.,Available,Available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Not included,"Hakob Hakobyan Street, Yerevan","$3,500",USD,"Space is given by compatibility. It is renovated, has an individual heating system (BAXI) and air conditioning.Code AV0457Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18133927,
Retail Space,40 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,3 months,By Agreement,By Agreement,"Ծովակալ Իսակովի պողոտա 27, Երևան","200,000 ֏",AMD,"An area of 40 square meters is for rent at Admiral Isakov, suitable for use as a food point, office or other purpose. For more information callTranslated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/16652165,
Office Space,190 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,"Teryan street, Yerevan","$3,500",USD,"Located on the 4th floor of a 4-story building. It is renovated, has air conditioning.Code AV0193Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/18193586,
Office Space,105 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,Not included,"Amiryan Street, Yerevan","$2,500",USD,"A space in the center of Yerevan is for rent.Has 3 rooms and 2 bathrooms.The kitchen is equipped. It has hot/cold water, heating system and air conditioner.Code DP-303Translated from Armenian",Nov-24-2022_22-05,,https://list.am/en/item/15334078,
