Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Window Views,Address,Price,Currency,Description,Datetime,Type,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Links,Amenities
Stone,No,Not available,4,,,28 sq.m.,2,1,from 3 m,2.0,Open balcony,Not available,Partial Renovation,,"Erevanyan street, Ijevan","7,000,000 ֏",AMD,"1 (2) room apartment is for sale near the 4th school, it has the opportunity to add it in frontTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17887544,
Panels,No,Available,9,,,79 sq.m.,3,1,from 2.6 m,4.0,Closed balcony,Not available,Cosmetic Renovation,STreet view,Tavush › Ijevan,"$35,000",USD,"The apartment is renovated, the entrance door is iron. Is in normal condition.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17918624,
Stone,No,Not available,5,,,64 sq.m.,3,1,from 2.75 m,1.0,Open balcony,By agreement,Major Renovation,,"Գայի փողոց 33, Դիլիջան","$46,500",USD,"3-room apartment for sale in DilijanThe apartment is located on the first floor of a 5-story stone buildingThe apartment is completely newly renovated, uninhabitedIt has an individual heating box systemThe entrance door is iron, the entrance is separate, the windows are of European manufacturePrice negotiable, call for detailsTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18201790,
Stone,,,2,,,,8+,3+,,,,Available,Euro Renovation,,Tavush › Dilijan,"25,000 ֏ monthly",AMD,The newly opened hotel invites you to relax in the paradise of Dilijan. A partial home is located in Dilizane.Translated from Armenian,Nov-25-2022_14-07,House,Not available,4.0,Yes,No,Included,By Agreement,,https://list.am/en/item/13291629,
Stone,Yes,Available,9,,,69 sq.m.,2,1,from 2.75 m,6.0,Multiple balconies,By agreement,Euro Renovation,,"Ankakhutyan Street, Ijevan","$55,000",USD,"The apartment is located in the center of Ijjan, in a newly built 9 building, it is for sale together with the whole property. Call for details, it is for sale without an intermediary.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17217399,
Stone,No,Not available,2,,,140 sq.m.,5,2,from 2.8 m,2.0,Open balcony,,Partial Renovation,,Tavush › Dilijan,"$62,000",USD,"Land for sale together, located in Dilijan street, in Shamayuyan, very quiet district, the house is heated by bax systemTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16478224,
Stone,No,Not available,3,,,36 sq.m.,2,1,from 2.7 m,2.0,Open balcony,Not available,Major Renovation,,"Улица Шаумяна 10, Дилижан","$36,000",USD,1 (2) room apartment for sale in Yeghevni districtTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18323381,
Stone,Yes,Not available,3,,,95 sq.m.,3,1,from 2.5 m,3.0,Open balcony,,Cosmetic Renovation,,Tavush › Dilijan,"$26,000",USD,A bright apartment is for sale in Molovakan districtTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16970196,
Stone,No,Not available,3,,,40 sq.m.,1,1,from 3 m,3.0,Open balcony,,Euro Renovation,,"Մաշտոցի փողոց 25, Բերդ","$25,000",USD,"1-room apartment on Mashtots street, 40 sq. M. , high ceilings, euro renovated, stone building25 Mashtots Street, BerdOne-room apartment, renovated in Europe, in the city center, sunny, constant hot and cold water, gas, in excellent condition. There is no package. Real buyers should call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18040238,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.8 m,1.0,Multiple balconies,By agreement,Old Renovation,,Tavush › Ijevan,"$36,000",USD,"The apartment is located on the first floor of 77 Blbulyan street, has a basement, a two-storey garage in front of the balcony. It is located next to a bus stop and a kindergarten.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17320721,
Stone,No,Not available,4,,,31 sq.m.,2,1,from 2.5 m,3.0,Open balcony,Available,Major Renovation,,"Getapnya street, Dilijan station","$34,000",USD,"Shahumyan 22/9, Yeghevnire street, exchange for 1 room in Yerevan (PLEASE NO CALL, SINGLE PEOPLE) house is newly renovated with new property. I CAN SELL IN 3 MONTHS (DecEND)Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17905704,
Panels,Yes,Available,9,,,68 sq.m.,3,1,from 2.5 m,7.0,Not available,,Major Renovation,,Tavush › Ijevan,"$39,000",USD,The house is located in the 9th building of the Metalworkers. The property is for sale with the house.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17805835,
Stone,No,Not available,5,,GArage,77 sq.m.,3,1,from 2.8 m,3.0,Open balcony,Available,Old Renovation,,"Երիտասարդական փողոց, Իջևան","$44,500",USD,"The apartment is located above the 5th school, youth 5/54, above it is the building of Arach,No one has lived in the house since 2000, the house is renovated, old but suitable for living, only the bathroom ունեն the bathroom urgently needs to be renovated, the rest is at the buyer's discretion, the garage is for sale with the apartmentTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17799298,
Stone,No,Not available,4,,,95 sq.m.,3,1,from 2.7 m,1.0,Closed balcony,Available,Partial Renovation,,Tavush › Dilijan,"$36,000",USD,A 3-room apartment is for sale on Gai Street. It is also exchanged for an apartment in Yerevan. It is sold together with kitchen furniture.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/15877199,
Panels,Yes,Available,9,,,63 sq.m.,3,1,from 2.7 m,8.0,Closed balcony,By agreement,Old Renovation,,"Tavrizyan street, Իջևան","1,500,000 ₽",RUB,"The house is an old repair, there are some additions, in case of questions you can call the listed thousands... For questions and to buy, you can also call the vibers of the numbers listed below.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18113068,
Stone,No,Not available,1,,,90 sq.m.,3,3+,from 3 m,1.0,Open balcony,Available,Major Renovation,,Tavush › Ijevan,"$55,000",USD,Ground floor garage with orchard very convenient home like your ownTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18316237,
Stone,No,Not available,5,,,44 sq.m.,1,1,from 2.7 m,2.0,Closed balcony,Not available,Old Renovation,,"Movses Khorenaci, Բերդ","$15,000",USD,"1 room + sign for sale, Needs renovation, the rest by phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17946210,
Stone,No,Not available,5,,,115 sq.m.,4,1,from 2.7 m,1.0,Multiple balconies,,Major Renovation,,Tavush › Azatamut,"$41,000",USD,Բնակարանը վաճառվում է տան գույքի հետ,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18363714,
Stone,No,Not available,3,,,68 sq.m.,2,1,from 3 m,3.0,Open balcony,Not available,Major Renovation,,"Ստեփան Շահումյանի փողոց 4, Դիլիջան","$45,000",USD,"FOR URGENT SALE. K. Dilijan, Shahumyan str. 4th building. Aquifers. On the 3rd floor of a 3-story stone building. Sunny, dry, beautiful, bright apartment with all amenities. School and kindergarten, shops are a few steps away, city transport stop 50 meters away.The price is negotiable within reason. Only potential buyers can call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17030848,
Stone,No,Not available,4,,,50 sq.m.,2,1,from 2.7 m,4.0,Closed balcony,,Euro Renovation,,"Ankakhutyan Street, Ijevan","$40,000",USD,"The apartment is fully repaired, the furniture is new, the doors are wooden, it has a water tank, the walls are insulated, the roof is tin.For sale with furniture.It is possible without furniture.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16267599,
Stone,Yes,Not available,3,,,100 sq.m.,3,2,from 2.7 m,1.0,Open balcony,,Partial Renovation,,"Kamo Street, Dilijan station","3,000 ֏",AMD,"Private two-storey stone house is for rent in the beginning of Dilijan city. The house has 2 bright bedrooms, an entrance hall, a balcony, a spacious yard and a parking lot. The house is located near the forest, in the lap of nature. The price is 3000 AMD per person.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/7440511,
Stone,Yes,Not available,5,,,65 sq.m.,3,1,from 2.75 m,1.0,Not available,,Designer Renovation,,Tavush › Ijevan,"$35,000",USD,Тёплый пол баксы,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/13073182,
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.5 m,1.0,Closed balcony,,No Renovation,,"Getapnya street, Dilijan station","$30,000",USD,"The apartment is located in Kalini, 3 rooms, 5 floors, 5 floors, bright light stone building, river bank.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17167545,
Stone,No,Available,9,,,50 sq.m.,3,1,from 2.6 m,7.0,Open balcony,,Major Renovation,,"Usanogakan street, Dilijan station","$26,000",USD,"The apartment is located on Eghevniri street, 3 rooms, 4 floorsTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17170680,
Stone,No,Not available,5,,,85 sq.m.,3,1,from 2.5 m,1.0,Closed balcony,,Old Renovation,,Tavush › Dilijan,"$26,000",USD,"Apartment for sale on Moldovan street, negotiable price, 3 roomsTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17163741,
Panels,No,Not available,5,,,50 sq.m.,3,1,from 2.5 m,4.0,Open balcony,Not available,Partial Renovation,,"Մեսրոպ Մաշտոցի փողոց 22, Բերդ","$22,000",USD,"1 room converted into 3 rooms, windows are euro, front door is euro, partially renovated. The house is located in the building in front of the electricity network. Exchange with business premises. Call real buyers.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17898599,
Monolith,Yes,Available,5,,,92 sq.m.,3,1,from 2.8 m,2.0,Open balcony,,Major Renovation,,"26 Commissars Street 41/1, Dilijan station","$140,000",USD,"3-room apartment with an area of 92 square meters on the 2nd floor of a 5-storey new building is currently for sale.Euro-repaired, Jevro windows, Wi-Fi + TV 300 + channels, natural gas, individual եռheating system, open balcony, OTIS ️Elevator,Underground pavilion parking.The building has a security guard, cameras. There is a supermarket on the first floor of the building.The apartment is for sale together with the property տեխն household appliances.The sale price is 140,000Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/15664609,
Panels,No,Available,9,,,66 sq.m.,2,2,from 2.7 m,5.0,Closed balcony,Available,Old Renovation,,"Shamakhyan Street, Dilijan station","$30,000",USD,"Apartment for sale in Shamakhyan district of Dilijan city. The apartment is 2-room, 66.4 sq. M., has a closed balcony. The apartment has a construction area of 20 sq. M. It has hot and cold water. There is a plot of land near the building with an orchard. There is a storage room at the entrance. The apartment is for sale with all its property and equipment.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17948389,
Stone,No,Not available,5,,,54 sq.m.,2,1,from 2.7 m,4.0,Closed balcony,Available,Old Renovation,"YArd view, street view",Tavush › Ijevan,"$32,000",USD,"5/11 Yeritakaan Street Permanent (cold, hot water), gasified, for details call...Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18190176,
Stone,No,Available,9,,,70 sq.m.,3,1,from 2.8 m,5.0,Closed balcony,Available,Old Renovation,,"Ուսանողական փողոց 3, Իջևան","$23,000",USD,For more information callTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16627887,
Stone,No,Not available,3,PLayground,,71 sq.m.,3,1,from 2.6 m,1.0,Closed balcony,By agreement,Old Renovation,,"Ստեփան Շահումյանի փողոց 2, Դիլիջան","$37,000",USD,A 3-room apartment is for sale in the city of Dilijan. Utilities are available. Sold with furniture.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18245098,
Stone,No,Not available,2,,,95 sq.m.,2,1,from 3.5 m,2.0,Closed balcony,Available,Old Renovation,,"5-րդ փողոց 1-ին նրբանցք 3, Բերդավան","$15,000",USD,"Private house for sale in Berdavan village. There is natural gas, drinking water in the house. For more information, please call the mentioned phone number.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17316320,
Panels,No,Not available,5,,,37 sq.m.,1,1,from 2.5 m,2.0,Not available,,Major Renovation,,"Tavrizyan street, Իջևան","$18,000",USD,"The apartment is located in the village of Azatamut A. , Ijjan community. Antonyan street 7th building, second floor. Five-storey building. The house is in good condition. Doors and windows are of European production. Urgent sale, Price is negotiable. The building is in the basement and two-storey garage.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17962814,
Stone,No,Not available,5,,,91 sq.m.,3,2,from 2.75 m,5.0,Open balcony,,Old Renovation,,"Улица Гайи 76, Дилижан","$35,000",USD,"Վաճառում եմ հարմարավետ բնակարան ՝ բոլոր հարմարություններովՀիանալի տեսարաններ լեռներիցՀարավային կողմ, շատ տաքԲոլոր հարցերը հեռախոսովПродам трехкомнатную квартиру со всеми удобствами. Все интересующие вопросы по телефону.",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/15704152,
Stone,No,Available,10,,,62 sq.m.,2,1,from 2.75 m,4.0,Closed balcony,,Euro Renovation,,Tavush › Ijevan,"$35,000",USD,"A 2-room apartment is for sale in the city of Ijevan. It is located at 10-4 Methalvasotsneri Street. The building is 9 floors, the apartment is on the 1st floor. The furniture is sold together with the apartment.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18220334,
Panels,No,Available,9,,,78 sq.m.,3,1,from 3 m,3.0,Open balcony,By agreement,Major Renovation,,"Սպանդարյան փողոց 2, Իջևան","20,000,000 ֏",AMD,"It has a capitally renovated heating system, it is also possible to exchange it with your own house.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/12345310,
Stone,Yes,Not available,1,,,600 sq.m.,5,2,from 3 m,1.0,Multiple balconies,,Euro Renovation,,Tavush › Dilijan,"$65,000",USD,Земля находится Андраник Фохоц! 600м/2,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17366613,
Panels,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,1.0,Closed balcony,,Partial Renovation,,Tavush › Noyemberyan,"7,500,000 ֏",AMD,"Located in Ayrum city. The apartment has 2 entrances, it is also convenient to use for commercial purposes, the bathroom is renovated, all the windows are European-made, it also has a basement of about 10 square meters. Constant hot and cold water, gas. Negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17634887,
Stone,No,Not available,5,,,60 sq.m.,2,1,from 2.75 m,2.0,Multiple balconies,,Cosmetic Renovation,,"Abovyan street, Ijevan","19,000,000 ֏",AMD,"Not for rent! Not for rent! Not for rent! 2nd floor2-3-room apartment for sale in the center of Ijjan city, on Abovyan street, 60 sq. M. M.: The apartment is airy, there is a church, a sports hall, a kindergarten, a school, shops, a supermarket right next to the building. It has a closed balcony, which can be used as a children's room, open balconies, closets, European windows are installed. It is possible to sell together with the furniture, it is for sale without a broker. For more information call! Not for rent! Not for rent! Not for rent!Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17643577,
Stone,No,Not available,5,,,75 sq.m.,3,1,from 3 m,4.0,Closed balcony,Available,Euro Renovation,,"Getapnya street, Dilijan station","$55,000",USD,3-room apartment for sale in Dilijan. It is sunny. 76 buildings.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18261776,
Panels,No,Available,9,,,69 sq.m.,3,1,from 2.75 m,4.0,Closed balcony,Available,Partial Renovation,,Tavush › Ijevan,"$48,000",USD,"The apartment is for sale with all the property, the bathroom is newly renovated, the refrigerator-washing machine is new, a stone garage is also sold with the apartment, all utilities are available, the apartment is located on Methalvostneri str.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18283321,
Stone,No,Not available,5,,,79 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Not available,Old Renovation,,Tavush › Ijevan,"$40,000",USD,"(Code 2/06) 3-room apartment is for sale in Ijjan city, the area is 79.5 sq. M., it has an open balcony, it is gasified, it has water, electricity, the windows are made in Moscow, the floor is parquet, the price is 40 000 USD. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who do not speak or do not answer calls should not call, we do not work with you. I repeat once, no address is provided by phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17858398,
Stone,No,Not available,2,,,76 sq.m.,3,1,from 3 m,2.0,Open balcony,Available,Old Renovation,,"Հայկ Նահապետի փողոց 12, Բերդ","12,000,000 ֏",AMD,"The apartment is 1 line, has a plot of land and a basement on the street side, which you can use as a business space.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18180243,
Stone,No,Not available,4,,,54 sq.m.,2,1,from 2.7 m,2.0,Closed balcony,,Cosmetic Renovation,,"Ankakhutyan Street, Ijevan","16,000,000 ֏",AMD,"The apartment is sunny, it has the possibility of expanding the area by making 2 rooms 3, it is located in the center of the village, all the windows are of European manufacture, it is possible to exchange with an apartment in the city of Yerevan for an additional fee. Only real buyers will call. Urgent.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17975756,
Monolith,No,Not available,5,,,76 sq.m.,3,1,from 2.7 m,1.0,Open balcony,,Old Renovation,,"Մոլդովական փողոց 4, Դիլիջան","9,000,000 ֏",AMD,3 rooms Apartment Moldovakan streetTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17795918,
