Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Links,Utilities
Garage,24 sq.m.,"9-րդ փողոց 125, Զովունի","15,000 ֏",AMD,"Garage in Zovuni, (next to building 125, 9th Street, 24m square area.Will be released at the end of November.Long term, minimum 6 months, 2 months depositTranslated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18491568,
Garage,11 sq.m.,"4th microdistrict, Abovyan","20,000 ֏",AMD,A garage with a garage is for sale in the 4th microdistrict behind building 72Translated from Armenian,Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18603489,ELectricity
Garage,25 sq.m.,Kotayk › Abovian,"40,000 ֏",AMD,"It is located in the back of the Abovyan supermarket, has a basement and all facilities.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18534572,
Garage,40 sq.m.,"Jrvezh 4-th street, Yerevan","25,000 ֏",AMD,A stone greenhouse is also suitable for activities.Translated from Armenian,Nov-27-2022_16-29,,https://list.am/en/item/18385407,
Garage,18 sq.m.,"Banavan 8, Garni",$600,USD,"I will exchange 18 square meters for building materials, negotiable.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/17787687,
Garage,25 sq.m.,"Kentron block 6, Hrazdan","20,000 ֏",AMD,"The garage is iron, it is located in Kentron district.Translated from Armenian",Nov-27-2022_16-29,,https://list.am/en/item/18405622,
Parking Space,20 sq.m.,Kotayk › Abovian,"60,000 ֏",AMD,"Concrete walls, 4 pieces, suitable for office, garage, plot house and other buildings, pillow dimensions: 2.70 cm, two, 5.70 cm, 30 cm thick, all together 60,000 AMDTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17825845,
Garage,36 sq.m.,Kotayk › Nor Hachen,"2,000,000 ֏",AMD,"A garage is for sale on Achapnyak street in Nor Hach'en city. On 4m-9m, it has a basement, it has an outdoor balcony, there is electricity inside. Price $5000 negotiable. Write or call for newsletter questionsTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18712055,Electricity
Garage,12 sq.m.,Kotayk › Kanakeravan,"700,000 ֏",AMD,"A house of 12 m is for sale. , fresh condition.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17732901,
Garage,20 sq.m.,"4th microdistrict, Abovyan","$7,200",USD,"A private garage is for sale in the back of the printing house in Abovyan city, I will exchange it for a car and write.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18060375,
Garage,,Kotayk › Charentsavan,"400,000 ֏",AMD,Erkate avtotnak,Dec-12-2022_18-39,,https://list.am/en/item/15632847,
Garage,40 sq.m.,"Улица России 4, Абовян","$10,000",USD,A garage for sale in the yard of Russia 4 building near the 5th schoolTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18001369,
Garage,30 sq.m.,Kotayk › Charentsavan,"600,000 ֏",AMD,Շարժական ավտոտնակ։5*6,Dec-12-2022_18-39,,https://list.am/en/item/17922109,
Garage,25 sq.m.,"Hanrapetutyan Ave 26/1, Abovyan","$15,000",USD,"Abovyan city, next to Hanrapetutyan 26 building (bookstore building) The land area is 25 sq. M. Մ. The land is privatized together with the building.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/15912810,
Garage,22 sq.m.,Kotayk › Hrazdan,"430,000 ֏",AMD,"Concrete garage, 3.6 width 6 length, has both a box and a basement, a table with thick iron shelves is installed inside the entire width, the garage is located next to 3 buildings in the micro district, if you have any questions, write an email.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18545332,
Garage,22 sq.m.,"3-й микрорайон 3, Абовян","2,999,999 ֏",AMD,"Прямая продажа от собственника. Город Абовян 3 микрорайон дом 2Возможен не большой торг. Подробности по телефону, или пишите в личном письме.",Dec-12-2022_18-39,,https://list.am/en/item/17862685,
Garage,40 sq.m.,"Hatis street, Abovyan","$15,000",USD,"A two-storey privatized garage is for sale in the yard of the 3rd m / s 3rd building. The garage has a basement with wide possibilities of use. Price is negotiable.If you have any questions, call WhatsApp.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17016387,
Garage,17 sq.m.,Kotayk › Abovian,"1,250,000 ֏",AMD,"An iron garage is for sale, the land is owned, next to the Executive Committee, it is possible to expand it later. Negotiable.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16730689,
Garage,18 sq.m.,"Torozyan street 12, Nor Hachin","$2,500",USD,The garage is concrete. There is wood in it.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17937274,
Garage,32 sq.m.,Kotayk › Abovian,"$10,000",USD,"Hurry!A large garage for 2 cars is for sale from the owner, in the yard of the Republic 6 building.Total area: 32 square meters.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17294832,
Garage,60 sq.m.,"Կենտրոն թաղամաս 48, Հրազդան","$12,000",USD,"A newly built stone garage in the yard of building 48, next to the sports school and the former tax office. Will be sold with legal documents. Fits 2 cars. Real buyers will call after 6:00 PM. Also exchange with the car at an additional cost on your part.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17317369,
Garage,20 sq.m.,Kotayk › Kasagh,"2,500,000 ֏",AMD,"It is located in the village of Kasakh, near the Vahagn district, near the 20 buildings in front of the kindergarten.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17973609,
Garage,24 sq.m.,"14 street 216, Hrazdan","$3,000",USD,"Garage for sale in the area of 215 and 216 buildings, has a basement of its size (6 × 4 × 3, length ֊ width ֊ height), there is an opportunity to build a garage or another building in the same size atticTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16558784,
Garage,20 sq.m.,"4th microdistrict, Abovyan","$7,500",USD,"A garage is for sale, which is located in the back of the printing house, in the row, it has a certificate of ownership.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18615712,
Garage,60 sq.m.,Kotayk › Nor Hachen,"$7,000",USD,"A garage is for sale (height: 2m, width: 12m, width: 5m) in Nor Hachn, in the area adjacent to Arzni Dzor. The garage has iron doors, concrete walls, is suitable for any work related to cars, has 2 basements.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18654662,Electricity
Garage,25 sq.m.,"Geghard street, Abovyan","$5,000",USD,GarageCall for detailsTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17966807,
Garage,40 sq.m.,"Geghard street 5, Abovyan","$8,000",USD,Garage in front of building 5 of Gehardi...Falling into 20 square…Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18113698,
Garage,48 sq.m.,Kotayk › Nor Hachen,"$5,000",USD,Garage with its basement in Ajapnya (ges) district.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17964525,
Garage,33 sq.m.,"Sevani street, Abovyan","2,900,000 ֏",AMD,It is privatized. It has a basement of its size.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17334937,
Garage,21 sq.m.,Kotayk › Yeghvard,"$1,000",USD,A place for a car hut. Located on the road to kindergartenTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17635271,
Garage,24 sq.m.,"Սպանդարյան փողոց 5, Հրազդան","$3,600",USD,"Reinforced concrete garage very warm and dry, has title deed, call for detailsTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18624797,
Garage,25 sq.m.,"Tumanyan street, Charentsavan","$1,000",USD,"Продаеться гараж 6 квартал перед 3 домом, каменная постройка, все документы есть имущественные, есть подвальное помещение, по всем вопросам обращайтесь по номеру телефона",Dec-12-2022_18-39,,https://list.am/en/item/18137368,
Garage,57 sq.m.,"Օրբելի եղբայրների փողոց 18, Ծաղկաձոր","$21,000",USD,A two-storey panel garage is for sale. The area is suitable for building a house. Urgently negotiable.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/16492633,
Garage,25 sq.m.,"August 23 street, Abovyan","$14,000",USD,"Stone garage for saleLand for garage and buildings is privatized.Separate water, sewerage, internal electricity and lighting are provided.Garage for 2 cars, the floor and the walls are plastered.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17843166,
Garage,24 sq.m.,"Z.Andranik St, Hrazdan","$3,500",USD,The garage is located in the adjacent area of Microdistrict 109sh. 6 × 4 m from the stone. Has all the documents. Needs renovation. Garage:Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/15179312,
Garage,36 sq.m.,Kotayk › Charentsavan,"$2,200",USD,The garage is in a good location.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17431996,
Garage,29 sq.m.,Kotayk › Zovuni,"$3,000",USD,"The price is for sale on house 9/3, negotiable, the inside of the house was demolished for repairs, the house is very close to Davitashen in Zovuni.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16939330,
Garage,35 sq.m.,"Квартал Маяк 2, Ереван","$9,000",USD,Гараж в Джрвеже без добра на сопственность - в аренду от государства - одна большая машина умещается,Dec-12-2022_18-39,,https://list.am/en/item/18589050,Electricity
Garage,100 sq.m.,Kotayk › Abovian,"$22,000",USD,"Basement, electricity, water.Negotiable, call for details.100 m *Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17299167,
Garage,26 sq.m.,Kotayk › Abovian,"$2,500",USD,A garage of 26 square meters is for sale. It is made of iron and is portable. Will you get it from the city of Abovyan?6 meters long4.30 meters wideis in fresh condition.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18704216,
Garage,50 sq.m.,"Գ․ Արշակյան փողոցի 1-ին նրբանցք 1, Բալահովիտ","$2,000",USD,"Concrete garage for sale, length 5.5mThe width is 3.15mThe height is 2.5 mthe walls and the bed are one piecethe garage is portableIt is in normal conditionOnly the garage is for sale.The price together with the land area is $8000, the total land area is 30 square meters + 20 square meters.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18570563,
Garage,8 sq.m.,Kotayk › Nor Gyugh,"350,000 ֏",AMD,"Cottage [domik, kung] for sale, normal condition. 2.40 m * 3.20 m:Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16336626,
Garage,20 sq.m.,"Բաղրամյան փողոց 122Ա, Հրազդան","1,000,000 ֏",AMD,"4 * 5 m garage area in front of 122a building for sale, 2nd rowTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17789255,
Garage,30 sq.m.,Kotayk › Nor Hachen,"$12,000",USD,In the stone garages behind 1 school. It has a basement under the whole garage.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/16805797,
Garage,18 sq.m.,Kotayk › Abovian,"$4,500",USD,"Semi-detachedHas a certificate of ownershipThe attached garage is also for saleHas a certificateIt has a basement, the roof is also used, $8500If 2 wishes, he will be spared!Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18269256,
Garage,25 sq.m.,Kotayk › Abovian,"$11,000",USD,"Продаётся гараж 25 кв. М. Имеются все документы на гараж.Гараж находится на первой линии, напротив 4 микро 59 дома.Имеется подвальное помещение.Можно переоформить, как жилое помещение или под коммерцию, а также построить 2 этаж.По всем вопросам пишите и звоните.Цена окончательная.",Dec-12-2022_18-39,,https://list.am/en/item/18070667,
Garage,47 sq.m.,Kotayk › Hrazdan,"5,000,000 ֏",AMD,"In front of 8 schools, two garages together are in very good condition. It has a basement, box, light, possibility of second floor, ownership certificate.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16868012,
Garage,28 sq.m.,Kotayk › Hrazdan,"$2,500",USD,"Garage for sale in the microdistrict, 6.30 on 4.50, the price is negotiable, call for questions.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18423712,
Garage,26 sq.m.,"2-րդ փողոց 24, Հրազդան","$9,900",USD,"1. Has a new ownership certificate,2. Has its own current (electricity),3. Capital renovated,4. The floor is tiled.5. The roof is covered with tin,6. It has 6 square meters. Meter basement,7. Has a handstand,8. It has the possibility to go up to the 2nd floor, which can be used as the first floor,9. It does not have its own water and sewage.It is also possible to exchange with a state-owned 1-4-room apartment (in the case of a 3-4-room apartment with an additional fee from me)COMMERCIAL AREA IS IN HAZDA CITY,ONLY REAL WANTS CALLPRICE IS FINAL AND NON-NEGOTIABLE.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16120185,
Garage,24 sq.m.,Kotayk › Jrvezh,"$12,500",USD,Гараж туф кари 4. 6 вра мотавор банаван 12 ш димац абмен автомекенаеи хет минчев 5000 $,Dec-12-2022_18-39,,https://list.am/en/item/15686330,
Garage,20 sq.m.,Kotayk › Ptghni,"900,000 ֏",AMD,"Caravan, in good condition. The roof is galvanizedTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18135991,
Garage,17 sq.m.,"Улица Еритасардакан 14, Абовян","$3,500",USD,"Продается гараж в Абовяне, цена 3500$ (торг) Возможен обмен на автомобиль равноценной стоимости.",Dec-12-2022_18-39,,https://list.am/en/item/18045459,
Garage,25 sq.m.,"Russian street, Abovyan","$7,000",USD,The garage is located in front of Rossia 4 building. It has a large basement. NegotiableTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/16861192,
Garage,24 sq.m.,"Yeritasardakan street 4, Abovyan","$6,000",USD,It is a large garage with pitTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18278591,
Garage,37 sq.m.,"2nd microdistrict, Abovyan","10,500,000 ֏",AMD,"For sale: 36.6 tuff garage, basement, possibility of second floor, electricity, water, bathroom.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18247352,
Garage,20 sq.m.,"2nd microdistrict, Abovyan","$8,300",USD,"Garage for sale near Arpimed, has an additional area of 8 square meters, has electricity, the garage is privatizedThe price is negotiable, it is possible to exchange it with a car.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17005576,
Garage,36 sq.m.,"Улица Баграмяна 254, Раздан","$6,000",USD,"(Միկռոշրջան, Շերեմուշկա) 254 շենքի դիմաց։ սեփականաշնորում։Վաճառվում է։ 9×4=36 քմ։ բետոնե։ k poxanakem hamarjeq meqenai hetПродаётся Гараж бетонный 9×4= 36кв на улице черемушка! Обменяю с нормальным авто",Dec-12-2022_18-39,,https://list.am/en/item/17811628,
Garage,30 sq.m.,"Zoravar Andranik avenue, Hrazdan","$8,000",USD,"Վաճառվում է սեփականաշնորհված քարե ավտոտնակ։Տեղավորվում է 2 մեքենա, ունի նկուղ։ Գտնվում է բաքվի թաղում, 312շենքի հարևանությամբ։ Լրացուցիչ տեղեկությունների համար զանգահարել նշված համարով։",Dec-12-2022_18-39,,https://list.am/en/item/12825678,
Garage,30 sq.m.,"Zovuni 16 street, Zovuni","2,500 ֏",AMD,Прадаетца 30квадрад здание Зовуни 2500 доллар. Срочно,Dec-12-2022_18-39,,https://list.am/en/item/18493923,
Garage,26 sq.m.,"Սևանի փողոց 4/1, Աբովյան","3,500,000 ֏",AMD,There is a basement in the yardTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17638335,
Garage,40 sq.m.,"Սևանի փողոց 4/1, Աբովյան","$11,000",USD,"The garage is located in front of entrance 3 of building 4/1 of Sevan, Abovyan city. About 30 meters from the entrance on the road. It has a basement the size of a garage and a small roof. 20 sq m garage and garage basement.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18276767,
Garage,20 sq.m.,Kotayk › Charentsavan,"1,700,000 ֏",AMD,Bread 7 district 20 square stone in front of 3 buildingsTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17513644,
Garage,34 sq.m.,Kotayk › Hrazdan,"$6,200",USD,"Iron garage for sale, 7.5 m x 4.5 meters, in very fresh condition, made of full metal rafters.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18200176,
Parking Space,36 sq.m.,"Yeritasardakan street, Abovyan","$10,000",USD,"Ավտոտնակն սեփականաշնորհված չի գրանցումն ձեր վրայա, չափսը ունի 9 մետր երկարություն, 4 մետր լայնություն, գտնվում է չոր վիճակում",Dec-12-2022_18-39,,https://list.am/en/item/16216194,
Garage,30 sq.m.,"Yeritasardakan street 1, Abovyan","$6,500",USD,"Owned concrete garage in Abovyan city, in very good condition.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18242569,
Garage,18 sq.m.,Kotayk › Hrazdan,"500,000 ֏",AMD,"Garage garage for sale in Hrazdan city on 6.3 with demolition panels price 500,000dTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17918491,
Garage,25 sq.m.,"3rd microdistrict, Abovyan","$12,500",USD,3 micro car garageTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18653512,
Garage,24 sq.m.,"Sevani street, Abovyan","$8,000",USD,"Garage for sale, located next to 2/1 building on Sani street, call for details, very urgentTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17533670,
Garage,48 sq.m.,"4-րդ փողոց 71, Հրազդան","$5,500",USD,"The garage with its area is urgently for sale, which is located in the back of the dormitory of the thermal power station in the micro-district district. For details, call the indicated phone number. 5.4×8.8=47.5 karakusiTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18165591,
Garage,20 sq.m.,"4th microdistrict, Abovyan","3,000,000 ֏",AMD,"The garage is located in the row of garages in front of the 4th micro 52 53 buildings.It has a certificate, it is registered in the cadastre.Exchange with the land by me for an additional fee.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17177873,
Garage,24 sq.m.,"3-րդ թաղամաս, Չարենցավան","$7,000",USD,Garage on 4 × 6. 3 district 9 in front of the building.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/12043434,
Garage,12 sq.m.,Kotayk › Tsakhkadzor,"400,000 ֏",AMD,Iron garageTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/15746515,
Garage,18 sq.m.,"Ռուսաստանի փողոց 4, Աբովյան","$6,000",USD,Russia in front of the 4th buildingTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17871628,
Garage,24 sq.m.,"Միկրոշրջան թաղամաս 1, Հրազդան","$2,500",USD,"A panel garage is for sale in the city of Hrazdan, MicrodistrictTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18286944,
Garage,18 sq.m.,Kotayk › Arinj,"350,000 ֏",AMD,Metal garage with acetone insulationTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17837287,
Garage,110 sq.m.,"Квартал Кентрон, Раздан","$25,000",USD,Semi-built garage for sale in Hrazdan center districtTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18650551,
Garage,18 sq.m.,"3rd microdistrict 17, Abovyan","$5,500",USD,"A 3x6 size garage is for sale in Abovyan city, it has a basement, it is located in the yard of the 3rd micro 17 building.It is dry, there are no dripping places.It is urgent.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18266280,
Garage,23 sq.m.,"3rd microdistrict 3, Abovyan","$8,000",USD,"Удобный, можно сразу пользоваться",Dec-12-2022_18-39,,https://list.am/en/item/17849126,
Garage,265 sq.m.,"Saralangi street, Abovyan","$5,000",USD,Basement in areahas a title deedTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18435549,
Garage,162 sq.m.,Kotayk › Hrazdan,"$16,500",USD,"Cheaper than urgent marketAn operating car service station for sale in Hrazdan Kentron district, 162 square meters.There is three-phase electricity, basement, dankrat, sewerage, compressor.For more information callTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16972385,
Garage,22 sq.m.,"Kentron block, Hrazdan","$5,000",USD,There is more land on the side to see land. In the floor plan. UrgentTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18502799,
Garage,30 sq.m.,"Geghard street, Abovyan","$9,000",USD,"The garage is located near the bathroom, at the back of building 1 in Gehardi. The roof was repaired, the inner walls were plastered with basalt straight. Owned. For more information callTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18589115,Electricity
Garage,35 sq.m.,"Erevanyan street, Yeghvard","$8,200",USD,35 քմ հողն է 28 քմ ավտոտնակը:Պատրաստված է հաստ 5- նոց ժեշտով փթած տեղեր չկան:,Dec-12-2022_18-39,,https://list.am/en/item/18347971,
Garage,24 sq.m.,Kotayk › Hrazdan,"$2,000",USD,"A garage is for sale in the southern district of Hrazdan, near the restaurant ""Khandzor Orchard"". Concrete walls and roof, roof also sheet metal. It is dry, has a box. It is also possible to disassemble and transport.Google coordinates: 40.490432, 44.750891Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16819607,
Garage,39 sq.m.,Kotayk › Abovian,"6,000,000 ֏",AMD,"Two-story garage,Main floor 24 square meters,Basement floor 15 square meters,Interior design,Shelves in the basement,The land and the garage are private.It is located in front of the 2nd m\sh 18 building. It is also very convenient for residents of adjacent new buildings.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18062126,
Garage,21 sq.m.,"Սամվել Վարդանյանի փողոց 5, Բյուրեղավան","950,000 ֏",AMD,"Garage for sale in normal condition, width 3m, length 7m. NegotiableTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17245132,
Garage,24 sq.m.,"13-րդ փողոց, Հրազդան","$2,000",USD,Tin garage. Has a boxTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18214643,
Garage,24 sq.m.,Kotayk › Yeghvard,"4,000,000 ֏",AMD,Garage for sale in Yeghvard cityTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18666911,Electricity
Garage,44 sq.m.,"Նաիրյան փողոց, Աբովյան","$10,000",USD,"It has a basement, electricityPrivatizedthere is no problemTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18079697,
Garage,18 sq.m.,Kotayk › Mayakovski,$800,USD,"A garage of 3 * 6 size for sale, with 4 tablespoons, as a material, Kotayk region, v. In Mayakovsky. Price is negotiable.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16228151,
Garage,25 sq.m.,"Գ․ Սարյանի 2-րդ նրբանցք 1, Հրազդան","$1,000",USD,Վաճառվու է միայն երկաթյա ավտոտնակը.,Dec-12-2022_18-39,,https://list.am/en/item/16581699,
Garage,12 sq.m.,Kotayk › Yeghvard,"$2,000",USD,"Iron garage for sale, in quite normal condition, from Soviet times. The thickness of the sheet is 4 mm. If there is a real buyer, it is possible to negotiate the price to a certain extent.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18258574,
Garage,36 sq.m.,"Garni street, Abovyan","$13,000",USD,For very urgent questions it is possible to call PagovTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17111222,
Garage,8 sq.m.,Kotayk › Tsakhkadzor,"150,000 ֏",AMD,Call in case of questionsTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18637632,
Garage,25 sq.m.,Kotayk › Abovian,"$11,000",USD,"Продаётся гараж 25 кв. М. Имеются все документы на гараж.Гараж находится на первой линии, напротив 4 микро 59 дома.Имеется подвальное помещение.Можно переоформить, как жилое помещение или под коммерцию, а также построить 2 этаж.По всем вопросам пишите и звоните.Цена окончательная",Dec-12-2022_18-39,,https://list.am/en/item/17931677,
Garage,35 sq.m.,"Yeritasardutyan street, Charentsavan","$3,000",USD,"Garage, garage, garage for sale. It is located near the garment factory, in the very first row.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17620464,
Parking Space,24 sq.m.,Kotayk › Garni,"10,000 ֏",AMD,Bachok radiator partsTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/15610862,
Garage,24 sq.m.,"Կենտրոն թաղամաս 46, Հրազդան","$7,000",USD,A newly built garage is for sale in Hrazdan city (in Raikom district)The former pioneer is near the palace.It is not for rent.The walls are insulated.Dimensions 4 m × 6 m.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17502711,
Garage,20 sq.m.,Kotayk › Abovian,"400,000 ֏",AMD,A 3.30X6 meter prefabricated metal mobile garage is for sale. It is in fresh condition.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18368273,
Garage,50 sq.m.,"6-й квартал 6-6, Чаренцаван","8,000,000 ֏",AMD,Kamin boks (padval) karaq erkrord hark sarqeq sepakanashnorhac (փոխանակում մեքենայի հետ),Dec-12-2022_18-39,,https://list.am/en/item/13946167,
Garage,21 sq.m.,Kotayk › Abovian,"$4,500",USD,K. Abovyan 1st microdistrict 8/550 garageTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18003983,
Garage,18 sq.m.,Kotayk › Abovian,"$7,000",USD,A garage with a basement is for sale. 2nd micro-district near the mother-in-law tongue.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18048181,
Garage,36 sq.m.,Kotayk › Nor Geghi,"900,000 ֏",AMD,Urgent 12/3 in good conditionTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18132766,
