Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Window Views,The House Has,Parking,Links
Stone,No,Not available,5,45 sq.m.,2,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,2,Yes,No,Not included,1 month,Aragatsotn › Ashtarak,"120,000 ֏ monthly",AMD,"Code: H0442Apartment for rent in Ashtarak, on the square.The apartment has 1 room with a niche.The area is about 45 square meters.It is located on the 3rd floor of a 5-storey building.It is equipped with all furniture and appliances.It has all the utilities.Rent: 120,000 AMD + deposit.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18518506
Stone,No,Not available,5,64 sq.m.,2,1,from 3 m,1,Not available,Available,Designer Renovation,4,Yes,No,Included,Without prepayment,"улица Тиграна Меца, Аштарак","18,000 ֏ daily",AMD,"Новый с современным дизайном ремонт где есть 2 комнаты, новый ремонт, есть все удобства для жиля и бесплатная парковка. Цена за месяц по договоренности.",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18574032
Stone,No,Not available,5,65 sq.m.,2,1,from 3 m,4,Not available,Available,Major Renovation,4,Yes,No,Not included,By Agreement,Aragatsotn › Ashtarak,"200,000 ֏ monthly",AMD,"An apartment for rent in the city of Targary, fully renovated, uninhabited. A brand new buck system comes with the property and appliances. For more information call:Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18447169
Stone,Yes,Not available,1,40 sq.m.,2,1,from 3 m,1,Open balcony,Available,Major Renovation,3,Yes,No,By Agreement,By Agreement,Aragatsotn › Byurakan,"200,000 ֏ monthly",AMD,Apartments for rent in Byurakan for short and long term. The observatories are located in the central part.Translated from Armenian,Nov-27-2022_18-52,,"FRidge, stove, microwave, coffee maker, washing machine, drying machine, water heater, iron, hair dryer",,,OUtdoor parking,https://list.am/en/item/18589393
Stone,No,Not available,4,101 sq.m.,4,1,from 2.8 m,4,Multiple balconies,,Cosmetic Renovation,,,,,,Aragatsotn › Aparan,"100,000 ֏ monthly",AMD,"Есть всё необходимое для жизни, 2 открытх балкона с красивым видом на гори. Остальные вопросы по телефону. Д. ДЖРАМБАР. И продаётся.",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18403921
Stone,No,Not available,2,70 sq.m.,3,1,from 2.6 m,2,Not available,,Cosmetic Renovation,3,Yes,Yes,Not included,3 months,Aragatsotn › Oshakan,"60,000 ֏ monthly",AMD,"Apartment for rent in Oshakan. The price is indicated + three months advance payment. For all kinds of questions, call the phone number listed below. Back.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18404575
Stone,No,Not available,1,30 sq.m.,1,1,from 2.8 m,1,Not available,,Major Renovation,4,Yes,Yes,Included,1 month,"Վարդգես Պետրոսյանի փողոց 9, Աշտարակ","180,000 ֏ monthly",AMD,"1-room apartment for long-term rent c. In the tower. The apartment will be ready in 1 month. The apartment will have all utilities, a new kitchen, renovated and furnished in hotel style.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18526129
Stone,No,Not available,5,63 sq.m.,2,1,from 2.8 m,1,Not available,,Cosmetic Renovation,2,Yes,No,Not included,Without prepayment,Aragatsotn › Ashtarak,"150,000 ֏ monthly",AMD,"Code: H0445Apartment for rent in Ashtarak.The apartment has 2 rooms.It is located on the 1st floor.It is equipped with all furniture and appliances.It has all utilities. An apartment is for rent in Ashtarak.The apartment has 2 rooms.The area is 63 square meters.It is located on the 1st floor of a 5-storey building.It is equipped with all furniture and appliances.It has all the utilities.There is also a basement.The rent is 120,000 AMD.Facilities.There is also a basement.Rent: 150,000 AMD.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18537001
Stone,No,Not available,5,72 sq.m.,3,1,from 3 m,4,Multiple balconies,,Euro Renovation,2,Yes,No,Not included,1 month,Aragatsotn › Ashtarak,"250,000 ֏ monthly",AMD,"Code: H0005A fully renovated apartment in Ashtarak is for rent.Area: 72 square metersFloor: 4/5The apartment has:Entrance hallBright living room2 bedroomsKitchen1 auxiliary room (closet)2 open balconies with a wonderful view.Baxi heating system and air conditioner are installed. The entrance door is iron. Part of the floor is tiled, the other part is laminate. All facilities and conditions are available.Rent: 250,000 AMD, negotiable.If desired, it is also possible to sell it together with all the furniture and appliances.Price: $63,000 negotiable.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18518134
Stone,No,Not available,2,120 sq.m.,4,1,from 2.75 m,2,Open balcony,,Old Renovation,,,,,,Aragatsotn › Byurakan,"70,000 ֏ monthly",AMD,"A house is for rent in Byurakan, close to the center.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/17890783
Stone,Yes,Not available,2,200 sq.m.,7,2,from 3 m,2,Not available,,Euro Renovation,,,,,,Aragatsotn › Oshakan,"$1,250 monthly",USD,"Two-story private house for rent in Oshakan. Stone building, 5 bedrooms, 2 bathrooms, 1 bathroom, spacious yard, parking.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18384439
Stone,No,Not available,7,90 sq.m.,2,1,from 2.5 m,3,Multiple balconies,,Old Renovation,,,,,,"Улица Тиграна Меца 22А, Аштарак","70,000 ֏ monthly",AMD,"Сдается помесячно, а также на долгий срок, ремонт советский, вся необходимая бытовая техника есть, телефизор, стиральная машинка малютка, новый холодилтник, новая газовая плита.Туалет и ванная частично отремонтированы (кафель на полу, новый туалет)Одельная оплата комуналтных услуг (свет-вода-газ)Можно с домашним животным!",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18420425
Monolith,Yes,Not available,3,60 sq.m.,3,2,from 3.2 m,3,Closed balcony,,Major Renovation,,,,,,"Գ. Նարեկացի փողոց 96, Աշտարակ","200,000 ֏ monthly",AMD,"Apartments in Ashtarak Kakhak in Norakarvts building, call for detailsTranslated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18420360
Stone,Yes,Not available,2,50 sq.m.,2,1,from 3.2 m,2,Closed balcony,,Designer Renovation,,,,,,Aragatsotn › Ashtarak,"25,000 ֏ daily",AMD,Жилье Класса люкс в шикарном месте в комплексе с рестораном и зоной отдыха с парком на реке в 15 минутах от Еревана. Возможна оплата на Сбер и Тинькофф,Nov-27-2022_18-52,,,,,,https://list.am/en/item/18394345
Panels,No,Not available,5,67 sq.m.,2,1,from 2.7 m,2,Open balcony,,Cosmetic Renovation,,,,,,"Tigran Mets Street, Ashtarak","200,000 ֏ monthly",AMD,Մանրամասների համար զանգահարելСдается квартира в городе Аштарак,Nov-27-2022_18-52,,,,,,https://list.am/en/item/18393651
