Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Monolith,Yes,Available,17,63 sq.m.,2,1,from 2.8 m,6,Open balcony,Available,Designer Renovation,,,,2,Yes,No,By Agreement,By Agreement,"Antarayin 1st blok 10, Tsaghkadzor","30,000 ֏ daily",AMD,Сдаётся в аренду великолепная квартира с видом на лес. Есть игровая площадка для детей. Всё что надо для хорошего отдыха.,Nov-24-2022_16-44,,,https://list.am/en/item/18254728
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,2,Not available,Available,Major Renovation,,,,5,Yes,No,By Agreement,By Agreement,Kotayk › Hrazdan,"120,000 ֏ monthly",AMD,"A 2-room apartment is for rent in Hrazdan Mikro district, Building 26. It is provided with property and appliances. The apartment is fully renovated, has Euro-made windows, presgranite floor, iron entrance door. It is provided with constant water and gas, there is an individual heating system. The apartment was not inhabited.For details, you can call the mentioned phone numbers.Code H-590Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17623419
Stone,Yes,Not available,1,60 sq.m.,3,1,from 2.8 m,1,Not available,Available,Major Renovation,,,,3,Negotiable,No,Not included,By Agreement,"Улица Уренинер 8, Касах","180,000 ֏ monthly",AMD,Здаю на аренд квартираКапиталньый ремонтНовая техника и мебельTranslated from Armenian,Nov-24-2022_16-44,,,https://list.am/en/item/18278806
Panels,No,Available,12,129 sq.m.,2,2,from 2.75 m,12,Open balcony,Available,Designer Renovation,,,,2,Yes,No,By Agreement,By Agreement,Kotayk › Abovian,"$1,500 monthly",USD,"Euro-renovated apartment in designer style is for rent near Abovyan city hall, 12/12 floor, penthouse.The apartment has all the communal facilities, heating system, constant hot-cold water-necessary equipment.The area of the apartment is 129 square meters.Has one bedroom,Jacuzzi, two bathroomsLarge balcony, about 40 square meters, barbecue place, barbecue.The monthly fee is $ 1,500.Negotiable:Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17892805
Monolith,Yes,Available,12,52 sq.m.,2,1,from 3 m,3,Closed balcony,,Designer Renovation,,,,,,,,,"Antarayin 1st blok 10, Tsaghkadzor",$750 daily,USD,"Կեչի հյուրանոցային համալիր, գեղեցիկ տեսարանով:Здаётся 2 комнатная квартира в г. Цахказорпосуточной и по месячной оплате.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17947306
Monolith,Yes,Available,12,30 sq.m.,1,1,from 3 m,6,Open balcony,,Designer Renovation,,,,,,,,,"Antarayin 1st blok 10, Tsaghkadzor","20,000 ֏ daily",AMD,"Tsakhkadzor. The apartment is located in the newly built Kechi House building, there is an open balcony with a beautiful view, bathroom, heating, hot water, internet, dishes, bedding, etc. The apartment has a double bed, a sofa bed, a mini kitchen. Designed for up to three people.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18196579
Monolith,Yes,Available,8,86 sq.m.,3,2,from 3.5 m,8,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,"Kecharetsi St, Tsaghkadzor","$1,500 monthly",USD,"Brand new luxury 2 level 2 + 1 bedroom apartment in Tsakhadzor. Top floor panoramic view. European appliances, fridge, stove, dishwasher, washing machine, 65 sm Samsung smart TV. 1 double bed, 2 single beds and a sofa bed. Apartment is very clean. Available for long or short term. Rent for $1500/month.All utility payments, building management fee, parking included in the price. Apartment available from February 1st, 2023Совершенно новая роскошная 2-х уровневая 2 + 1 комнатная квартира в Цахкадзоре. Панорамный вид, верхний этаж. Техника европейская, холодильник, плита, посудомойка, стиральная машина, смарт ТВ Самсунг 65 см. 1 двуспальная кровать, 2 односпальные кровати и диван-кровать. Квартира очень чистая. Сдается на длительный или короткий срок -$1500/monthВсе коммунальные платежи, плата за управление зданием, парковка включены в стоимость. Квартира свободна с 1 февраля 2023 г.Բոլորովին նոր շքեղ 2 հարկանի 2 + 1 սենյականոց բնակարան Ծաղաձորում։. Վերին հարկի համայնապատկերային տեսարան. Եվրոպական տեխնիկա, սառնարան, վառարան, աման լվացող մեքենա, լվացքի մեքենա, 65 սմ Samsung smart TV. 1 երկտեղ մահճակալ, 2 մեկտեղանոց մահճակալ և մեկ բազմոց մահճակալ։ Բնակարանը շատ մաքուր է։ Հասանելի է երկարաժամկետ կամ կարճաժամկետ: $1500/ամիս: Բոլոր կոմունալ վճարումները, շենքի կառավարման վճարը, ավտոկայանատեղիը՝ գնի մեջ։ Բնակարանը հասանելի է 2023 թվականի փետրվարի 1-ից",Nov-24-2022_16-44,,,https://list.am/en/item/17092426
Stone,Yes,Available,8,68 sq.m.,1,1,from 3 m,4,Open balcony,By agreement,Major Renovation,,,,2,Yes,Yes,By Agreement,By Agreement,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"Swiss Plaza:The apartment is presented in more detail in the video:The apartment is located in Tsakhkadzor, which has 1 bedroom, a living room, a kitchen, a bathroom, an open balcony. Designed for 4 people.Tsakhkadzor, apartment in Tsakhkadzor, apartment for 4 people.For details, please call, mentioning the name of the version - Swiss Plaza.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/16951327
Monolith,Yes,Available,8,50 sq.m.,2,1,from 2.8 m,6,Open balcony,Available,Designer Renovation,"TElevision, internet, parking space","FRidge, microwave, washing machine, iron, hair dryer","YArd view, park view",4,Yes,Negotiable,By Agreement,1 month,"Khachik Muradyan Street, Tsaghkadzor","270,000 ֏ monthly",AMD,Сдается 2 комнатная квартира в новостройка ЦахкадзорКвартира имеет все необходимые для комфортного проживанияВысокоскоростной интернет от UcomԿոդ C222Գործակալության միջնորդավճարը կախված է վարձակալոության ժամկետից,Nov-24-2022_16-44,,OUtdoor parking,https://list.am/en/item/18374392
Stone,Yes,Not available,3,80 sq.m.,3,1,from 3 m,3,Closed balcony,Available,Major Renovation,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",5,Yes,Yes,Included,By Agreement,"Սևանի փողոց, Աբովյան","17,000 ֏ daily",AMD,"Call the specified number also through a direct callDaily rent apartment furnished with all amenitiesUtility with all amenitiesFor details, call the indicated phone numberApartment for daily rent in Abovyan city24/7 24/7 24/7Up to 16,000 AMD per dayTranslated from Armenian",Nov-24-2022_16-44,PLayground,OUtdoor parking,https://list.am/en/item/18128148
Stone,Yes,Not available,3,95 sq.m.,3,1,from 3.2 m,1,Not available,Available,Euro Renovation,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",5,Yes,No,Included,By Agreement,"Սևանի փողոց, Աբովյան","17,000 ֏ daily",AMD,"Call the specified number also through a direct callThe price is between 16,000 AMD per day, depending on the number of days.The apartment has all facilities for relaxing or living.Not far from YerevanLocated in a quieter environmentA quiet evening breezy and pleasantSword market and sundry shopsFOR QUESTIONS, CALL THE PHONE NUMBER INDICATEDNote: Apartments are allocated for a minimum of 3 days and a maximum of 1 month for long-term stays.16,000 per dayTranslated from Armenian",Nov-24-2022_16-44,PLayground,OUtdoor parking,https://list.am/en/item/18127199
Monolith,Yes,Available,12,35 sq.m.,1,1,from 3 m,5,Open balcony,,Designer Renovation,,,,2,No,No,Included,By Agreement,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"Жилой Комплекс Kechi House расположен в 3 минутах езды отZip Line и ресторана «Панорама», а также в 5 минутах езды от горнолыжных подъемников.К услугам гостей️️Бесплатная парковка,️️WiFI️️Smart TV️️Кухонные принадлежности️️Отопление.️️Ванные принадлежности️️Постельное белье️️Холодная и горячая водаВино для гостейНастольные игрыУтюг️️Открытый балкон с красивой панорамойВ жилом комлексе расположен маркет со всеми необходимыми для повседневного употребления товарами.Скоро отремонтированный ресторан и кафе в здании обслужат гостей со всеми почестями и удобствами._Сдается также посуточно.Есть все условия для организации приятного отдыха.️Рабочие дни - 22000 драм.️Нерабочие дни -24000 драм.️При бронировании более 3-х дней будут скидки.️_️Время заезда с 14:00 выезд в 12:00.",Nov-24-2022_16-44,,,https://list.am/en/item/17545172
Stone,Yes,Not available,3,80 sq.m.,1,1,from 2.8 m,3,Closed balcony,Available,Major Renovation,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",3,Yes,Yes,Included,By Agreement,"2nd microdistrict, Abovyan","16,000 ֏ daily",AMD,"Աբովյան քաղաքում անմիջապես քաղաքի սկզբնամասում գտնվողՀանգիստ անաղմուկ միջավայրումԿողկում Սուսերամարկետ խանութներ զբոսայգիներ տրանսպորտային միջոցներից օգտվելու բոլոր հնարավորություններ ևԲոոլոր հարմարություններով սպասարկվածՄեզանից գոհեն արդեն շուրջ հինգ տարի¡¡¡ Բնակարանն տրամադրվում է ամենաքիչը 3օրՀԱՐՑԵՐՒ ՀԱՄԱՐ ԶԱՆԳԱՀԱՐԵԼ ՆՇՎԱԾ ՀԵՐԱԽՈՍԱՀԱՄԱՐՈՎЦене договоримся1) В квартире есть все условия для отдыха или проживания,2) Недалеко от Еревана3) Расположен в более тихом месте.4) Рынок мечей и различные магазиныС нами довольны течение 5 летПО ВОПРОСАМ ЗВОНИТЕ ПО УКАЗАННОМУ НОМЕРУ ТЕЛЕФОНА¡¡¡Обратите внимание¡¡¡",Nov-24-2022_16-44,PLayground,OUtdoor parking,https://list.am/en/item/18127207
Stone,Yes,Available,3,93 sq.m.,3,2,from 3.2 m,2,Closed balcony,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, microwave, coffee maker, dishwasher, washing machine, iron, hair dryer","YArd view, street view, city view, park view",5,Yes,Yes,Included,By Agreement,"2nd microdistrict, Abovyan","16,000 ֏ daily",AMD,"Apartment for daily rentStarting in three daysFurnished with amenitiesWith utilitiesSuseramarket shops parks in the areaTo make a reservation, call the indicated numberApartment for daily rent  Immediately at the beginning of the city  Equipped with dishes, Linens, Kitchen accessories, Bathroom accessories  Next to Supermarket, shops, park and bus stop Two Bedrooms  One Living Room  Kitchen and Bathroom  Call the given number for BookingTranslated from Armenian",Nov-24-2022_16-44,PLayground,OUtdoor parking,https://list.am/en/item/18167382
Monolith,Yes,Available,8,50 sq.m.,2,1,from 3 m,3,Open balcony,,Designer Renovation,,,,2,Yes,Yes,Included,By Agreement,"Khachik Muradyan Street 3, Tsaghkadzor","500,000 ֏ monthly",AMD,"Без комиссии, я – собственник. Сдается новая стильная/дизайнерская уютная квартира 50 кв. М. С видом на живописные горы в новом гостиничном апарт-комплексе АЛВИНА горнолыжного курорта Цахкадзор. Расстояние от Еревана 50 км, от 4-х уровневой канатной дороги/подьемников - 1 км, в 10 минутах ходьбы от монастырского комплекса Кечарис. В 5 минутах езды центр города, где магазины, отличные рестораны и кафе, музей братьев Орбели. Квартира мебелирована всей необходимой мебелью и техникой, скоростной WI-FI, TV, Балкон. Бесплатная парковка на территории комплекса. В 2023г-у в комлексе откроются – Бассейн, СПА, Тренажерный зал, Рестораны, Бары, Кафэ. Работают такси, доставка и т. Д.Стоимость аренды за 1 месяц - 400,000 AMD (все к/у включены), посуточно - 30,000 AMD.Залог в размере месячной арендной платы.",Nov-24-2022_16-44,,,https://list.am/en/item/17539398
Monolith,Yes,Available,12,33 sq.m.,1,1,from 3 m,7,Not available,Available,Designer Renovation,,,,4,Yes,No,Not included,1 month,"Օլիմպիադիայի փողոց 8, Ծաղկաձոր","20,000 ֏ daily",AMD,"ԾԱՂԿԱՁՈՐ։ Այս հարմարավետ բնակարանը տրվում է մինիմում 5 գիշերակացով, (մուտք) – 14:00 (ելք) – 12:00Առանց միջնորդիԲնակարանը գտնվում է նորակառույց Kechi House շենքում։ Բնակարանում առկա է`երկտեղանոց մահճակալ, բազմոց, հեռուստացույց, էլետրական պլիտա, թեյնիկ, խոհանոցային և անկողնային պարագաներ, ջեռուցում, տաք և սառը ջուր, Ucom TV, WIFIՊատուհանից բացվում է անտառային գեղեցիկ տեսարանՄոտակայքում է գտնվում Սպորտբազան և Մորի պլազանՀեռավորությունը կենտրոնից - 700մ,Zip-Line 500մ,Կեչառիս եկեղեցուց - 500մ.Плата за 5 дня проживание 20000др. , в месяц 300000др...Kechi Hause новый жилой комплекс в курортном городе Цахкадзор с расскошным видом из окна. В комплексе есть лифт, датчики дыма, охранная система, продуктовый магазин, прачечная, безплатный паркинг (с наружи) Есть услуги уборки, химчистки за не высокую плату. Скоро откроется бассейн, игровой зал, ресторан, бар. Сдается однокомнатная квартира (студия) В квартире имеется двухместная кровать, раздвежной диван, эл. Плита, холодильник, чайник и др. Кухонные принадлежности, холодная и горячая вода, телевизор и интернет. От дома до церкви Кечарис 500м, до зиплайн 500м, до центра700м, и т. Д.Плата за 5 дня проживание 20000др. , в месяц 300000др...",Nov-24-2022_16-44,,,https://list.am/en/item/17464061
Stone,Yes,Not available,1,180 sq.m.,5,2,from 3 m,1,Multiple balconies,,Euro Renovation,,,,,,,,,"Ազատության փողոց 1, Ձորաղբյուր","65,000 ֏ daily",AMD,"A private house is for rent in Dzoraghbyur, provided with all the preconditions for rest. The mentioned price does not include accommodation. In case of the overnight version, the price will increase by 20,000 AMD.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17452869
